@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute birdornot {yes,no}

@data
-14.07022,-3.156844,-8.737585,-2.321046,-15.02595,-9.055806,-1.830231,-1.309805,2.263554,7.135284,2.58324,0.14468,27.08636,-0.61646,-1.071047,-2.138437,0.642133,0.555966,1.308198,-1.135989,-0.008542,0.337256,0.175257,0.782186,1.202638,-0.000458,0.23903,0.388088,0.557602,-0.239435,0.154162,-0.422549,-0.53906,-0.194461,-0.198289,-0.269658,-0.718007,-0.620541,0.0004,yes
-16.3547,-8.772902,-17.32526,-4.283351,-12.56145,-3.502496,-1.311436,-3.25838,-1.577934,2.795993,6.036009,2.087043,27.08227,-0.074474,-0.214886,-1.128261,0.801117,1.02675,0.130664,-3.202453,0.684987,-0.078363,0.040615,0.178311,-0.019861,0.000355,0.252688,0.422539,0.991214,-0.640358,0.047982,-0.451812,-0.00986,-0.082989,-0.01479,-0.469253,-0.969713,-0.542334,0.000552,yes
-16.01028,-5.704051,-15.13593,1.870772,-13.47837,-5.291469,-7.769572,-0.378227,5.870579,10.18121,4.767785,5.18669,27.08611,0.307695,0.441313,0.144486,-0.634533,1.091382,-0.215778,-2.798059,-1.32761,-0.44638,-1.105713,-2.50591,-1.288819,0.001136,-0.040097,0.067777,0.552643,-1.275408,-0.367971,-0.501856,0.818038,-0.25377,-0.135658,-0.720455,-0.449532,0.175855,0.000078,yes
-13.47256,-2.957671,-11.17972,-0.41137,-10.66599,-10.28465,-14.87282,1.649338,0.068226,5.815395,2.382521,-2.475628,27.08825,0.184905,0.285466,1.676171,-1.921323,0.52817,-0.188874,-0.354256,0.236047,0.655124,-1.530523,-2.422333,-0.263304,0.001506,-0.348522,-0.270644,-0.160959,-1.238199,-0.622562,0.055357,1.666233,-0.290586,-0.129985,-0.363479,0.404506,1.169904,-0.000474,yes
-13.97281,-3.857897,-11.08793,-7.429702,-10.51677,-6.743619,-9.039832,-10.40171,-0.791424,0.097017,-8.119569,-4.018078,27.08904,-0.946633,-0.982337,-0.77744,-4.373685,-1.0346,-1.041314,1.530101,-1.052924,-0.707775,-2.641449,-0.165155,2.203637,-0.000645,-0.296727,-0.1768,-0.490288,-0.291942,-0.151287,0.324496,1.030356,0.41891,0.090467,0.01185,1.07247,1.456233,-0.000481,yes
-16.44891,-8.268649,-10.96841,-9.23973,-11.4014,-3.72079,-2.447586,2.933595,5.028686,0.185476,0.368021,5.372908,27.08833,-1.189918,-0.85628,-1.472093,-3.520303,-1.023068,0.820218,2.964633,-0.905286,-0.597592,-1.00891,1.030463,4.083433,-0.001126,0.156792,0.228811,-0.167252,0.7579,0.343011,0.085418,-0.493691,-0.232375,-0.074285,0.682523,0.679065,0.481655,-0.000125,yes
-19.25527,-7.960249,-19.12878,-15.58347,-18.28366,-13.77997,-6.331686,-6.284974,-0.148523,-0.211071,4.949262,12.28061,27.08285,-0.488527,0.128186,-0.732822,-1.294751,1.110565,0.902157,0.694276,1.337605,0.632312,-1.307268,1.130043,3.81898,0.00005,0.571042,0.457991,0.738668,1.529937,0.706724,0.021227,-1.176383,0.062746,0.265682,1.328546,-0.302503,-1.540369,0.000462,yes
-16.78092,-5.187895,-14.51976,-13.936,-11.89788,-2.665385,-1.40373,-4.935461,-3.241184,0.924889,1.000419,9.792194,27.08572,0.73981,0.874257,0.817602,0.328712,1.170641,-0.733521,-2.404796,-2.121093,-0.386344,1.215002,0.325392,1.337301,0.000536,-0.009768,0.115572,0.545882,0.940328,-0.059927,-0.497898,-0.535077,0.246101,0.751942,1.24919,-0.605757,-2.558004,-0.001026,yes
-16.24944,-4.757345,-12.97636,-11.55532,-4.715707,-2.76054,-6.090381,0.220841,6.505069,-6.809027,-2.785552,12.86718,27.0906,0.943716,0.442347,1.771054,1.35149,1.402163,-0.158311,-1.667097,-0.131288,0.515012,2.889325,-1.325134,-4.12514,0.000833,-1.358194,-0.106258,0.17306,0.146758,-0.572954,-0.668928,1.049725,-0.07518,0.665284,0.754758,-0.578646,-2.042351,-0.004212,yes
-14.25277,-5.498816,-9.956609,-9.610245,-12.33218,-12.89811,-14.59222,-10.92478,-0.22983,9.559464,5.86239,11.76613,27.08714,-1.954879,-0.4355,0.005379,-0.141783,-1.468501,-1.139037,1.469935,1.059667,3.220767,3.138743,-0.770732,-4.734528,-0.006647,-2.193593,-0.067759,0.215898,-0.351027,0.099483,0.163655,1.987109,0.278423,0.685065,-0.439023,-0.37983,-0.173061,-0.005992,yes
