@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute birdornot {yes,no}

@data
-30.01488,-7.760458,-11.78777,-5.296016,-3.728955,-5.880411,-5.741181,-8.261309,7.548865,-8.458601,-3.197501,0.039984,27.10283,1.576846,0.169191,1.987987,3.954443,0.361148,-1.082088,-0.962807,4.482919,-1.250045,-1.000663,-1.618182,1.109313,-0.003544,-0.388841,-0.569274,-0.331498,-0.545339,-0.361955,-0.335311,0.045723,-0.355544,-0.013216,-0.656982,-0.969583,-0.187504,-0.000095,yes
-23.17424,-3.091954,-3.913657,4.92735,0.989951,0.618719,0.972667,-3.751612,6.268889,-2.069365,-8.891719,-8.036402,27.09856,1.080276,-1.148762,1.99178,4.5783,0.185527,-1.88702,-1.390698,3.503108,-1.564406,-2.577989,-2.890363,1.729197,-0.005008,-0.674173,-0.825874,-0.961832,-1.531231,-0.801794,-0.106066,0.121212,-0.785953,0.036987,-0.870963,-0.887072,-0.219922,0.000893,yes
-25.55097,-9.248755,-5.784896,9.364515,-4.28267,-14.54042,-13.91214,11.89844,1.938629,-16.65653,-8.4413,9.624742,27.08725,-0.119074,-2.018205,0.328602,0.915818,-1.360818,-2.356176,-0.520245,3.195103,-1.158944,-3.496909,-5.830005,-0.138151,-0.003289,-0.609351,-0.320994,-1.322195,-2.419461,-0.488143,0.702099,1.174994,-1.110863,-0.008326,0.423891,0.341707,-0.462629,0.002142,yes
-26.84546,-12.76012,-4.830312,10.26522,-2.524464,-10.98551,-8.609192,-0.825644,2.531952,-17.24958,-15.02742,3.893591,27.08558,-0.94606,-2.866483,-1.991479,-2.182401,-2.78684,-0.975374,-0.578031,1.19706,-1.110659,-4.107356,-3.94763,0.633435,0.000792,-0.202665,0.799985,-0.989131,-2.114789,0.216101,1.584,1.870541,-0.420203,-0.248352,0.990416,2.223617,-0.008968,0.002556,yes
-28.77464,-13.0174,-9.686435,-3.385859,-8.775839,-11.85918,-3.551477,6.251222,3.622612,-18.35304,-29.27968,-6.615766,27.09288,-0.456743,-0.576919,-2.631359,-4.76251,-0.593383,1.972583,4.505829,0.081626,-1.518549,1.883478,0.618985,-0.655953,0.004268,0.214456,1.46601,0.080225,-0.638007,1.037839,1.701197,1.017609,-0.415124,-0.395816,1.319486,3.640115,0.605578,0.001183,yes
-26.29271,-15.54004,-11.92028,0.390533,-10.69766,-5.598769,-7.097817,5.057296,-0.126397,-21.75789,-18.21068,3.251026,27.09971,0.235784,2.13052,-1.473897,-3.156483,0.882312,3.868599,5.44897,2.958833,-2.626364,-0.316103,5.003226,1.943259,0.003991,0.346562,1.142054,1.102303,0.879784,1.133231,0.421544,-0.161528,-0.289415,-0.242631,1.271199,1.961643,0.127867,-0.000771,yes
-28.11106,-10.74339,-15.39671,-9.510693,-3.162984,-7.370872,7.861319,9.365102,-4.324943,-4.984989,-3.754745,6.666259,27.10152,0.362283,2.813342,0.470938,-1.787175,1.993799,3.727823,1.554298,0.238597,-2.380169,1.204893,7.895144,2.234825,0.001028,0.210314,-0.266682,1.101379,1.659191,0.145531,-1.027193,-2.118119,-0.266186,0.528249,0.146794,-0.746244,-0.37814,-0.001749,yes
-25.99833,-3.244524,-9.344659,-2.454779,-0.919331,6.113337,12.92926,12.41158,-6.626093,-25.51412,-2.773751,6.968876,27.10121,0.377238,1.148655,1.968888,0.728852,1.585723,0.254726,0.090094,-0.328499,-1.893003,2.587931,2.222504,-0.17262,-0.001441,-0.142078,-1.30671,0.189235,1.013416,-0.365991,-1.980129,-2.393522,-0.515874,1.341543,0.698437,-2.184843,-0.791807,-0.001162,yes
-27.11041,-5.098452,-8.619558,-10.89908,-3.696008,0.923882,-5.793526,3.767065,-5.028386,-10.45046,2.477576,2.699434,27.09727,0.524098,-1.419397,1.154145,1.590775,-0.217434,-1.356448,-3.405326,0.394365,0.756016,1.165428,-1.721875,-1.488716,-0.001761,-0.352827,-1.329825,-0.681036,0.290009,-0.677968,-1.108566,-1.1402,-0.267835,1.427192,-0.460719,-2.070982,-0.438093,0.000105,yes
-24.90684,-12.61924,-5.464419,4.728987,-2.502536,-8.472515,0.180076,6.21382,-9.239688,-6.0855,-10.21432,4.37134,27.09463,-0.555512,-2.286663,-0.869328,0.22162,0.157973,-3.489913,-4.038825,0.30158,2.513257,3.195813,-1.112479,-0.154005,-0.000427,-0.360402,-0.206074,-0.810679,-0.621263,-0.376609,0.899799,-0.155916,-0.438312,1.188773,-0.936246,-0.002265,-0.180971,0.000745,yes
