@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute birdornot {yes,no}

@data
-40.10227,-7.616893,6.001769,-9.747849,-2.999883,17.01288,-19.22869,-3.798807,5.927088,-25.91359,13.89406,-1.31345,26.64982,-0.897631,-2.310851,-1.671742,-0.575834,-0.865308,-8.203515,5.07934,2.164675,-12.83738,5.117696,4.522856,-8.336726,0.012534,-0.273567,-0.358081,-2.121542,-2.879234,-1.401398,-1.774642,-0.805137,-0.465145,-0.608065,2.304107,-3.035897,0.240089,-0.029872,yes
-42.93792,-16.3933,6.502357,8.536546,-3.322172,1.916319,8.445206,11.15293,-17.22326,6.816901,21.44766,-23.75153,26.57054,-1.40901,-2.290059,-3.430501,-6.139885,-1.775914,-10.23256,2.635864,3.562611,-11.04811,7.100664,-1.973062,-7.811813,-0.008204,0.085697,0.913114,-0.552655,-2.733563,-0.097969,0.56026,-2.800374,-1.096693,2.687856,-2.123547,-2.080784,2.582414,-0.017451,yes
-40.52096,-15.22058,0.49301,-5.985022,-24.20214,-4.568844,-2.058816,-5.469425,-16.26562,30.51835,-7.612189,-23.89473,26.63489,-1.405359,-0.721903,-1.553545,-5.974263,2.049151,-5.115029,1.52957,1.69027,-3.168437,6.231272,-2.272703,-2.121947,-0.013176,0.194606,0.887412,0.656025,-0.012593,2.113459,3.146456,-2.306327,-1.071086,4.570967,-5.003298,0.605718,3.814536,-0.007387,yes
-44.36594,-11.72951,2.468376,-25.30811,-4.393912,-13.09794,-1.674782,15.40517,-17.66489,16.99362,2.651126,-22.97633,26.61158,-0.674572,1.374393,-1.087403,-6.691595,4.735863,-2.102834,-4.510952,-0.398903,0.87249,-8.372202,0.4089,3.75452,-0.017773,0.597176,0.194957,0.919285,2.813508,-0.245702,3.976403,-1.121871,-2.422487,3.50026,-3.348451,1.250219,3.03652,-0.002074,yes
-46.41505,-13.55831,0.251032,-22.69683,7.781744,-1.05514,-6.520841,2.526421,-9.694281,0.154416,11.92882,-12.31079,26.56342,-0.291818,0.293986,0.436836,-0.362942,6.4461,3.463903,-2.878887,-1.209998,4.057152,-12.16236,6.360466,4.952785,-0.019615,0.653426,-0.777037,0.791322,3.7061,-3.840724,3.102969,0.503507,-2.01623,1.390235,1.198001,-1.255939,0.987132,-0.002493,yes
-43.36374,-10.35248,1.186329,-16.56552,4.365201,-10.3547,-11.87854,5.160488,-16.14648,-19.86214,13.72166,-10.7709,26.51741,1.020098,-1.823219,0.170734,5.121993,-5.202897,5.359991,-0.769262,-7.099689,2.840398,-0.444773,-0.038553,3.83342,-0.015355,0.32494,-1.424492,0.270564,2.978885,-4.758863,2.105413,2.736011,-0.936907,0.284486,6.096422,-2.814377,-0.608083,-0.005128,yes
-42.48115,-14.43917,3.318212,-12.17103,3.648805,11.37905,-11.35137,-6.397074,3.260939,-11.86558,18.65488,-5.233517,26.5839,1.014435,-3.00828,1.773998,6.649447,-12.18509,6.668405,2.176261,-5.040489,2.798782,8.257563,-8.328669,2.774263,-0.026851,0.084192,-0.442376,-0.192541,0.61257,-2.867593,0.147094,2.206861,0.395946,-0.737019,4.107284,-2.689078,-0.943593,-0.010233,yes
-41.2324,-20.40517,1.788457,-4.961046,-28.34193,7.484921,-3.105828,-15.63153,-9.940509,20.77975,-0.904672,-7.347865,26.52457,0.297001,-4.096936,-0.403163,4.696636,-9.742861,6.821981,6.641529,-3.168191,2.924103,11.89995,-6.318418,1.803368,-0.039796,0.04458,1.731,-0.093225,-1.597586,2.170035,-0.942151,-0.774286,1.933413,0.248592,-2.571372,1.438935,-0.652904,-0.018086,yes
-42.40855,-23.57336,8.819958,4.748163,-36.79012,23.36707,-0.02589,-12.28002,1.196641,21.12128,-22.40136,-0.150988,26.42559,0.490688,-0.781037,-0.238921,2.912588,-5.621882,3.468377,4.450021,-1.196019,0.330204,2.201697,-3.944993,1.249844,-0.058559,0.336634,3.34841,-0.06053,-2.537949,4.313628,-2.054646,-4.031125,1.388002,0.739621,-6.292516,4.495762,-0.89663,-0.019389,yes
-41.91503,-26.27007,-3.58036,-1.541936,-24.12964,17.7612,15.66637,-7.738994,-0.493821,23.14416,2.65769,-4.295321,26.39758,1.504873,5.718157,0.711069,-0.997507,2.365676,2.249251,-5.77757,0.645143,5.317647,-10.2737,4.964285,1.331107,-0.089928,0.362303,3.24295,0.43865,-2.224504,2.993663,-2.413588,-5.883888,0.352954,0.718234,-6.2525,3.265682,-0.752075,-0.011145,yes
-39.68639,-15.4119,4.808015,0.682358,-26.56675,23.5828,1.512639,-16.32343,0.188614,-2.039298,-2.851267,-0.51057,26.3546,2.093668,8.826224,0.914234,-3.193225,3.328788,-1.318459,-11.76981,-0.007147,5.300115,-12.1182,8.508791,-1.472759,-0.09873,-0.134152,0.68682,-0.209985,-1.678422,1.220028,-2.042056,-3.337663,0.128572,0.507317,-1.596905,1.088729,-0.460334,0.017377,yes
-35.06911,4.104887,7.349774,-7.915679,-21.62523,18.62331,-32.76294,-10.3841,17.15174,-19.00845,14.14171,-0.512538,26.11042,1.307025,7.314183,1.213508,-3.372975,0.75012,-2.852541,-14.66799,-1.997858,4.030317,-12.20261,3.783098,-0.595706,-0.075434,-0.470009,-2.03893,-0.392699,-0.051486,-0.467465,-0.732178,2.078241,0.201299,-0.924658,2.573496,-2.033618,0.329538,0.059427,yes
-35.36317,5.370289,7.926059,-8.031089,-21.39839,16.34372,-34.66029,-10.9932,18.87443,-18.39339,14.40059,-9.406174,26.07552,-0.081147,1.855051,-1.540064,-4.291789,1.286038,-4.191005,-7.793083,0.768341,3.510454,-4.818373,2.089246,-0.088421,0.021079,-0.390436,-2.903417,-0.321733,0.902362,-0.386399,0.4708,5.441705,0.38315,-0.812859,4.39853,-2.893513,1.519976,0.079281,yes
-37.54152,-0.090247,0.928158,-14.05009,-22.96322,7.118032,-39.58714,-20.3934,10.31485,-29.69183,12.94725,-2.826047,26.15995,0.242235,-0.990908,-0.025278,-0.705653,1.049728,0.024633,2.625269,1.263896,1.589189,-1.05613,-1.994032,2.286628,0.147302,0.066755,-1.823382,0.091547,1.557345,0.349226,1.338125,6.26657,0.705925,-0.293356,4.759131,-1.684598,1.057629,0.061766,yes
-38.85592,-4.039083,0.318506,-17.70938,-19.46757,8.380415,-34.04068,-7.477077,21.15933,-20.78947,8.19219,0.204078,26.43523,0.673883,-1.538316,-0.075039,-0.015077,1.24699,-0.403048,6.792079,0.277725,2.456382,4.301214,-3.070207,4.685956,0.186309,0.318821,-0.195768,0.417509,1.18641,0.0275,1.728311,3.995552,-0.008163,-0.775421,2.714413,-0.200663,-0.100461,0.010685,yes
