@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute fingersnapornot {yes,no}

@data
-35.46071,-10.55991,22.66092,5.198246,-15.8132,13.71953,25.86751,-12.51533,-7.986606,6.058546,-6.536348,-7.092684,24.69322,-1.231729,-1.505476,-1.841747,0.620572,2.620327,-0.41602,1.670955,2.6191,6.116702,1.228127,1.711499,4.67845,-0.390291,-0.68208,-0.45434,-0.279643,0.257707,-0.302534,-0.203597,-0.494283,0.263745,0.461941,0.37333,1.078882,-0.027356,-0.082155,yes
-36.5711,-12.36975,25.36474,5.79154,-4.817823,18.10767,29.94268,-20.71142,0.104515,5.347187,-13.33334,3.018296,24.73592,-3.290081,-3.203033,-3.619701,0.851981,2.198964,-0.206643,1.657638,4.632193,8.449118,2.723695,6.021651,6.680713,-0.63094,-0.558583,-0.195482,-0.002514,0.129429,-0.463548,-0.257935,-0.862258,-0.256398,-0.236499,0.001092,0.407217,-1.092161,-0.06325,yes
-41.06416,-17.18237,12.10027,8.004459,-8.209261,9.445363,32.1847,4.678219,18.55134,12.55486,5.419646,11.24407,22.72041,-3.612954,-2.928398,-2.350983,1.7934,1.318338,-1.538694,-0.793799,2.931281,7.2602,2.346991,4.950832,3.540536,-0.680741,0.147112,0.413332,0.808543,-0.515305,-0.369529,-0.295225,-0.890845,-1.068918,-1.739167,-0.340421,-0.716243,-2.140254,0.022805,yes
-49.10939,-23.26384,9.842737,8.055042,-8.620357,14.8234,30.9971,2.048862,20.99001,16.42886,17.59391,17.1425,22.52492,-2.834033,-1.771425,-1.5997,0.681301,0.953581,-1.144356,-1.407955,1.181019,4.36246,0.674157,2.127916,-0.213399,-0.561318,0.985638,0.729443,0.989423,-0.723649,-0.38044,-0.315622,-0.667867,-0.936107,-2.284798,-0.405913,-1.453272,-2.549148,0.077024,yes
-47.25633,-19.75486,18.66701,13.0335,-7.320246,7.668196,21.3713,-9.239069,17.87164,12.25266,2.754186,3.547895,22.39502,-0.724193,-0.154622,1.190969,-1.870612,1.395375,-1.42329,-1.250474,-0.999901,-0.535807,0.550793,0.077149,-2.575768,-0.311079,0.92571,0.341701,0.36132,-0.546737,-0.310115,0.260669,0.151055,0.260924,-1.894187,0.003959,-0.327347,-1.165632,0.053673,yes
-47.64518,-19.94064,14.08287,6.683527,-0.494426,13.27447,28.3096,-7.847683,22.25667,8.869072,-1.361032,5.79939,22.09203,0.193729,-0.942707,-0.44356,-0.934256,0.258248,-1.842455,-1.453361,1.917247,0.923129,1.592227,1.192134,-3.006876,-0.430654,0.455157,-0.048957,-0.053562,-0.017582,-0.540583,0.071484,0.174958,0.170989,-1.53003,0.37666,0.523544,0.123522,0.013599,yes
-45.41723,-19.61708,15.93504,-0.662844,-5.295351,3.103381,27.27608,4.62699,15.23898,19.08872,15.28286,4.036791,21.38146,-0.498283,-1.634252,-1.122455,-0.132504,0.11543,0.113703,-0.015821,3.867786,-0.491072,1.907748,3.781988,-0.890886,-0.477707,-0.015452,-0.138827,-0.386473,0.464778,-0.574668,0.008054,0.287922,-0.768941,-0.622134,0.280735,0.431259,0.864699,0.014395,yes
-49.0603,-28.04626,8.990918,10.23193,-8.341564,7.89353,20.77791,4.702067,26.92199,20.97197,17.29024,1.863676,20.87843,-0.671205,-1.276394,-0.710799,-0.275663,-1.10936,-1.55543,-1.150493,-0.397881,-3.310058,1.878978,2.893219,-0.438228,-0.410009,0.240495,0.486349,0.252267,-0.171921,-0.22964,-0.24832,0.63695,-1.65467,-0.407638,0.409655,-0.064395,0.977204,0.06788,yes
-49.04019,-23.8733,15.60071,10.59678,-2.819526,10.92718,25.05804,3.824984,13.08363,15.73996,12.33849,1.061322,20.61328,-0.368988,-0.681915,-0.607775,0.123983,-0.794162,-1.526533,0.0377,-3.687039,-1.529884,1.811092,1.382899,0.463402,-0.249424,0.587728,0.645422,0.220594,-0.064268,0.103166,-0.282198,0.296569,-0.984986,0.945735,0.124415,-0.522509,0.783628,0.064696,yes
-49.18972,-24.1945,10.69604,-0.324596,-7.279141,1.585419,23.66615,-9.436086,6.784054,19.93835,14.57725,5.095987,20.42607,1.331555,1.012867,0.560434,-1.922104,-0.435153,-2.263938,1.704631,-2.57869,-0.595655,3.688831,2.069705,1.201999,-0.205397,0.647678,0.552467,0.063722,0.518936,0.618935,0.498362,0.16365,1.107428,1.525257,-1.207654,-0.923018,-0.035122,0.00902,yes
