@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute fingersnapornot {yes,no}

@data
-45.33698,-24.99021,12.88869,2.646501,-2.899571,-7.377429,22.05236,-4.632742,-6.120989,17.67702,7.631525,9.800105,19.66425,2.393988,2.064209,0.556801,-0.830424,-0.874737,-2.647458,-1.480966,1.518866,-0.536179,3.44888,0.080584,-2.754483,-0.260166,0.499662,-0.03623,-0.714052,0.601755,0.191319,0.207878,0.022887,1.181322,3.044968,0.015534,0.753454,0.192418,-0.001224,yes
-42.6723,-23.22734,12.95159,6.713255,-2.163365,-0.841694,27.1572,3.224676,1.186965,25.84665,18.99296,12.6923,19.48311,2.13892,0.451983,-1.641706,-0.065877,-0.125026,-2.350046,-1.794529,0.621429,4.164132,1.634819,0.965845,-0.324665,-0.284537,-0.292347,-0.706792,-0.708968,0.213985,-0.230705,0.013743,0.140813,-0.174782,1.478137,-2.055882,-0.268845,0.677893,-0.012871,yes
-40.73486,-22.0538,12.61189,8.048525,-6.385281,-6.107263,25.48523,12.95515,17.95856,30.94924,23.95553,6.953381,19.08585,0.968034,-0.535021,-1.836118,2.0045,2.321702,0.771092,0.031275,1.073084,4.675788,-3.631094,-0.030809,-0.064057,-0.33218,-0.713195,-0.693234,-0.041287,-0.440719,-0.919683,0.125214,1.027978,-1.665754,-1.335094,-2.976254,-1.351305,0.634514,0.014626,yes
-41.12215,-25.78509,6.979799,11.01849,5.760919,-2.639913,20.14746,1.391892,13.74328,19.01698,16.83243,13.10785,18.74651,0.139187,-1.105201,-1.487504,-1.807554,-1.977549,-2.364382,0.030505,-3.59794,-1.548757,-7.21234,-3.988607,-0.368492,-0.289333,-0.438709,0.153591,0.891682,-0.441903,-1.377628,0.127603,1.278304,-1.187827,-2.188478,-0.594747,-0.621354,0.184824,0.036462,yes
-41.27189,-26.38644,6.693989,10.51639,4.746796,-2.622862,25.71361,1.64907,10.9798,2.936384,8.557745,9.27204,18.37164,-0.17212,-0.623366,0.273266,-2.16318,-4.546892,-2.01422,2.746408,-4.700222,-4.355207,-7.008812,-4.198714,0.439998,-0.184638,-0.087896,0.546111,0.78372,-0.169802,-0.705325,0.409672,0.690969,0.444078,-0.85545,2.106704,0.773752,0.571436,0.024276,yes
-41.70785,-26.58703,8.473017,-3.558448,-17.61715,-14.4058,27.19553,-9.111982,-3.067438,3.791383,6.748817,9.690507,18.39355,0.515453,1.264109,1.762013,-0.191552,-3.578868,-0.319375,3.239425,-2.431053,-2.262759,0.349943,-0.056971,0.347426,-0.175996,-0.040234,0.433696,0.27629,1.13128,2.058823,1.290711,-0.193664,2.41575,1.30356,2.900136,1.881724,0.485846,-0.027682,yes
-41.30261,-24.76966,13.23161,4.521092,-17.43071,-10.29542,35.69323,-5.29402,4.587886,3.517977,8.003764,10.86204,18.33914,0.340419,1.01088,0.457721,0.347489,-0.404265,1.79695,1.88166,2.710032,0.755541,3.121284,1.872134,2.435163,-0.267469,-0.328906,-0.2676,-0.452248,0.859257,2.882342,0.395354,-1.460668,1.995146,0.867853,1.416238,1.150105,-0.16339,-0.064008,yes
-38.52952,-20.27293,12.52106,13.05837,-1.04467,-0.400509,31.35477,-7.291827,5.625435,20.4759,16.82457,14.04998,17.88279,-0.318252,0.246155,-0.198283,2.593514,6.245252,2.18359,-0.505443,4.775685,2.413669,2.22329,2.38459,1.063157,-0.386325,-0.477288,-0.870239,-0.663915,-0.021568,1.420791,-0.860894,-1.257701,0.389861,-0.468419,-1.237391,-0.735533,-0.560994,-0.051374,yes
-41.15896,-24.48909,6.958577,3.94542,-5.560767,-0.640762,33.04229,14.28915,10.41107,10.20055,12.88054,19.26812,17.28968,-1.399797,-1.452389,-1.007826,0.740572,4.95276,-1.288932,-2.684498,1.67214,-2.354158,-0.864296,0.331032,-0.734817,-0.399514,-0.12193,-0.624994,-0.267369,-0.358082,-0.019668,-0.993611,-0.506578,-1.318679,-0.898911,-1.694443,-1.386358,-1.00179,-0.03333,yes
-43.37094,-25.49654,10.61812,9.696957,7.674141,-8.315183,25.99379,4.974859,6.089315,11.56655,16.23338,10.80325,16.98665,-1.000879,-1.855451,-0.824789,-0.495934,0.846572,-3.080905,-0.766001,0.037198,-3.050005,-3.844221,-2.964087,-0.872552,-0.366845,0.319677,-0.151769,-0.084382,-0.795137,-1.57545,-0.132844,0.151231,-1.354376,0.107221,-0.855878,-1.51639,-0.415189,-0.054667,yes
-45.88089,-29.41981,9.143947,9.904661,2.973688,-12.78274,24.95124,-3.066664,-7.414844,3.651173,9.954517,8.811325,16.78964,0.072083,-1.063285,-0.565868,0.101803,2.196733,-0.538858,-0.520951,-1.514122,-1.007176,-2.317174,-2.385317,-1.605934,-0.443859,0.698613,0.562862,0.15655,-0.290498,-0.91381,1.045277,-0.306296,-0.788103,1.919843,0.965837,-0.907827,-0.605092,-0.135006,yes
-41.17295,-27.08483,7.304423,7.59908,-1.079035,-9.734046,31.5703,1.572072,-0.711634,4.529481,3.467141,14.91562,16.29859,0.544194,-0.707242,-0.841173,-1.062789,-0.253983,1.144332,-0.831059,-0.403066,2.276285,-1.329663,-3.839184,-0.57723,-0.637488,0.632199,0.905439,0.401976,0.358306,-0.087074,1.20647,-0.596694,-0.194657,1.588126,2.159549,0.485527,-0.755427,-0.222402,yes
-41.89754,-29.01137,5.786085,5.503375,9.799489,-2.625621,27.64928,8.419937,8.775661,2.133209,7.337074,9.182264,15.41442,1.320731,0.787816,-0.216883,-0.42849,0.933987,1.824833,-4.183447,-2.048241,4.581914,2.707611,-3.770556,-3.907938,-0.939222,0.902539,1.4675,0.077191,0.547161,-0.741468,0.816611,-0.382224,0.445378,-0.182639,1.683184,0.857317,-0.5097,-0.268258,yes
-42.64164,-29.23697,8.091185,6.583657,2.991325,-7.672083,20.48948,-2.783773,9.375488,5.677217,-1.65382,7.731634,14.48682,1.535789,1.746191,1.010599,1.560742,1.042575,1.7696,-1.918224,-0.669029,2.096081,4.441131,0.156167,-3.498683,-1.231174,1.240971,1.691652,-0.555217,0.545383,-0.374914,1.078785,-0.108235,0.971238,-1.752896,-0.183788,1.465874,0.179224,-0.224606,yes
-38.54288,-24.40466,7.666149,8.269924,5.60844,-4.689557,9.574409,-11.12995,10.45117,16.61536,-6.337782,-7.136373,12.99941,4.088979,5.047501,-1.105797,1.525844,-2.158886,3.231562,-1.888487,0.84575,-1.830269,3.21335,-0.09641,-2.693707,-1.488303,1.079375,1.184812,-1.027761,0.102382,-0.414945,0.976019,0.08762,1.109859,-2.398693,-2.471656,0.988205,1.632865,-0.050358,yes
-35.17133,-20.65723,11.41739,14.01952,6.229362,0.145923,31.01661,8.001869,8.931019,19.49406,11.0854,5.581525,11.35022,5.364925,5.621174,-3.172804,0.686959,-0.582116,5.834892,-2.519714,3.006129,-3.282101,-2.501474,1.653111,-0.288225,-1.485977,0.344738,0.332019,-0.878779,-0.483142,0.134568,0.583049,-0.809513,-0.641897,-1.186078,-2.476554,-0.375655,1.199652,0.19599,yes
-25.1878,-8.063734,-1.405999,9.414666,-2.613961,9.623184,12.94328,7.255867,-0.15345,11.29154,0.485416,-3.211215,9.541207,4.803039,4.774384,-3.263989,0.520313,-0.328395,4.672281,-3.444604,1.663474,-4.72246,-6.179368,0.421997,2.651155,-1.063611,-0.975837,-0.940928,0.4204,-0.351389,0.976564,-0.365559,0.019317,-1.828081,0.545907,-0.477033,-0.333731,0.576482,0.401806,yes
-22.49456,-9.301563,-3.236761,9.446083,4.191947,14.34601,6.206471,3.053965,-1.732707,-4.16824,3.200138,4.327929,8.786036,2.902448,3.542844,-2.3042,-0.352201,0.800171,3.964483,-5.187732,-4.287376,-2.388212,-3.245283,-1.98131,-0.172852,-0.463573,-1.561279,-1.199373,1.16456,-0.178378,0.470999,-1.065944,1.009507,-1.926015,1.449464,2.062291,-0.396061,-0.518097,0.433073,yes
-20.86608,-6.210569,-1.326721,13.15821,4.985172,11.57181,4.756458,-0.338627,-7.829267,-2.45033,-0.285164,6.746202,8.963449,0.44103,1.382024,0.561901,0.288482,2.032792,2.33897,-0.457895,-4.6479,0.452321,1.20009,0.052145,0.131017,0.009525,-1.355054,-1.083473,1.004261,-0.188602,0.10271,-0.866833,1.487737,-0.622749,1.667382,2.475983,0.173477,-0.955116,0.287673,yes
-22.81995,-3.869597,-0.143252,10.38674,6.430648,18.99403,9.17136,-9.637766,0.827869,10.13858,1.56414,-0.261445,9.321233,-0.260466,1.32049,0.737049,-0.089014,0.592288,1.671826,1.034468,-3.46826,1.377829,4.120254,-0.142269,-1.618639,0.142818,-0.66367,-0.799952,0.428319,-0.013837,-0.334404,-0.878349,1.171634,1.136282,0.605553,0.780826,0.428034,-0.118684,0.098918,yes
