@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute fingersnapornot {yes,no}

@data

-49.51569,-26.57681,15.04993,14.04888,4.643196,9.745399,30.83654,7.078694,4.962391,17.47899,20.16521,13.30782,19.88,0.887944,1.129142,0.860875,-1.460016,0.774196,-0.723821,0.082562,-2.946919,-6.33346,-0.472915,-2.700082,-2.412743,-0.260986,0.991535,0.640451,-0.229856,-0.110255,-0.121096,-0.675963,-0.080303,0.529088,1.977696,1.541036,-0.704173,-1.10196,0.037618,yes
-45.33698,-24.99021,12.88869,2.646501,-2.899571,-7.377429,22.05236,-4.632742,-6.120989,17.67702,7.631525,9.800105,19.66425,2.393988,2.064209,0.556801,-0.830424,-0.874737,-2.647458,-1.480966,1.518866,-0.536179,3.44888,0.080584,-2.754483,-0.260166,0.499662,-0.03623,-0.714052,0.601755,0.191319,0.207878,0.022887,1.181322,3.044968,0.015534,0.753454,0.192418,-0.001224,yes
-42.6723,-23.22734,12.95159,6.713255,-2.163365,-0.841694,27.1572,3.224676,1.186965,25.84665,18.99296,12.6923,19.48311,2.13892,0.451983,-1.641706,-0.065877,-0.125026,-2.350046,-1.794529,0.621429,4.164132,1.634819,0.965845,-0.324665,-0.284537,-0.292347,-0.706792,-0.708968,0.213985,-0.230705,0.013743,0.140813,-0.174782,1.478137,-2.055882,-0.268845,0.677893,-0.012871,yes
-40.73486,-22.0538,12.61189,8.048525,-6.385281,-6.107263,25.48523,12.95515,17.95856,30.94924,23.95553,6.953381,19.08585,0.968034,-0.535021,-1.836118,2.0045,2.321702,0.771092,0.031275,1.073084,4.675788,-3.631094,-0.030809,-0.064057,-0.33218,-0.713195,-0.693234,-0.041287,-0.440719,-0.919683,0.125214,1.027978,-1.665754,-1.335094,-2.976254,-1.351305,0.634514,0.014626,yes
-41.12215,-25.78509,6.979799,11.01849,5.760919,-2.639913,20.14746,1.391892,13.74328,19.01698,16.83243,13.10785,18.74651,0.139187,-1.105201,-1.487504,-1.807554,-1.977549,-2.364382,0.030505,-3.59794,-1.548757,-7.21234,-3.988607,-0.368492,-0.289333,-0.438709,0.153591,0.891682,-0.441903,-1.377628,0.127603,1.278304,-1.187827,-2.188478,-0.594747,-0.621354,0.184824,0.036462,yes
-41.27189,-26.38644,6.693989,10.51639,4.746796,-2.622862,25.71361,1.64907,10.9798,2.936384,8.557745,9.27204,18.37164,-0.17212,-0.623366,0.273266,-2.16318,-4.546892,-2.01422,2.746408,-4.700222,-4.355207,-7.008812,-4.198714,0.439998,-0.184638,-0.087896,0.546111,0.78372,-0.169802,-0.705325,0.409672,0.690969,0.444078,-0.85545,2.106704,0.773752,0.571436,0.024276,yes
-41.70785,-26.58703,8.473017,-3.558448,-17.61715,-14.4058,27.19553,-9.111982,-3.067438,3.791383,6.748817,9.690507,18.39355,0.515453,1.264109,1.762013,-0.191552,-3.578868,-0.319375,3.239425,-2.431053,-2.262759,0.349943,-0.056971,0.347426,-0.175996,-0.040234,0.433696,0.27629,1.13128,2.058823,1.290711,-0.193664,2.41575,1.30356,2.900136,1.881724,0.485846,-0.027682,yes
-41.30261,-24.76966,13.23161,4.521092,-17.43071,-10.29542,35.69323,-5.29402,4.587886,3.517977,8.003764,10.86204,18.33914,0.340419,1.01088,0.457721,0.347489,-0.404265,1.79695,1.88166,2.710032,0.755541,3.121284,1.872134,2.435163,-0.267469,-0.328906,-0.2676,-0.452248,0.859257,2.882342,0.395354,-1.460668,1.995146,0.867853,1.416238,1.150105,-0.16339,-0.064008,yes
-38.52952,-20.27293,12.52106,13.05837,-1.04467,-0.400509,31.35477,-7.291827,5.625435,20.4759,16.82457,14.04998,17.88279,-0.318252,0.246155,-0.198283,2.593514,6.245252,2.18359,-0.505443,4.775685,2.413669,2.22329,2.38459,1.063157,-0.386325,-0.477288,-0.870239,-0.663915,-0.021568,1.420791,-0.860894,-1.257701,0.389861,-0.468419,-1.237391,-0.735533,-0.560994,-0.051374,yes
-41.15896,-24.48909,6.958577,3.94542,-5.560767,-0.640762,33.04229,14.28915,10.41107,10.20055,12.88054,19.26812,17.28968,-1.399797,-1.452389,-1.007826,0.740572,4.95276,-1.288932,-2.684498,1.67214,-2.354158,-0.864296,0.331032,-0.734817,-0.399514,-0.12193,-0.624994,-0.267369,-0.358082,-0.019668,-0.993611,-0.506578,-1.318679,-0.898911,-1.694443,-1.386358,-1.00179,-0.03333,yes
