@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute whistleornot {yes,no}

@data
-16.86759,3.145007,7.298225,-8.871362,7.177384,2.704705,-0.372952,15.31263,-12.34048,11.8738,-4.435972,-3.822754,26.40046,-5.575667,-4.121805,-1.772586,3.623828,-3.229243,1.022893,3.544716,-5.22873,2.198974,-2.672779,0.227568,4.185509,-0.215214,0.184048,-0.109787,-1.487292,-0.52551,0.282204,-1.418208,-1.022452,-1.02288,-0.442131,-1.08462,0.95655,0.038513,-0.082028,yes
-30.75302,-6.418152,6.155381,-0.738534,-1.185965,4.530884,7.362821,18.9313,-2.318271,8.578252,-7.36991,-0.093917,26.08377,-5.892833,-4.506981,-4.628763,4.644451,-2.152103,-2.247499,3.005983,-8.138385,-1.686915,-7.397707,1.864424,4.598502,-0.439919,0.92754,0.319516,-1.381231,-1.71728,0.44107,-1.795992,-1.642443,-0.501021,-0.611314,-0.297808,0.492646,-1.529451,-0.068525,yes
-37.80321,-12.68244,-0.993281,5.181366,-4.787155,6.906079,13.48274,-12.64035,-6.356711,0.157673,-1.831162,15.24037,25.48273,-4.496845,-4.478152,-7.780959,0.485967,-2.356791,-4.432954,-1.298179,-8.888301,1.931263,-5.733417,4.191892,4.171579,-0.512999,1.576997,0.911312,-0.279517,-2.28854,0.118197,-1.600119,-1.547842,1.424657,-0.254679,1.479441,-0.445182,-2.724962,0.001055,yes
-35.86395,-11.47618,-11.69984,7.324531,2.399139,-10.63348,7.729118,-11.4028,-23.76694,-19.25668,3.583742,9.638193,24.65972,-1.47738,-2.346053,-5.674551,-3.393641,-1.46012,-5.229144,-2.24605,-5.904049,-0.723738,-2.631498,0.708634,-3.45478,-0.408944,1.694867,1.331342,1.503059,-1.70584,-0.188831,-0.101901,-1.158693,2.718625,0.331005,3.080142,-1.230087,-2.260417,0.109667,yes
-36.79636,-16.71674,-22.67896,-10.47306,-6.399123,-11.87789,-7.046997,-13.96182,8.040168,-2.875823,11.04666,12.16909,24.54748,0.101592,-0.645708,-2.647276,-3.799828,-2.984251,-5.486877,-1.568475,0.777385,0.44399,2.341321,-1.420445,-5.412662,-0.225429,1.118477,1.413905,2.67513,0.453519,0.585461,1.227857,0.293911,2.522217,-1.360684,2.056711,-0.924743,-1.096933,0.14506,yes
-38.64335,-16.13126,-11.37454,-9.879524,-7.680582,-12.22286,6.397439,-9.928212,-13.1354,-3.062487,-10.26565,-15.83218,24.50667,0.282282,0.233507,0.319688,-1.74185,-2.782529,-2.230043,-2.652333,0.621898,0.711748,3.965635,-1.479844,-1.911463,-0.035368,0.289971,0.80914,1.892343,1.626882,0.942841,1.834557,-0.281386,1.114622,0.022226,-0.399876,0.095124,1.37386,0.118489,yes
-35.90555,-13.58344,-14.39231,-5.215746,-14.66855,-19.73362,6.306208,-9.490721,-9.452532,3.76718,-2.008691,0.912249,24.43211,0.215709,1.301594,2.597573,1.927667,1.231717,0.20678,0.374516,0.459808,-5.5899,1.251572,0.662415,-2.084741,0.025513,-0.234959,0.103566,1.099724,1.010217,1.195604,1.82217,-0.222836,-0.155788,0.253407,-2.101936,0.108186,1.314905,0.069076,yes
-34.89795,-11.87529,-14.24472,-4.013378,-7.378793,-17.85583,-12.20915,-10.52886,-11.46185,-2.750003,2.7122,5.709297,24.54057,-0.084582,0.725996,1.164737,1.87702,1.146101,1.096814,-4.624477,-0.172152,2.404339,-4.086003,0.142822,1.750562,0.058028,-0.205031,-0.310969,0.046383,-0.145563,0.41567,1.047563,1.138955,0.077272,1.486244,-1.765905,0.072544,0.782351,0.029075,yes
-37.59052,-12.33676,-8.256003,-3.767799,-0.391433,-8.027503,4.128876,-11.36245,-20.74611,3.225795,7.869812,-9.025355,24.6581,-0.889772,-0.374125,2.428821,-0.558178,1.029455,1.960545,-1.696584,0.39547,0.864729,-4.142542,-1.690851,-0.669151,0.073254,0.075413,-0.28995,-0.51014,-1.056205,-0.55512,0.552759,1.465956,0.2737,2.288444,-0.624647,0.102567,1.517539,0.011888,yes
-38.22378,-13.12462,-8.619004,-1.218399,-9.088637,-12.59184,-15.63628,-9.853106,4.533086,-23.22181,-14.49079,-2.110563,24.68382,-0.190131,-0.483479,0.635978,-1.22674,-0.603047,2.130887,4.077994,1.040425,4.915651,-2.166831,0.059508,1.292496,0.086134,0.236387,-0.003312,-0.47896,-0.650996,-0.010393,0.558528,2.962464,0.373296,-0.674653,1.857426,1.243281,0.391936,-0.011048,yes
