@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute whistleornot {yes,no}

@data
-36.82994,-16.12427,-18.05618,-30.06672,-22.23483,19.53788,17.58695,-15.25659,-11.85575,-12.86608,-35.41649,8.558185,25.64627,-1.088485,0.163305,0.920915,3.640661,9.476622,1.324901,-10.29664,1.142017,-0.291958,5.726993,20.03902,-1.762129,-0.103617,0.193446,0.18447,-0.020916,1.315631,-0.441715,-4.428931,-0.038732,0.794521,1.640581,-0.380391,-4.528601,0.060246,0.004664,yes
-40.42713,-15.48006,-11.3226,-19.43047,5.325712,42.89274,7.862317,-21.05836,-7.488818,-25.32362,11.9301,23.64338,25.31257,-0.635461,0.280359,0.702687,5.645647,11.39516,-8.611859,-13.61286,3.073499,3.163504,10.51558,10.08181,-2.788886,-0.105529,0.345564,0.255453,0.022163,1.80272,-2.841073,-5.023746,2.641188,1.667885,1.260488,-2.063242,-7.183972,-0.584129,0.018322,yes
-40.47377,-15.62985,-16.81839,-17.18154,11.36801,14.48496,-29.03393,-6.645628,-15.49901,21.99765,41.1053,-7.795056,25.29503,-0.347765,1.027128,0.925451,9.216325,6.308774,-15.85138,-8.832189,4.148881,6.183215,1.430745,2.374615,-0.94752,-0.079342,0.32366,-0.094446,0.595634,1.434533,-5.159956,-1.391519,5.388807,1.450907,0.418251,-3.355658,-7.352647,-0.413698,0.02249,yes
-38.18533,-14.96968,-15.16163,-8.281077,17.93956,-20.99495,-27.16689,-4.194582,5.783399,22.27993,-23.26832,2.790377,25.29424,0.268974,1.008657,1.02946,9.866429,-3.144819,-15.20569,2.177076,7.978009,2.772895,-2.441097,-7.04864,-5.090077,-0.024143,0.305614,-0.288973,1.028201,-0.612698,-5.576051,4.452525,5.965952,-0.377756,-1.809334,-2.465233,-2.876759,-0.491641,0.019998,yes
-39.68967,-11.24382,-11.5094,10.44021,3.002113,-27.77516,-9.059386,-2.944075,12.42422,-29.51413,-5.944203,14.24709,25.25872,0.077599,-0.673076,3.735699,8.702935,-9.053167,-2.335778,8.752431,5.944299,1.994601,-4.572963,-8.158996,-2.680025,-0.031858,0.437982,-0.202616,0.565992,-3.545435,-2.803888,6.72712,2.432543,-2.28475,-1.834762,1.597243,-0.135782,-0.368355,0.007654,yes
-39.47432,-12.62979,-8.82979,16.0908,-6.215438,-12.00565,8.760427,16.98092,-7.585955,-11.77321,0.21165,-12.82808,25.21001,0.679929,-0.314404,4.438566,2.838852,-8.804121,6.892967,7.424596,0.287013,-3.78886,1.191266,0.964823,-4.380839,-0.029281,0.482494,0.611225,-0.170335,-4.665212,0.337785,4.576161,-2.161103,-4.578026,0.25818,1.30288,1.83577,1.261222,-0.008299,yes
-39.44129,-20.16517,-1.305817,14.14719,-21.82033,-1.68858,-3.235436,12.48812,1.158671,16.15941,-11.42967,-13.38595,25.17785,1.636666,0.67558,2.050856,-4.997063,-4.881012,6.734898,0.706766,-3.42937,0.290285,7.600779,-2.311027,-3.143912,-0.038506,0.361758,1.173465,-1.613623,-3.886442,2.798645,0.173275,-3.305631,-3.318399,0.821065,-1.467001,2.456187,2.086201,-0.007018,yes
-34.90988,-12.08103,1.929406,4.05969,-13.66982,0.426596,7.044112,-10.47561,-7.528126,5.399491,-15.70148,-5.297298,25.18827,1.901912,3.390452,1.020209,-6.609632,-3.541971,3.139779,-4.605608,-10.22529,4.915956,-2.013566,-0.793775,1.447977,-0.062316,-0.321888,0.696486,-2.071276,-0.800749,3.011866,-2.547189,-2.661545,0.318802,1.14251,-3.297472,0.995938,2.536263,0.006517,yes
-33.78856,-8.140299,-6.63472,-8.529552,-17.67576,-0.316789,-4.6674,-6.362665,13.84673,-0.09659,-9.542774,-5.237863,25.07707,1.275396,3.341823,-2.623238,-6.005033,2.308985,0.407191,-1.760624,-5.391548,1.74752,-10.30555,5.001239,4.836573,-0.050431,-1.064222,-0.240344,-1.57473,2.01232,2.029658,-2.709505,-0.092186,3.133595,-1.09892,-1.837857,0.682577,1.030989,0.036248,yes
-32.79112,-1.689965,-1.064296,-5.618979,-25.99758,3.007354,-13.55163,-24.72012,10.6498,-13.71305,-4.700673,-9.662242,24.94883,-0.748877,1.834906,-3.580764,-0.660908,2.660209,-2.679126,-4.649435,2.862111,1.195071,-6.342927,2.28838,4.310233,0.009265,-1.288754,-1.270017,-1.044571,2.57974,1.020436,-1.396196,1.718576,4.830961,-2.119404,2.752574,-1.27916,-1.015232,0.062007,yes
