@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute whistleornot {yes,no}

@data
-18.45669,-8.805938,-4.86954,11.34175,-0.296165,-12.87634,-9.38997,1.842943,0.639099,-12.58739,-3.332639,-4.900166,26.38391,-0.860284,-0.888363,-2.213137,-2.108189,0.453424,1.531489,3.382965,0.981887,-3.846379,3.253935,-0.513637,2.939157,-0.002034,-0.273643,-0.549655,-0.165243,-0.181419,-0.625495,-0.093055,-0.578602,-0.710587,1.233855,0.034777,0.847894,-0.861697,-0.00982,yes
-19.66671,-9.655841,-8.712175,7.191164,4.038594,-8.981486,-3.21202,7.713837,-2.322807,-0.217851,-13.07962,10.08774,26.38213,-1.509281,-1.987541,-2.04817,-2.528359,-0.854657,2.397065,3.332933,0.812096,-1.838594,2.687635,1.183141,0.226273,-0.014066,-0.271538,-0.608667,-0.198405,-0.523498,-0.976055,-0.818541,-1.330974,-1.025385,1.974453,-0.184291,1.436979,-0.863273,-0.022862,yes
-22.1531,-12.8228,-14.0139,2.876097,-0.196426,-7.166329,4.43588,3.816931,-17.11184,-2.502481,-1.027335,2.301667,26.37463,-1.904003,-3.087051,-3.121834,-2.805199,-2.020009,0.633424,0.51497,-2.48615,1.319004,3.71097,2.877443,-0.012887,-0.045117,-0.044232,-0.170932,-0.157964,-0.576268,-0.507779,-1.260381,-1.801348,-0.614318,1.992796,-0.638526,1.386053,-0.223417,-0.032919,yes
-24.15489,-16.73521,-10.53821,2.932781,-4.619318,-3.746025,0.361773,4.916428,0.3216,-4.191669,1.430417,-7.369719,26.31822,-1.696117,-2.832355,-2.750814,-4.377175,-3.190134,-2.112182,-1.837909,-2.411019,3.443193,2.103964,4.975718,0.098816,-0.094804,0.28629,0.622379,0.306156,0.073078,0.400062,-0.667139,-0.952012,0.109626,-0.057797,-1.277052,0.789772,0.785882,-0.031712,yes
-25.73261,-20.70151,-19.56569,-0.555052,-6.067251,-12.32695,-8.602016,-9.189103,5.911917,7.954371,3.799562,3.76413,26.19028,-0.988028,-1.320618,-2.651633,-4.065121,-0.917735,-2.515793,-3.038354,-0.478144,3.476709,0.353139,4.52034,1.885801,-0.126261,0.377159,1.19389,1.160636,0.802404,1.326596,1.341131,0.504974,1.038486,-1.224717,-1.252877,-0.432423,0.010934,-0.016445,yes
-26.35754,-19.87827,-19.69035,-12.97914,-8.976665,-16.96209,-5.882614,2.16176,3.381279,5.073542,9.385527,9.850592,26.00029,-0.535817,0.241135,-0.752489,-1.53301,0.594518,0.635978,0.349535,0.356221,-3.20643,-2.018708,4.310552,3.206338,-0.132055,0.298848,1.136346,1.419754,1.889152,1.788801,2.106174,0.556652,0.32147,-1.03343,-0.248689,-2.405287,-1.318949,0.010294,yes
-25.99191,-17.85436,-22.696,-9.493548,-2.606427,-13.13726,-7.633699,2.803545,-1.258137,-5.369393,17.59681,3.120514,25.90229,-0.598357,1.345654,1.682186,-0.21526,2.720648,5.964997,1.946119,1.32266,-1.479769,-0.492078,1.047912,-1.511979,-0.108714,0.435519,0.858024,1.188347,1.386682,0.624127,0.707035,0.037706,-0.116073,-0.043638,0.455944,-2.8211,-1.085757,0.034728,yes
-26.70432,-16.95311,-12.7355,-0.263021,-3.377142,-0.160981,1.625291,0.701207,-12.12553,-7.623328,16.08455,8.98378,25.80194,-0.396712,1.516236,2.181045,3.143655,3.934678,4.178292,-1.546884,-1.704071,0.754282,1.283128,-5.314501,-4.797038,-0.052107,0.741198,0.443841,0.071314,-0.16426,-0.827589,-1.548251,-0.954811,-0.587075,1.146115,0.137173,-1.725313,0.027884,0.047566,yes
-28.55101,-15.43582,-14.63219,-7.98941,4.736229,9.097482,-2.625372,-1.845528,6.266475,11.84242,5.689609,-3.362357,25.74588,1.120013,2.331952,1.823336,0.529957,0.532818,-0.751774,-1.901617,-0.028366,1.278162,0.98194,-4.77263,0.458702,0.007407,0.878879,0.039726,-0.51459,-1.098022,-2.331073,-2.662945,-0.539077,-0.67077,-0.107868,-0.939774,0.223844,1.773749,0.041161,yes
-27.06155,-13.50636,-12.81703,1.987072,7.025397,-7.187996,-16.1212,-4.034058,3.39038,2.883275,-11.23338,-10.89316,25.81796,2.310988,1.967192,-0.466495,-2.72692,-2.449511,-3.746892,-2.50065,-1.903641,1.145179,-2.069853,-1.405744,2.360419,0.047714,0.436994,-0.457135,-0.652672,-1.755187,-2.031888,-0.937777,0.555226,-0.407697,-1.135885,-0.764764,1.67539,1.709445,0.015433,yes
