@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute whistleornot {yes,no}

@data
-46.35352,-34.70729,21.5266,33.0864,-33.81125,-34.01181,48.23166,24.81574,-68.67834,36.07133,15.363,-20.50653,23.12707,0.29802,2.559785,-0.412986,0.560711,1.851356,-1.314682,0.838335,2.018355,-3.199902,0.971399,2.079085,-2.235507,0.111486,0.177735,-0.038542,0.085076,-0.307329,0.008184,0.000658,-0.546819,-0.176597,0.350841,-0.02567,-0.862808,0.265789,-0.006429,yes
-43.33102,-27.42723,19.65514,35.37553,-23.85193,-47.72584,49.69343,39.31807,-79.86682,23.25237,38.7968,-35.04675,23.47813,0.15647,2.491937,-0.321427,-0.004221,2.520155,-2.372974,-0.333009,2.33544,-2.439659,-1.092655,1.723748,-2.773948,0.115982,0.123242,-0.465456,0.328123,-0.387431,-0.201671,0.208805,-0.875473,-0.510083,0.981582,0.156338,-1.438251,0.887842,-0.020468,yes
-46.37468,-25.5484,20.3974,34.74539,-29.53414,-33.72821,51.69245,27.65635,-79.08362,47.33781,14.04152,-24.41396,23.50897,1.257471,2.401001,-0.033386,-0.693468,1.557878,-0.782245,-1.310086,0.976828,-1.82582,1.875078,-2.057287,-0.637341,0.077093,0.324869,-0.694981,0.42488,-0.396627,-0.172316,0.062313,-0.843783,-0.178499,1.012482,-0.418776,-0.625372,0.973492,-0.024917,yes
-45.5606,-26.82706,20.48406,32.23581,-23.34903,-46.01849,44.83622,35.07264,-75.674,24.97482,24.64248,-32.42255,23.51604,0.434504,0.311896,1.037829,-0.749356,0.989739,-0.536875,-2.464819,-0.011297,1.020967,1.301248,-3.043984,1.404621,0.026344,0.224465,-0.68836,0.40432,-0.216917,-0.473197,0.573345,-0.127896,-0.295495,0.792924,-0.093619,-0.137852,1.153966,-0.019252,yes
-38.95138,-23.00238,20.9452,31.18893,-26.27331,-38.77671,44.10984,31.8226,-79.90385,44.5855,12.15373,-25.00533,23.49359,1.783347,0.174903,1.031788,-1.049858,1.754984,-1.921164,-2.314675,2.299229,0.132197,-2.31943,1.336089,0.542667,0.03172,-0.088731,-0.504249,0.119032,-0.023716,-0.197004,0.180209,0.351676,0.09484,0.516006,-1.207056,1.080205,0.16622,0.000251,yes
-44.87015,-27.14077,24.57038,33.40698,-20.53365,-47.88596,41.16064,37.17846,-74.35187,31.13477,24.52078,-27.72795,23.61754,1.015858,0.163186,1.167587,-0.910609,0.055617,1.063208,-0.470195,0.196767,0.545951,0.536503,-0.662199,2.405876,0.04241,0.047179,0.029183,-0.308956,0.007382,-0.168507,0.323062,0.78108,-0.094811,-0.065603,-0.627771,0.848025,-0.458064,0.012551,yes
-37.80316,-24.51703,23.51318,28.91051,-22.16691,-42.4003,41.95686,38.09958,-79.0837,32.66069,20.78282,-24.04792,23.61682,0.52314,-0.04589,0.496897,-0.731419,1.03992,-0.681242,-0.549019,1.346995,0.991716,-3.777827,2.152845,-0.306867,0.070317,-0.505764,-0.030602,-0.2697,0.29906,-0.168831,0.171691,0.888887,-0.620981,0.047653,0.378765,-0.095563,-0.487035,0.012489,yes
-41.05542,-25.2538,25.03801,28.82197,-25.12415,-38.89066,43.56173,32.91798,-73.35432,33.61974,17.01694,-20.87188,23.66647,1.300502,0.568209,-0.239507,-0.871666,0.504737,0.458475,0.557752,-0.009234,0.263194,-1.108408,0.787764,-0.460931,0.069802,-0.287752,-0.054441,-0.207473,0.260149,0.160546,-0.381317,0.411298,-0.251885,-0.060062,0.085894,0.027194,-0.527032,0.008475,yes
-38.24305,-24.17531,23.19587,29.82434,-18.77846,-46.68058,40.1642,40.68781,-75.44405,24.45388,26.66988,-29.9677,23.8207,-0.887792,-0.180619,0.386836,0.425973,0.686269,-0.760342,1.615784,-0.702674,0.511839,0.396851,0.133294,-0.459104,0.080468,-0.290573,-0.091732,0.05321,0.313607,-0.125851,-0.132723,0.246794,-0.543185,-0.160301,0.538361,-0.619435,0.182207,-0.002419,yes
-38.1477,-24.47058,23.5315,28.59174,-19.70419,-43.45345,44.84573,35.83818,-74.85573,29.69613,25.51607,-27.07272,23.86461,0.282562,-0.041656,0.185251,-0.188562,1.035171,-0.803829,0.503891,-0.037822,0.485582,-1.121368,0.483548,-0.153163,0.079707,-0.536424,-0.302248,0.099552,0.498301,-0.068673,0.002891,-0.219627,-0.427991,-0.35567,-0.227442,-0.550626,0.017472,-0.007264,yes
