@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute whistleornot {yes,no}

@data
-12.44568,-14.935,-1.500274,-9.401482,-13.95694,-5.649889,16.39248,6.475298,-17.7655,-10.71876,2.709969,12.27109,18.99732,-0.27527,-2.390578,-2.053563,-3.043047,0.448597,3.933902,-3.429358,-1.562242,1.206013,-1.683069,-2.684438,-1.640564,0.417709,0.065477,-0.052029,-0.047325,-0.291724,-0.7119,-0.357924,-0.156179,0.248256,-0.22624,1.313944,0.657116,0.101326,0.017296,yes
-12.58759,-20.91755,-6.903442,-13.61442,-13.03431,7.579783,17.54849,-4.969969,-9.760336,-15.51526,-6.261288,10.1044,19.98718,0.018271,-2.806335,-2.843826,-4.490911,-0.97283,4.277895,-3.951416,-0.086882,-0.258967,0.50921,-1.083971,-2.38614,0.520396,0.005162,0.299615,0.157779,0.329325,-0.815884,-1.436175,0.123892,0.041376,-0.015483,2.412464,1.196811,0.335829,-0.037395,yes
-13.75107,-23.89661,-9.066503,-22.51025,-12.17528,7.404788,-1.332319,4.38672,-15.73802,-16.73586,-6.226596,5.151621,20.59093,-0.094654,-2.442846,-1.895055,-3.777736,-2.400192,1.972284,-3.949225,-1.058643,0.807304,3.790508,-0.199093,-0.761146,0.452845,-0.065818,0.667855,0.151728,1.056314,-0.482294,-2.155633,0.741239,-0.373258,1.032216,2.725704,0.840188,0.2352,-0.09607,yes
-11.70162,-24.48587,-11.93629,-25.30165,-19.71193,9.212248,5.497793,7.085177,-20.07408,-5.164164,1.758394,3.900126,20.80249,-0.339766,-0.866368,-1.343923,-1.029079,-2.20643,-2.266166,-2.549967,-1.607161,1.327954,7.642461,2.056942,-0.401126,0.213168,-0.273825,0.773355,0.342287,1.585315,0.009865,-2.207502,1.136214,-0.239831,1.717107,1.249393,-0.056355,0.309537,-0.125074,yes
-13.36193,-25.36507,-8.459128,-22.44655,-22.61909,3.3953,2.671701,-4.84549,-8.572109,3.058227,-2.295337,11.5675,20.85389,-0.425343,-0.021284,-2.044874,0.507608,-1.346075,-3.572234,-0.423888,-2.668394,5.573634,8.378827,-0.053953,-1.45707,0.090973,-0.335874,0.532474,0.060354,0.893338,0.350333,-1.085285,1.348165,0.375893,1.248147,-1.221496,-0.704731,-0.196551,-0.076072,yes
-14.48099,-24.51517,-13.92674,-18.79166,-18.84455,-1.746302,2.796644,-8.38967,-6.703525,12.79999,2.057793,4.89083,20.92154,-1.185508,-0.150343,-1.05748,1.292991,-1.450562,-3.987355,-0.033014,-0.48116,5.9434,4.462016,-1.438318,-0.490493,0.075961,-0.247199,0.006468,0.25447,-0.312551,-0.058438,0.529856,1.227953,1.122911,0.053667,-3.962484,-1.234288,0.453239,0.005557,yes
-14.4881,-23.98839,-18.29564,-23.2272,-19.33934,-4.977108,-2.101185,-1.217826,5.444868,16.1762,-6.646061,-2.629081,20.98628,-1.351153,-0.138489,-1.736509,-0.472082,-1.026462,-2.593548,1.533121,0.257822,4.740317,-0.726749,-1.975116,-1.699217,0.141089,-0.064027,-0.15893,0.551732,-0.9197,-0.016767,1.340839,0.964413,1.411424,-2.448092,-4.230989,-0.278427,0.948266,0.050575,yes
-17.06608,-25.92593,-12.30543,-18.44637,-28.60461,-6.538322,7.719164,2.865546,2.634432,10.58693,-3.257833,8.54595,21.1161,-1.112857,-0.775427,-0.225758,-2.101987,-2.658427,-0.106227,2.611295,2.544285,2.012949,-7.617173,-3.153919,1.986144,0.215894,0.081602,-0.133413,0.320236,-1.056993,0.421952,1.696782,0.406691,0.716755,-3.717041,-1.886316,0.528532,0.322801,0.046088,yes
-18.82515,-25.35213,-17.95233,-24.9796,-22.87137,-7.176428,7.876046,-9.18399,10.4605,0.531015,-9.513103,1.243854,21.46206,-0.781801,-0.503392,0.297926,-2.393402,-0.825977,1.191395,3.07602,2.876001,-4.701602,-6.73652,-0.588289,2.045943,0.27388,0.107672,-0.048083,0.208631,-0.203632,0.703833,1.110955,-0.558248,0.131234,-3.358762,1.00396,1.029355,-0.269127,0.000579,yes
-17.87675,-27.71043,-15.22719,-28.4254,-30.37067,-1.177776,10.8645,8.314837,0.853403,-17.46328,-12.27828,12.88508,21.76312,-1.062176,-0.634957,-0.473516,-3.031314,0.558954,2.604085,1.22899,1.793527,-7.920844,-1.964676,0.51093,-0.74907,0.240007,0.021549,0.162308,-0.214606,0.699496,0.894195,-0.128931,-0.956822,-0.828914,-0.93527,3.419796,1.262003,-1.418436,-0.049361,yes
