@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute whistleornot {yes,no}

@data
7.043121,-3.43806,37.69469,-31.36978,40.46609,-44.23494,29.95827,-28.48429,4.82364,-6.421258,-1.420733,4.361705,19.24127,-1.16615,0.401157,-0.435441,1.284218,-0.940656,2.966176,-0.611923,-0.507181,0.738932,1.061918,1.39452,-2.274783,0.053363,0.123232,-0.329958,-0.015597,0.273672,0.24364,-1.360121,-0.014756,-0.305802,0.177609,-0.61432,-0.261781,0.253871,-0.013524,yes
2.379116,-4.141485,36.19957,-26.7553,41.55501,-31.8658,29.92451,-31.19394,7.587709,1.517086,1.707412,9.731532,19.40261,-0.576047,0.00091,0.224272,3.435058,-0.425148,0.567853,0.251017,-0.689556,1.983476,-0.042933,1.001353,-2.691798,0.039176,0.252274,-0.336184,-0.20788,-0.146944,-0.24398,-1.918016,-0.631274,-0.364458,0.121446,-1.05713,-0.703503,0.338317,-0.059591,yes
3.544373,-1.08056,36.26504,-27.25592,35.21835,-35.58863,26.91553,-29.66537,7.136267,-5.080842,3.987796,-9.697122,19.42742,-0.84504,-1.048508,-0.843285,1.577159,0.01979,-2.635267,-1.117171,-1.945002,1.004707,-1.457257,0.282197,-0.796918,-0.007162,0.313823,-0.226254,-0.821904,-1.238467,-0.740222,-1.971427,-1.055469,0.589792,0.670272,0.000344,-0.330076,0.717159,-0.073795,yes
5.91226,-4.612257,39.53087,-16.25142,40.96422,-45.71883,32.73473,-31.34153,13.58471,-7.306131,0.881767,-2.067871,19.34408,-0.065338,-0.55493,-1.270919,0.403028,-2.640778,-3.823183,-3.51567,-1.610559,1.213276,-2.964147,-1.566834,-1.322131,-0.21433,0.309527,-0.014322,-1.207315,-2.581325,-1.639611,-1.068132,-1.333139,1.712383,1.261913,1.225531,0.574465,0.559316,-0.026727,yes
1.05135,-8.445214,31.81261,-28.73593,40.86044,-50.48476,22.96731,-38.13551,6.848675,-9.295933,0.403077,6.276815,19.23472,0.147612,-0.452191,-3.797366,-3.392102,-3.533952,-4.695441,-4.005922,2.90228,4.475394,2.524244,1.028232,0.62618,-0.188856,0.381842,-0.185913,-0.817054,-1.949795,-1.751717,-0.277209,-0.454863,3.180899,2.796174,2.294629,1.368707,0.625975,0.07741,yes
3.298938,-3.23381,32.07119,-24.00016,25.53008,-43.53365,14.32027,-35.01167,13.79789,-11.1961,-4.334399,-4.86609,18.42731,0.47526,-0.368859,-4.335261,-6.986937,-6.846334,-3.742721,-4.970302,5.448717,6.557698,4.093971,3.500662,-0.606767,-0.003612,0.151867,-1.115091,-0.154883,-0.940823,-0.883252,-0.284701,0.752476,2.794374,3.278783,1.570232,1.228911,1.537627,0.197221,yes
5.589092,-4.030737,21.00805,-40.34206,25.26566,-60.15843,16.09315,-13.3189,29.40665,9.485365,11.73704,-5.167115,18.94152,0.79387,-2.071108,-3.396384,-4.476834,-6.636019,-4.061543,-2.66417,10.42986,12.31337,6.486829,4.591986,1.975275,0.274528,-0.085117,-1.240574,0.973988,0.980641,-0.28339,0.143328,0.853099,1.262649,2.226518,-1.092381,-0.877385,1.836157,0.192959,yes
6.019689,-8.663789,23.25684,-45.38303,14.52993,-59.5956,11.3203,-16.50624,35.09421,3.773074,12.71809,0.620258,19.47262,0.370866,-5.320928,-2.245823,-3.758719,-5.506003,-5.563635,-0.424167,8.597523,13.68821,2.90572,2.795841,5.691459,0.540086,-0.150247,-0.742347,1.561784,1.967163,1.066129,-0.038754,0.941659,0.336538,1.045035,-1.837883,-2.520926,1.669395,0.112741,yes
3.660323,-16.08577,19.23787,-40.42866,13.18041,-62.7615,11.14644,4.761072,57.76734,15.65363,14.83676,13.41002,20.08471,-0.225778,-4.179024,0.027857,-0.103005,-5.621068,-3.068345,-2.013497,7.641122,12.04273,-2.343538,-3.006281,6.657854,0.504088,-0.028945,0.359371,1.546257,1.606256,0.854438,0.380519,0.761025,-1.162419,-1.369408,-2.047724,-2.563269,0.313487,0.009463,yes
6.117654,-23.81094,21.72717,-42.75045,4.042684,-70.05029,14.67279,-1.064039,68.05858,0.248367,8.094946,14.30264,20.55614,0.233848,-3.026636,1.76154,0.661964,-2.023162,-4.43309,-0.587345,8.525775,11.91819,-0.680259,-5.304833,5.398919,0.445312,0.108703,1.148618,1.150033,1.283902,0.677812,1.043439,0.362662,-0.915154,-3.363403,-0.149314,-0.778632,-1.317139,-0.060468,yes
