@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute whistleornot {yes,no}

@data
-40.64883,-37.46847,10.90925,33.25906,-21.4662,2.337934,17.83039,9.907743,-70.33643,15.12546,41.52409,12.37565,21.62328,-1.642731,-0.219137,-4.126907,2.301481,5.536329,-0.436401,-10.96013,-2.097568,16.95991,3.560926,-12.25088,-6.829288,-0.661294,-0.449359,-0.406833,0.200374,-0.201997,0.499297,-0.237042,-0.446915,-0.024105,0.785316,-0.085481,-1.508777,0.909873,0.028065,yes
-32.39784,-27.14327,0.583442,36.95089,-15.95376,0.343541,-6.394059,5.605752,-27.71269,29.28176,8.385862,-10.46927,20.64045,-2.437777,-0.375528,-4.085726,2.377348,7.125612,-1.653955,-13.54171,-2.944481,20.86159,5.783245,-17.40209,-7.093315,-0.742321,-0.643509,-0.905206,0.970762,-0.31,-0.044244,-0.165006,1.225012,0.752042,-1.425048,-1.58083,-0.226714,2.968682,0.15975,yes
-52.98799,-43.72675,-4.562389,42.92056,3.459227,1.153128,-24.85805,1.570901,-6.848753,25.85194,-3.161191,-10.34833,18.80823,-3.492002,-2.175105,-3.14563,1.253564,7.238174,-1.012833,-11.90392,-1.794636,18.93565,2.022364,-17.21916,-2.147909,-0.480456,0.382015,-0.239316,1.854104,-0.638832,-1.619315,-0.50003,3.037485,1.89954,-3.633049,-2.885804,1.576897,3.990044,0.307758,yes
-46.66814,-36.21697,-1.783569,40.31506,1.699147,-5.33944,-28.53397,-0.646239,2.227687,38.67844,-23.14371,-11.72894,19.3192,-3.93564,-3.767181,0.236267,1.27544,4.464188,-0.973214,-4.36318,1.511178,8.846801,-3.573945,-10.90031,5.673435,0.047038,1.075821,0.376857,1.986617,-0.572581,-2.480465,-0.48943,3.910309,2.558324,-4.672809,-3.764565,3.992659,3.625386,0.327701,yes
-50.97369,-43.80715,-3.635401,37.8448,5.898217,0.115261,-30.61924,4.060561,9.371634,20.53894,-28.80693,2.265934,19.88163,1.016275,0.28011,2.982614,-0.341726,-1.229532,-3.276921,-0.361972,5.172302,4.80206,-6.189497,-7.617282,6.73756,0.482819,1.694855,1.335838,1.36368,-0.464808,-2.272927,-0.732614,2.632659,1.862102,-3.567076,-1.986048,4.045388,1.021467,0.199906,yes
-53.08319,-45.93898,1.30128,45.86597,5.147681,-4.003595,-25.32936,11.91681,8.411125,14.06854,-33.29281,11.59077,20.33894,0.687187,0.281151,2.783236,0.312087,-1.042861,-2.969062,0.238858,6.363673,4.564343,-8.933649,-2.239736,6.59088,0.414545,1.399307,1.385883,0.118081,-0.416935,-1.163784,0.024622,0.345435,0.322503,-1.084398,0.243349,2.612275,-1.453314,0.024844,yes
-44.69909,-37.4652,8.808258,38.43647,-4.412699,-15.8994,-28.27021,21.15088,14.06983,7.209404,-36.17305,11.67961,20.71245,2.670859,2.47992,2.399283,-0.588797,-1.372934,-3.67798,-1.041638,5.089626,3.241496,-5.228026,-1.322508,2.500702,0.335319,-0.008397,-0.068049,-0.761303,0.224069,0.27135,0.9803,-0.522434,-1.115081,-0.881004,1.634241,1.894699,-1.765335,-0.085651,yes
-46.36951,-37.98219,5.910783,41.57965,1.640301,-12.17742,-28.51419,22.62696,22.70031,0.674966,-30.65933,16.51862,20.97652,2.233603,2.06233,1.118338,-0.685698,-1.283028,-0.649574,-2.296173,3.165034,4.205094,-2.837936,-0.986323,0.525292,0.245009,-0.300018,-0.526866,-0.781525,0.309769,0.125881,0.940653,-0.201435,-1.637188,-1.291828,2.048977,0.959311,-1.531179,-0.093241,yes
-40.97624,-35.38594,6.056261,37.04396,0.787236,-14.18773,-34.23501,24.15362,18.43452,1.095593,-36.73621,12.30552,21.23943,0.20108,-0.950726,0.008546,1.277512,0.247302,0.464832,-1.706626,1.196214,0.576664,-1.066146,1.229505,0.94368,0.139332,-0.886828,-1.015382,-0.729393,0.320877,0.290977,0.937229,0.442239,-1.53563,-1.166354,1.292233,0.652568,-0.379673,-0.097257,yes
-43.7766,-36.66696,8.268967,43.13373,-3.867429,-8.107301,-33.82782,26.24062,27.25425,2.935761,-37.94284,13.90427,21.30049,0.421986,-0.637857,0.070979,0.927776,-1.223573,-0.337204,-0.435822,0.124439,-0.562381,-0.769704,1.280813,-0.286501,0.046333,-0.551219,-0.316174,-0.503097,-0.23608,0.472871,0.04211,0.690954,-0.798565,-1.374112,0.701871,0.09047,0.102378,-0.071756,yes
