@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute whistleornot {yes,no}

@data
21.81835,17.30328,17.66073,19.47396,20.1645,21.67983,21.82398,22.23566,21.41166,20.61852,18.79839,16.96378,26.43044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
21.81835,17.30328,17.66073,19.47396,20.1645,21.67983,21.82398,22.23566,21.41166,20.61852,18.79839,16.96378,26.43044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
21.81835,17.30328,17.66073,19.47396,20.1645,21.67983,21.82398,22.23566,21.41166,20.61852,18.79839,16.96378,26.43044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
21.81835,17.30328,17.66073,19.47396,20.1645,21.67983,21.82398,22.23566,21.41166,20.61852,18.79839,16.96378,26.43044,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.603091,-0.911707,-1.039706,0.264223,-0.256627,-1.857606,-0.93073,-0.728787,-0.180004,-0.246993,-0.874139,-0.677463,-0.003788,yes
21.81835,17.30328,17.66073,19.47396,20.1645,21.67983,21.82398,22.23566,21.41166,20.61852,18.79839,16.96378,26.43044,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.718284,-2.060717,-2.118969,0.234414,-0.795131,-3.930323,-2.559098,-1.399269,0.173412,-0.946503,-2.256975,-1.061543,-0.009056,yes
21.81835,17.30328,17.66073,19.47396,20.1645,21.67983,21.82398,22.23566,21.41166,20.61852,18.79839,16.96378,26.43044,-8.015455,-4.558537,-5.198529,1.321115,-1.283134,-9.288031,-4.653648,-3.643935,-0.900021,-1.234967,-4.370694,-3.387316,-0.01894,-4.667843,-3.0195,-2.77739,-0.442178,-0.799921,-3.563452,-2.92732,-2.385325,-0.516309,-2.106187,-2.399135,-1.079755,-0.017383,yes
21.81835,17.30328,17.66073,19.47396,20.1645,21.67983,21.82398,22.23566,21.41166,20.61852,18.79839,16.96378,26.43044,-14.58369,-8.024318,-7.995582,0.511509,-3.334087,-15.0076,-10.46867,-5.174376,1.31707,-4.115029,-9.099529,-3.614057,-0.035813,-3.290363,-2.373408,-2.350672,-1.993907,-0.180117,0.0688,-2.491,-2.291833,-1.921938,-1.544496,-0.466422,-1.115105,-0.031738,yes
-18.25893,-5.489409,-8.331915,26.07954,13.74883,-24.76032,-1.44426,4.015986,16.91156,14.44369,-3.055083,0.027205,26.33574,-16.04737,-11.08534,-9.889158,-2.466644,-2.332562,-10.31346,-9.402266,-9.339436,-3.240078,-8.473421,-7.445912,-3.591747,-0.069006,1.047797,0.521001,0.382362,-3.043206,0.739681,5.556609,0.192622,-0.32373,-2.635012,1.105199,2.216752,-0.953935,-0.057217,yes
-31.06148,-11.42197,-9.320858,18.72872,6.701897,-30.1381,-18.88523,5.473611,30.24706,3.130796,-15.77252,7.361789,26.29873,-12.43586,-8.60364,-9.408048,-8.075655,-0.37587,0.856716,-10.08069,-8.611417,-8.439663,-4.103255,-0.7945,-5.473311,-0.133658,3.68838,2.82741,2.474999,-1.707609,1.505623,6.594943,2.39282,1.164378,-3.055125,3.061884,1.972433,-2.363588,-0.075337,yes
-31.97859,-23.76081,-18.29427,7.513364,15.23298,-3.978513,-4.832743,-16.0805,0.79357,-13.00472,-1.14572,3.806045,26.15127,-3.850388,-1.663869,-2.580485,-9.60133,0.93616,10.56286,-3.884524,-3.544062,-9.196714,4.285142,2.560551,-7.227365,-0.256104,3.813473,3.732374,3.486744,0.768838,0.79465,2.4911,1.986917,2.44645,-0.715285,3.311481,-0.919289,-2.65965,-0.05767,yes
