@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute whistleornot {yes,no}

@data
-35.69156,-22.06745,-20.03641,3.881261,-5.847144,-19.69394,-5.024388,1.250873,0.253759,-11.2239,3.655367,17.78463,26.06038,-0.817683,0.069708,2.688491,-0.542397,-2.089122,5.390403,3.665177,-0.129117,-0.328537,2.125131,-0.121745,-5.958722,-0.122306,-0.03318,0.630404,0.621599,-0.777678,0.077517,0.159522,-0.79758,-1.014756,0.594732,0.670855,0.037129,0.074401,0.003146,yes
-37.11301,-22.60113,-18.07206,8.690043,-7.926328,-21.76041,5.659491,2.270204,-5.975369,-15.31731,-7.311038,9.130743,25.76604,-1.17356,1.492565,4.451577,-2.370642,-3.014308,6.806264,3.062945,-3.658359,-0.417914,4.303963,-1.650976,-6.686846,-0.13768,0.143897,0.779491,0.392792,-0.898383,1.164257,-0.194652,-2.026268,-0.378207,0.546493,0.165488,0.757552,0.391242,0.022114,yes
-39.06925,-21.45207,-7.576137,-1.235116,-15.25316,8.291315,7.959558,0.095624,1.725639,1.448464,8.529842,-7.682034,25.59602,-0.805644,2.510302,4.91494,-3.516667,-1.238945,5.480084,-0.021605,-3.438274,2.689812,4.389988,0.828513,-5.222656,-0.098886,0.30636,0.67908,-0.269324,-0.329734,2.160388,-1.496151,-2.178469,0.35424,-0.427844,-1.047868,0.366006,1.082388,0.035511,yes
-39.87052,-14.91232,-4.008667,-5.413763,-16.21567,0.344758,3.798364,-16.46329,-2.57175,3.959737,-7.036752,-2.916266,25.60416,-0.104219,2.746867,3.539223,-3.547178,3.307075,4.372304,-4.622772,-0.365574,0.894751,1.820143,3.190887,-4.370545,-0.023443,0.527955,0.022577,-1.146725,0.580661,2.506434,-2.063255,-0.785989,1.460033,-1.155595,-1.523398,-0.253715,1.86584,0.034673,yes
-38.34103,-13.36035,-2.49341,-6.650169,-7.897196,-3.346102,-4.201849,-6.573748,12.00101,1.087518,7.660789,-2.305145,25.64689,0.179447,2.837956,1.798048,-1.6028,5.552129,-0.873369,-3.384311,-0.004309,-3.124091,-1.872299,-0.71265,-1.704931,-0.001868,0.523719,-0.276134,-1.491272,0.897206,1.248807,-1.595144,1.42492,0.197925,-1.550486,-1.193569,-1.842918,2.313741,0.018072,yes
-37.99821,-12.91265,-2.917306,-6.338319,4.931063,5.91982,-11.37366,3.77702,-6.639302,-6.03612,9.077926,-15.41043,25.62339,0.97367,1.44162,0.276399,-0.42427,6.122325,-0.333282,0.814356,1.924825,-3.288936,-0.181883,-2.148972,0.883491,-0.012822,0.292827,-0.451513,-1.476323,0.440191,-0.888214,-1.47102,2.449247,-1.168396,0.620492,-0.325792,-1.928223,2.071728,0.008036,yes
-39.10817,-8.262122,0.868424,-8.786837,1.934114,1.136938,-1.375985,-10.04608,-11.86104,-2.915103,-3.090746,-9.959608,25.57706,1.274004,1.782257,-0.910009,-0.592093,3.597465,-0.142845,4.38443,-3.593852,-2.970776,-0.576844,-5.716146,3.719029,-0.013839,0.008358,-0.590696,-1.222276,0.443632,-2.231979,-0.950339,1.229221,-0.342552,2.74964,-0.161964,0.461716,0.104209,0.014466,yes
-34.6186,-10.25333,-4.307591,-6.466779,9.4803,-3.563174,6.457209,-5.103006,-7.085404,5.051632,-12.40584,5.328421,25.57497,0.812638,1.017153,-2.488361,-1.851577,-0.156663,-3.348056,3.739094,-4.412781,3.920555,-0.456544,-3.948481,3.276114,0.022722,-0.454713,-0.325886,-0.649324,0.775551,-3.231915,-0.433779,-0.554614,0.128498,2.528786,-0.641625,2.249418,-1.531683,0.014343,yes
-33.66082,-5.778725,-6.348312,-9.546406,7.81551,0.681171,8.804863,-20.10299,-2.629817,-7.340577,-10.17805,5.920576,25.60191,0.301754,0.096709,-2.930951,1.329012,-2.46827,-4.117675,1.299424,1.451736,7.019362,-2.544791,2.495683,-2.380197,0.052692,-0.584861,-0.400054,0.036038,0.724344,-3.022941,0.56024,-1.91609,2.038439,1.196985,-0.830637,2.814122,-1.861016,-0.003606,yes
-36.6587,-9.068584,-11.75074,-15.21642,1.207051,-10.59257,2.231384,-13.25843,8.347863,-6.106102,-7.120825,-6.969952,25.72458,-0.813769,0.654962,-1.95975,2.492933,-7.004379,-0.514761,-0.416213,0.044524,4.359923,-2.406033,4.992204,-3.72531,0.02563,-0.345782,-0.22037,0.577169,0.251261,-1.191197,2.136964,-2.230394,1.721118,-1.792891,-0.338746,1.865375,-0.683019,-0.029611,yes
-36.57935,-8.370949,-10.06475,2.233044,-6.270612,-15.93674,7.234048,1.290313,15.51914,-10.06019,6.745161,-15.7114,25.76572,-0.837098,-0.036919,-0.994122,0.85737,-8.093381,1.241707,-3.118367,4.369691,2.794463,-3.755282,3.884121,-2.085337,-0.033324,-0.078947,-0.305929,0.222465,-1.274442,1.185156,2.119816,-2.691047,0.441701,-3.695606,0.453036,-0.345302,0.478871,-0.038538,yes
-37.22818,-5.682406,-12.24812,0.108159,-18.49854,2.171977,5.161552,-15.57704,5.639735,-5.618725,4.093572,-2.482137,25.62121,-0.346848,-0.017881,-0.570933,-0.359451,-3.30009,4.657073,-5.203978,2.733834,-2.931451,-1.545029,4.684174,-0.286409,-0.082323,0.253551,-0.355117,0.018198,-1.089154,3.367957,0.538067,-1.715579,1.059118,-3.088178,1.428124,-1.603163,-0.042851,-0.018841,yes
