@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric

@data

-2.009255e+01,-8.489323e+00,-1.273888e+00,2.548610e+00,9.319285e+00,1.377770e+01,-7.739110e+00,6.329676e+00,4.837082e+00,2.247246e+01,-5.044534e+00,6.666001e+00,2.625153e+01,3.625334e+00,2.992176e+00,2.188321e+00,1.522634e+00,-9.763207e-01,1.497417e-01,3.303612e+00,-1.100131e+00,-3.355386e+00,8.462885e-01,3.524258e+00,8.066532e-01,-3.012466e-03,8.889952e-01,6.239578e-01,-6.885470e-01,-2.588885e+00,-1.686794e+00,-2.149630e+00,7.537188e-02,-6.775872e-01,-2.107943e+00,-2.731040e+00,-1.052191e-01,-9.670795e-01,3.334141e-03
-1.118768e+01,-5.448992e+00,-5.954463e+00,1.743083e+01,6.167771e+00,-7.607518e+00,7.401382e+00,-4.810144e+00,4.633389e+00,-3.397058e+00,9.976338e+00,-4.066439e+00,2.625373e+01,3.151883e+00,2.095321e+00,-1.058438e-01,-3.860884e+00,-4.161931e+00,-2.182111e+00,2.920642e+00,-1.238991e+00,-3.029337e+00,-2.295613e+00,1.929932e-02,-2.065495e+00,3.650856e-03,-9.152178e-01,-3.618410e-01,-1.021801e+00,-3.130858e+00,-6.538972e-01,-8.791037e-01,-1.619728e+00,3.750239e-01,-7.723805e-01,-6.604265e-01,-4.215549e-01,1.162026e-01,-9.546281e-03
-7.676820e+00,8.852122e-01,-2.487076e-01,1.215315e+00,-3.668620e-01,1.778552e+00,1.378507e+00,1.802845e+00,8.261361e-01,1.097467e+00,1.004438e+00,1.238795e+00,2.626227e+01,1.372050e+00,2.208877e-01,-2.318989e+00,-3.927287e+00,-2.800841e+00,-3.012070e+00,-1.028489e+00,-2.958735e+00,-2.950975e+00,-6.035728e+00,-2.427681e+00,-2.090314e+00,-1.295280e-02,-1.822249e+00,-1.180769e+00,-1.198066e+00,-1.432585e+00,4.057077e-01,2.840889e-01,-1.255637e+00,-6.358027e-03,4.084094e-01,3.507785e-01,3.565590e-01,7.217699e-01,-1.950930e-02
-1.221736e+01,-5.777708e+00,-6.589064e+00,-6.652345e+00,-1.405703e+00,1.922019e-01,-3.016067e-01,-5.432122e+00,6.312629e-01,-2.816092e+00,-1.245199e+01,-3.158593e+00,2.627907e+01,-2.045293e+00,-6.250780e-01,-2.858541e+00,-7.148063e+00,-7.712491e-01,-2.097745e-01,-4.288106e+00,1.561369e-01,-2.800065e+00,9.986248e-01,3.637179e-01,1.340322e+00,-5.357323e-02,-1.364380e+00,-2.726876e-01,6.596925e-02,5.912834e-01,1.073006e+00,1.113148e+00,-9.475366e-02,5.884247e-01,1.127963e+00,1.980109e+00,1.980091e+00,1.152666e+00,-1.960909e-02
-1.271746e+01,-7.220526e+00,-1.255153e+01,-5.046236e+00,-8.981842e-01,-5.182514e+00,-9.030058e+00,-8.153010e+00,-7.916730e+00,-7.996663e+00,-5.968777e+00,-4.239495e+00,2.617409e+01,-2.887321e+00,-1.551471e+00,-2.425659e+00,-3.996703e+00,-6.431231e-01,5.840179e-01,6.298027e-01,-1.829485e+00,-1.427975e+00,9.530624e-01,5.134843e+00,2.712594e+00,-7.194690e-02,-3.087057e-01,4.477719e-01,1.843713e+00,1.528095e+00,7.363467e-01,8.994938e-01,1.369302e+00,1.070275e+00,1.895943e+00,2.204814e+00,1.303765e+00,4.544202e-01,-1.772499e-03
-1.889382e+01,-4.521513e+00,-1.409575e+01,-1.517871e+01,2.577187e+00,-5.175858e+00,-8.834865e+00,9.484689e-01,-4.995502e+00,6.143130e+00,1.528154e+01,5.374317e+00,2.602995e+01,-1.540334e+00,1.618063e+00,2.773376e-01,-8.697589e-01,1.242424e-01,1.585583e+00,1.617728e+00,1.138507e+00,1.848980e+00,4.110537e+00,6.138491e+00,1.296383e+00,-6.489754e-02,9.546127e-01,6.147829e-01,2.403716e+00,2.955302e+00,2.534735e-01,-2.349232e-01,1.641996e+00,4.565291e-01,1.714505e+00,-7.080434e-02,-1.361602e+00,-8.401079e-01,2.370148e-02
-1.877520e+01,-7.500243e+00,-8.623659e+00,-1.450502e+01,-5.573923e+00,7.382671e+00,8.794149e+00,-1.053488e+01,-3.500359e+00,1.383167e+00,1.281189e+01,1.053531e+01,2.602709e+01,-4.239580e-01,1.338177e+00,5.331637e+00,5.740358e-01,4.331464e-01,5.877199e-01,2.865102e+00,1.901453e+00,4.204216e+00,3.432386e+00,1.203757e+00,2.037561e-01,-1.615315e-02,1.147597e+00,5.301429e-01,1.228188e+00,2.124543e+00,-1.420541e-01,-1.134116e+00,-7.733635e-02,1.419902e+00,1.057455e+00,-1.138401e+00,-3.246425e+00,-1.499547e+00,3.179352e-02
-1.689016e+01,2.452463e+00,-7.166313e+00,-6.271750e+00,1.553378e+00,1.837525e+00,-1.125068e+00,1.451349e+00,7.667976e+00,1.304668e+01,8.850133e+00,-4.064081e+00,2.602808e+01,1.496090e+00,1.004012e+00,5.281393e+00,5.343080e+00,-4.201665e-02,-1.386242e+00,2.804226e+00,5.733135e-01,2.956366e+00,-5.950586e-01,-4.478748e+00,-1.605798e+00,3.703728e-02,5.697927e-01,-6.627852e-01,-8.631672e-01,5.014774e-01,-8.910131e-01,-6.341767e-01,-5.187429e-01,1.017141e+00,-3.008656e-01,-2.039198e+00,-3.018340e+00,-7.862494e-01,1.817089e-02
-1.583908e+01,-4.016630e+00,1.064193e+01,-6.629538e+00,1.779452e+00,-5.750606e+00,1.440555e+00,1.102815e+00,6.772612e+00,5.713491e+00,3.265711e+00,1.498485e+00,2.609426e+01,1.332452e+00,1.406268e+00,1.213255e+00,3.519592e+00,-1.270264e+00,-3.600652e+00,-3.501280e-01,5.552621e+00,3.305608e+00,-2.386147e+00,-5.788663e+00,-3.334052e+00,3.605328e-02,-4.524976e-01,-1.171339e+00,-2.765202e+00,-9.120399e-01,-6.960438e-01,5.057054e-01,-1.006406e+00,3.522534e-01,-1.929146e+00,-1.783122e+00,-9.100429e-01,-2.685044e-01,-1.334410e-02
-1.288143e+01,-1.243257e+00,2.678413e+00,7.598948e+00,-1.309584e+00,-5.540427e+00,8.863066e+00,-2.003810e+00,4.649843e+00,1.002675e+00,-2.339113e+00,1.863739e+00,2.618155e+01,4.304253e-01,-1.729909e+00,-1.979307e+00,1.648493e-01,-3.479118e+00,5.088856e-01,6.316291e-01,4.398628e+00,7.939559e-01,-3.176187e+00,-5.456998e+00,-8.659598e-01,-1.462936e-04,-1.320422e+00,-1.502278e+00,-2.169239e+00,-1.973775e+00,4.626659e-01,8.518650e-01,-1.148251e+00,-5.441783e-01,-2.002177e+00,-4.519028e-01,6.546088e-01,7.662860e-02,-3.514982e-02
