@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute gunornot {yes,no}

@data
-27.41688,-7.411362,-6.551319,-11.73265,-13.89069,-10.20726,-16.12328,-14.55643,-4.52517,-7.495237,-2.340541,2.26845,25.85165,0.992267,1.699179,0.164431,0.027205,-2.069488,-2.612025,-1.980247,-3.497133,-0.296967,-1.867756,-1.010967,3.902322,-0.036037,0.881772,0.119133,0.155529,-0.012188,-1.22095,-1.829599,0.351342,0.301045,-0.171158,0.245861,1.228865,-0.20388,0.002821,yes
-21.06911,-3.653726,-5.548908,2.254153,-12.49623,-11.4494,-14.13022,-7.115007,-2.224142,-12.30244,-11.15295,-4.840768,25.82369,1.773526,1.267583,0.350996,0.006802,-3.197954,-6.152551,-1.732233,-1.269621,-0.700979,-2.41565,-0.344616,1.552436,-0.026047,0.005889,-0.383615,0.029094,-0.848109,-0.296973,-0.537136,0.924351,0.222544,-0.937781,1.535806,1.55589,-1.214983,0.010449,yes
-21.54405,-2.563106,1.248246,-6.120604,-13.79033,-20.50373,-14.92476,-15.51159,-9.072327,-12.32671,-12.09078,-4.322601,25.77344,1.319067,0.35277,-0.208141,-0.591121,-1.793625,-3.475547,1.603965,2.268099,-1.375932,1.112462,1.18848,-2.041081,-0.008875,-0.74993,-0.448077,-0.306399,-0.178965,1.133422,1.494029,0.733994,-0.140497,-0.614498,2.323939,1.500119,-0.946964,0.015086,yes
-22.79913,-5.24229,-6.398352,-5.189125,-19.31083,-33.7622,-20.39453,0.067171,-8.133461,-16.73412,-10.91274,-8.686193,25.78246,-0.899508,-0.145424,-1.014929,-3.168337,-0.063116,-1.229964,1.156287,-1.712633,-3.012099,5.835413,5.243952,-2.04141,0.010395,-1.064834,-0.359681,0.358137,0.843006,1.897754,2.301671,0.290738,-1.358953,0.317099,1.571067,0.589227,0.773244,0.008759,yes
-19.95653,-4.85323,-7.167303,-10.96661,-19.45152,-16.4286,-4.971295,-6.807025,-8.450171,0.282908,3.481754,-6.014241,25.82789,-1.420864,0.165296,-0.6846,0.719951,2.030202,2.396828,0.245461,-3.978114,-2.213894,5.626405,3.695346,0.964426,0.02117,-0.835906,-0.509797,0.858122,1.778946,1.326355,0.562673,-1.017636,-0.785476,1.297007,-1.019384,-1.248709,1.179066,-0.004492,yes
-26.36041,-3.235785,-6.415777,-11.16453,-9.981215,-19.63678,-13.32551,-20.03045,-17.59572,10.56981,7.280548,-14.202,25.84844,-2.180681,-0.437085,2.379908,3.566296,4.378905,2.419616,0.400707,-4.941281,1.303496,3.182714,1.348086,3.9159,0.002727,0.05293,-0.569423,0.559,1.051624,0.074077,-0.120021,-1.024721,1.465209,1.20394,-3.503094,-2.561365,0.240276,-0.014024,yes
-26.86773,-2.73988,-2.166042,0.466855,-8.304131,-15.58229,-17.23196,-25.35335,-15.41067,2.153352,-2.710689,3.257428,25.8463,-2.219876,-2.050383,2.385051,4.936293,2.617141,-2.486973,-3.106423,-0.044956,2.951306,-2.658109,-3.107132,0.875593,-0.027502,0.691141,-0.434159,-0.542752,-1.113997,-0.6161,-0.451249,-0.546847,2.755057,0.263809,-2.399313,-1.70938,-1.40017,-0.008397,yes
-30.24694,-8.484389,3.000557,6.925623,-2.989997,-22.08727,-12.26067,-15.36607,1.864266,-1.755767,-1.076088,6.257473,25.78689,-0.23535,-1.884701,0.245246,-0.018389,0.013798,0.611832,-2.291377,3.646834,0.424999,-7.537802,-4.161633,-0.795616,-0.035391,1.229346,0.232274,-1.299801,-2.28605,-0.665825,0.244078,-0.103059,2.447964,-0.561335,-0.061445,0.03894,-1.452052,0.011623,yes
-29.11265,-12.48084,0.049784,4.669775,-9.861418,-27.63822,-21.03584,-9.363996,-3.423631,-6.844849,-7.875588,-11.86601,25.72116,1.062174,-1.281692,-2.331029,-3.05769,1.132255,1.044473,-1.14273,5.503111,-0.455603,-1.009905,-2.096693,-3.680664,-0.001756,1.100989,1.089847,-0.756554,-1.616041,0.38599,1.181768,1.133051,0.612935,0.102289,1.585915,1.451206,0.306876,0.026838,yes
-26.4147,-7.788812,-6.297458,-13.35793,-9.133583,-10.54966,-22.88046,-9.790959,-21.46424,-22.6201,-10.94517,-10.61835,25.73406,2.325024,0.339941,-1.761054,-3.866964,1.792226,1.874285,-1.096436,4.524507,0.200274,2.051385,1.037565,-1.066231,0.04797,0.163371,0.819761,0.181277,0.466934,0.273008,-0.089703,0.514041,-1.976422,0.502352,1.444822,1.424752,1.273437,0.023893,yes
