@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute gunornot {yes,no}

@data
-29.6449,-7.720702,14.51356,0.715387,1.969193,-18.80312,21.19237,2.170441,-5.112244,-9.195619,13.3807,-0.498215,15.29526,-4.482543,-1.108851,-7.300066,-0.473169,-6.250145,1.366505,-9.566882,-3.331212,2.573377,1.614656,-1.88797,-1.473325,2.327087,-0.171556,-0.856364,0.517983,0.422822,0.890924,0.480547,0.776386,0.227261,1.019987,1.710438,0.188438,0.912648,-0.339735,yes
-38.68203,-3.859962,-4.128493,4.944905,-11.48565,-5.643449,-7.847698,-2.599024,3.103699,-6.427045,5.825133,-7.942774,22.86713,-6.245112,-3.320227,-6.958125,0.374553,-6.74997,-0.377564,-9.285065,-4.62815,4.199813,4.156968,-1.600449,-0.083504,2.35486,0.742962,-0.591559,2.207226,0.879108,2.504433,1.02533,3.162757,1.541185,-0.027111,2.315166,0.676783,1.020836,-0.996436,yes
-47.53905,-15.19532,-12.66574,-3.765219,-22.55411,-18.55043,-12.12201,-12.10089,3.64667,-2.506626,7.718639,-4.142559,23.14476,-4.45904,-4.28498,-4.881119,1.21708,-1.545612,4.641276,-5.82586,-1.546441,6.860093,8.895689,-1.089541,2.395005,0.614529,2.087858,0.369932,3.291359,1.289285,3.616258,1.235899,4.101201,2.337766,-1.406875,1.312532,0.861761,0.755724,-1.319792,yes
-51.92339,-20.58452,-6.687415,4.828455,-19.51901,-20.81728,-8.575763,-13.83465,11.50736,8.244725,8.209489,0.906438,23.14481,-0.779482,-2.47858,2.526592,3.077246,3.919756,4.855769,4.376393,3.482326,0.294463,9.549967,1.09673,1.696688,-1.798815,2.801569,1.143285,2.721796,0.769485,3.063873,0.772863,3.770903,2.231257,-3.64169,-1.128064,1.250434,0.158923,-1.119885,yes
-45.31942,-20.78332,-8.612573,6.859013,-1.742188,11.99018,-7.572893,0.05605,24.98639,27.94694,6.740819,7.052203,18.22906,3.223933,0.319983,4.414372,4.621911,6.496283,4.929334,4.108393,4.302381,-2.508323,5.480815,1.072243,1.415197,-2.195035,1.571352,1.206199,1.172189,-0.192509,0.123333,-2.012649,2.190717,0.300179,-3.592897,-3.590512,1.160957,-0.931445,-0.111959,yes
-43.68925,-13.45886,6.477882,15.01902,-2.292835,3.36509,11.75971,8.734137,-6.093847,26.096,11.79769,-5.056713,16.3309,3.921247,0.093718,2.003108,2.51956,4.548447,3.342722,4.602323,3.603725,-9.324428,0.224083,3.570827,1.201013,-1.839781,-0.405494,0.177351,-1.283176,-1.790043,-2.669521,-2.953262,-0.334238,-1.144212,-0.051107,-3.922075,0.351636,-0.708253,0.777096,yes
-35.53645,-17.15824,2.823472,14.24905,1.314219,-5.994943,-1.747776,-1.873378,-0.094341,15.97181,11.28575,5.915,15.57654,1.047356,0.459866,1.241567,0.533376,-1.243292,-4.665445,5.014759,-0.106246,-6.294947,-4.393928,3.478196,-2.014385,0.075215,-1.555295,-0.764726,-1.680428,-2.40152,-3.598046,-2.829726,-1.068176,-0.887608,2.307767,-2.519852,-0.224315,-0.422428,0.948142,yes
-37.20864,-21.92848,-2.389896,13.73124,1.695024,4.88889,11.52329,5.14869,-22.57441,15.35271,23.79116,7.480106,15.27217,-1.718665,-1.661768,-2.302884,-3.828702,-5.558061,-5.113149,2.25202,-0.034423,1.932239,-5.123036,1.651935,-0.129785,0.951537,-1.095922,0.178385,-1.148224,-1.604677,-1.18872,-1.270711,-2.038484,-1.344575,3.973809,-0.968573,-1.026262,-0.672053,0.694067,yes
-43.32295,-14.24918,2.029153,10.16979,-9.952577,-12.09894,17.61911,1.317543,1.751934,11.34895,18.13507,-9.28813,19.13451,-1.732585,-2.625903,-1.834772,-4.211558,-6.440691,-4.991361,-0.057337,1.683417,3.402179,-4.444885,0.910115,-0.031545,1.150015,0.031705,0.606261,-1.511126,-0.246705,1.84033,1.258073,-3.043369,-1.592605,1.057333,-0.174331,-0.971177,-0.440536,0.181994,yes
-48.38933,-23.22223,-4.639379,-2.084857,-24.44974,-19.14866,13.33637,6.966559,2.644211,2.792251,16.63271,1.895926,19.3096,-0.168391,2.528529,-2.199844,-3.131357,1.203545,-2.847876,-3.05405,-4.013979,5.696054,-4.593301,-0.276441,-3.150672,1.093156,0.508641,1.271422,-1.089929,1.303971,3.144724,1.777281,-2.370871,-1.843264,-1.979816,0.270618,-0.65742,-1.331735,0.008983,yes
