@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute footstepornot {yes,no}

@data
-9.270171,-7.884085,-9.472652,1.455512,14.61996,17.61355,-1.733169,7.010001,9.195749,21.68077,21.17666,-0.57637,18.96454,1.155517,0.095209,0.445179,0.163108,-3.442008,-1.27708,6.52686,0.801056,-1.779138,-8.820986,-4.589405,-0.102375,1.006194,-0.345993,-0.552454,-0.846557,0.145992,0.221581,0.21211,0.282395,-0.683544,0.133466,1.884257,-0.326344,-0.344383,-0.012217,yes
-3.957952,-4.90916,-5.282846,7.110929,9.818338,12.29777,-0.537015,4.94755,8.496872,-2.254514,18.23268,9.094076,21.24678,0.050492,-0.943009,-1.299722,0.244093,-4.409303,-2.20374,9.012678,-0.228479,-2.13259,-5.337834,-5.266118,-1.215794,1.190106,-0.371078,-0.717207,-0.947864,0.108115,0.96239,0.808151,-0.686999,-1.231991,-0.083228,2.64115,-0.21981,-0.435228,-0.195537,yes
-6.148693,-8.895501,-9.341662,-0.556658,-0.189274,13.88603,30.30305,12.04651,0.649496,-10.45652,-0.298371,-5.923469,22.85439,-0.021933,-2.147949,-2.915158,0.852576,-1.850458,0.246798,6.695924,-2.101895,-0.935081,-1.141277,-5.882771,-1.267579,0.853154,-0.473703,-0.899883,-0.605502,0.152324,1.483473,0.425374,-2.917647,-0.961104,0.252719,2.550082,0.130008,0.079611,-0.37803,yes
-10.57845,-12.09342,-16.03676,3.682065,-0.021941,8.458602,27.31211,3.349352,2.805925,11.06024,5.58359,-3.981792,22.97014,-0.111147,-2.369246,-2.613975,0.358946,0.574166,2.001737,3.007335,-3.907423,-2.617306,0.544912,-5.041771,-1.695914,0.105028,-0.340887,-0.469628,0.232876,-0.462132,0.901698,-0.355525,-3.951502,0.334733,0.751772,0.575364,0.197153,0.501362,-0.436801,yes
-6.069586,-15.0317,-18.67148,7.432826,10.28781,20.76712,17.82189,-2.700376,7.365819,9.317005,-1.912645,-0.376329,22.36863,-1.132176,-3.691084,-1.925207,0.8673,1.483624,-1.252952,-5.058703,-2.164993,-0.273188,0.988049,-4.051538,0.535741,-0.341418,-0.442847,0.345062,0.836409,-0.543121,-0.338953,-0.827,-2.462727,1.895636,1.208253,-0.51911,0.818146,0.675566,-0.299376,yes
-4.553241,-13.68729,-13.68781,4.910919,7.450627,18.86591,20.74024,-7.216121,-7.94782,-9.416715,-6.169041,-2.159065,22.0148,-1.098822,-2.519583,-0.630316,-2.07393,-1.567852,-3.23149,-4.867519,1.476732,1.295323,-3.525677,-5.195969,0.389355,-0.396613,-0.431357,0.976462,0.841858,0.136902,-0.360882,-0.124482,-0.799703,2.214113,1.899774,0.211582,2.035233,0.473035,-0.126746,yes
-14.82218,-26.55399,-20.14217,3.165413,3.49256,2.417619,8.295473,6.504278,4.66043,4.722199,-14.67975,-4.156127,21.62497,-1.742331,-0.347472,0.275059,-0.64659,-2.474213,-1.271588,-1.680285,4.684206,3.149868,-1.701533,-1.714943,1.067616,-0.392907,-0.106692,1.721691,0.840736,0.598447,0.58063,1.575046,1.274474,0.226704,0.556707,0.664604,2.887317,0.381897,-0.071662,yes
-11.69627,-18.93019,-18.45299,-4.553876,-4.463577,1.475903,7.73772,6.130685,10.63524,-4.270744,-14.0127,-0.145117,21.35891,-1.962853,0.841258,0.495183,1.800403,0.748673,1.388645,-2.680389,3.738544,5.170035,2.947611,3.966096,0.403323,-0.502957,-0.250695,1.142322,0.380427,0.468137,1.375196,1.927837,1.689581,-1.11365,-0.77195,1.679435,2.829,0.691092,-0.058612,yes
-11.20973,-14.14761,-14.9136,8.932275,3.873843,23.10419,15.92172,14.04725,13.82363,-1.763647,-6.56553,3.954775,20.73204,-1.23362,3.236947,1.715721,1.922367,3.22851,4.312211,0.220103,-2.162381,0.572991,1.074423,5.804017,2.438241,-0.646554,-0.04507,0.337882,-0.089827,-0.926782,0.58005,0.516641,1.081203,-1.373696,-0.980737,0.872203,1.350123,0.559015,0.028702,yes
-16.17373,-15.68419,-13.82618,11.0295,11.00335,15.46585,3.525169,7.705115,13.32076,8.564266,9.604334,-4.197904,19.94648,-2.606651,1.399815,0.551485,-1.017723,2.456765,3.615797,2.63019,-0.668222,-1.275987,3.483521,5.189549,3.159504,-0.56285,0.357682,-0.148329,0.000626,-1.037799,-1.150915,-0.7235,2.007295,-0.248647,-1.299767,-0.365099,-0.640522,0.255578,0.166964,yes
