@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute footstepornot {yes,no}

@data
-13.61419,-6.616102,-8.963797,-6.560205,-6.893475,-7.161934,-6.212829,-9.506196,-16.38644,-20.26975,-18.78876,-20.95276,26.19427,-0.136618,0.349934,-0.427055,-0.268529,0.569929,1.040307,1.410206,1.815033,4.634547,5.547793,2.099487,-1.007261,0.022664,0.086903,0.168969,0.246754,-0.260789,-0.505045,-0.896397,-0.938973,-1.04017,-1.159244,-0.761567,-0.347836,1.107235,0.004511,yes
-12.16134,-6.902027,-11.51184,-4.132169,-1.395601,-1.454664,7.370214,0.740576,-8.206894,-6.817499,-4.593258,-12.93913,26.22713,0.437626,0.922081,0.478809,-0.077933,-0.023773,-0.171956,-0.733446,-0.095871,2.624385,4.07407,1.755191,1.095849,0.03569,-0.061786,0.243614,0.464816,-0.335116,-0.403378,-0.974127,-1.115817,-1.350476,-1.811318,-1.918151,-1.097149,0.857222,0.002735,yes
-15.02371,-4.723468,-9.82505,-9.116871,-6.792769,-4.814034,-5.95332,-5.554417,2.696527,0.743092,-15.38908,-29.99588,26.29117,0.010778,0.908705,0.353783,-1.667773,-1.658444,-2.835547,-2.212835,-2.430363,-0.156592,2.476822,0.532455,3.477357,0.038707,-0.176194,0.11397,0.584892,-0.087038,-0.323309,-0.575859,-0.469233,-0.878238,-1.855217,-2.519835,-0.777032,0.69895,-0.001523,yes
-10.7213,-2.952013,-6.139123,-5.671536,-7.062692,-9.195662,-10.00981,-11.96144,-12.80599,-10.40582,-11.71265,-10.95195,26.32428,-0.519245,1.288618,1.506608,-1.244489,-0.332773,-1.892399,-2.357361,-2.814646,-2.026473,-2.507479,-2.602742,1.036538,0.028317,-0.484516,-0.213395,0.458112,-0.178991,-0.127701,-0.261122,-0.141165,-0.000699,-0.486296,-1.199237,0.252677,0.578389,-0.005631,yes
-14.28032,-4.047586,-9.881239,-14.12939,-12.35215,-17.46917,-8.58699,-15.307,-14.86985,-6.09148,-12.5668,-4.559557,26.33923,-0.539155,0.736515,1.983506,-0.120442,-0.892115,-0.978765,-0.124001,-1.216769,-2.316111,-3.760607,0.393295,2.517144,0.018733,-0.240863,-0.356506,0.19323,0.293071,0.207132,0.072631,-0.442578,0.198146,0.224442,0.195042,1.36034,1.156663,-0.005329,yes
-15.12925,-0.79688,-3.950701,-7.848356,-0.279774,-4.589088,-3.099753,-8.456364,-9.556074,-15.93761,-19.01811,-20.4746,26.34468,-1.709987,-0.058797,1.954507,-1.746555,-1.045444,-2.405956,-2.483686,-0.706165,1.272667,1.196601,3.088155,4.467902,0.017522,0.034972,-0.345068,-0.508796,0.404153,-0.103967,0.056761,-0.454726,0.364535,0.465491,1.299922,1.412275,1.646762,-0.003232,yes
-15.51551,-2.118462,-1.001734,-8.630671,-14.6448,-12.01114,-10.02835,-13.3908,-10.50899,-15.29405,-9.769876,-12.64884,26.37463,-0.598167,-0.200118,1.095981,0.048615,-0.266447,-2.215613,-4.362562,-2.493876,-0.68395,1.599992,4.488709,7.544992,0.017458,0.105248,-0.198981,-0.759933,0.610705,0.44733,1.140588,0.353145,0.781591,0.853727,0.85041,-0.314443,-0.634519,-0.003137,yes
-18.65365,-4.210562,-0.806343,-17.15367,-11.14359,-23.95446,-21.70756,-16.45037,-8.623089,0.17847,2.329667,15.4322,26.39419,-0.314876,0.031596,-0.593609,0.691748,-1.16544,-0.990172,-2.511709,-0.353416,-0.5151,1.311831,2.410926,6.756423,0.012795,0.186268,-0.013574,-0.766857,0.904924,0.767309,2.094052,1.573809,1.070128,0.679034,-0.97537,-1.408149,-3.462385,-0.004316,yes
-15.50896,-3.341333,-5.973514,-9.233655,-8.25248,-18.86455,-21.09589,-23.77938,-18.75609,-6.149558,-0.797142,15.212,26.40176,-0.710469,-0.303588,-0.542101,1.713933,1.404534,4.016284,1.655735,2.514814,2.846408,0.433828,-0.840305,-1.799712,0.005413,-0.053787,-0.021645,-0.485019,0.081951,0.44492,1.369148,1.757719,1.233666,1.448078,-0.758982,-1.068127,-4.40582,-0.003904,yes
-16.70691,-0.027465,-4.432857,-4.088124,-9.303133,-6.113244,-10.12453,-5.029151,-8.008023,-13.9507,-11.44985,-0.622907,26.39509,-0.722498,-0.074932,-1.060736,1.945406,1.955609,4.948354,2.37621,2.140131,2.902658,-3.097167,-1.288081,-8.171671,0.001967,-0.080475,-0.332196,-0.173062,-1.003437,-0.231741,-0.66285,0.569878,0.148527,0.56879,0.279717,-0.020621,-1.942257,-0.001628,yes
