@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute footstepornot {yes,no}

@data
-26.37717,7.011799,-4.039491,0.705522,4.772769,-10.35191,-20.00642,19.69147,-4.117142,11.52599,-11.42174,-3.049331,26.42275,-0.803002,-0.892099,1.983688,1.506599,-2.31053,3.289626,2.668965,-1.127638,-0.95668,-0.206971,-0.813432,-0.654789,-0.002105,-0.118908,-0.101075,-0.316967,-0.205521,0.291825,-0.083834,0.177197,-0.994838,-0.622795,-0.794144,1.212512,0.759735,-0.000504,yes
-27.42062,7.934804,3.097114,0.508478,-0.551328,-6.699806,-13.29714,21.21202,-12.58405,3.566479,-22.95288,-6.898417,26.41861,-1.094086,-1.240131,1.613851,1.039289,-2.698364,2.254199,2.305408,-4.226324,-2.799476,-1.538721,2.333365,0.917585,-0.002956,0.046942,0.01283,-0.543217,-0.289795,0.7809,-0.352529,0.523026,-0.473146,-0.567077,-0.640498,1.311933,0.391191,-0.001129,yes
-29.87045,2.0898,2.310644,8.337037,-4.117832,4.270171,-10.01623,13.293,-4.667086,14.4709,-9.723325,-4.398734,26.41429,-1.252001,-1.223457,0.583771,0.712649,-0.657487,3.388171,3.736726,-4.552486,-3.149256,-3.511813,3.675729,2.357696,-0.004201,0.109031,0.190128,-0.878427,-0.258407,1.0225,-0.835829,0.684581,0.615584,-0.166816,0.037388,0.55104,0.11203,-0.001528,yes
-30.10096,3.272141,0.854695,2.086209,-4.273751,-6.391954,-13.47448,1.75908,-17.83955,2.359939,-0.604118,2.213297,26.4122,-0.343795,-0.662273,-0.032438,0.454597,0.767451,1.477706,4.750216,-1.780946,-2.695777,-1.757038,3.501653,-0.205076,-0.006703,0.093709,0.274107,-0.808105,0.10349,0.760753,-0.709572,0.525878,2.11482,1.267256,1.233021,-1.030744,-0.767193,-0.001456,yes
-31.29701,3.225845,0.000575,3.479902,3.346548,6.435023,-1.234123,6.655503,-17.23568,-5.429803,-4.217473,4.183292,26.40495,-0.632994,-0.230391,-1.585301,0.506911,1.069064,-0.501275,4.869467,0.72759,-1.842608,0.089127,1.357625,0.466693,-0.007873,0.093555,0.293328,-0.387341,0.326527,0.186032,-0.847435,-0.470201,1.601933,2.306756,1.457575,-1.152968,-1.28114,-0.000498,yes
-28.42632,4.055418,4.089959,5.210032,-0.446265,-0.393701,6.062885,15.62603,-19.77864,4.731638,-8.197541,-12.21481,26.38977,-0.935043,-0.366131,-1.342136,1.659606,0.242125,0.651063,4.368428,3.707739,2.883477,2.825913,-1.661303,-1.97288,-0.008403,-0.00736,0.24604,-0.041099,0.316481,0.011261,-0.571947,-2.268257,-0.211353,2.013852,0.517316,-0.333267,-0.157527,0.000648,yes
-33.87274,0.546204,-7.233492,9.30968,-0.686253,-1.23533,4.562424,9.997478,-12.91058,13.73069,0.861512,5.148781,26.38614,-0.488604,0.095112,-0.698083,1.742778,0.535336,-0.43568,1.576617,0.712836,5.594895,1.484585,0.492367,-3.164101,-0.00584,0.217952,0.131658,0.363305,-0.415604,-0.152132,-0.565989,-2.77354,-1.125665,0.55506,0.123059,0.359637,0.176028,0.001089,yes
-33.4883,2.781307,-2.238952,7.469352,-1.046726,0.698538,5.469392,18.62679,-5.584712,6.909258,-11.45012,-8.133847,26.37959,-0.452791,0.405174,-0.681542,1.419066,1.090622,-1.414828,-4.944644,-2.830331,3.654731,0.131812,2.26795,0.822685,-0.004478,0.237057,-0.077565,0.030214,-1.232046,-0.458782,-1.209107,-2.850199,-2.051156,-1.327801,0.424795,0.511426,1.009402,0.001303,yes
-31.20903,4.338459,-0.325386,11.06413,6.323461,3.710503,6.94571,8.719305,3.641835,0.904312,-0.129348,-13.67769,26.38084,0.215641,0.042245,-0.099072,-1.450836,-0.115845,-2.298273,-4.341699,-1.631698,0.547066,2.051472,1.191182,-0.05095,-0.004389,0.078167,-0.112703,-0.032993,-1.601444,-0.928769,-0.724153,-1.349168,-1.201023,-2.403884,0.565222,-0.710629,0.791941,0.001159,yes
-32.02213,4.185159,-2.771802,11.42814,1.501987,-9.940757,-19.85198,2.113465,-9.781198,11.80388,3.637636,1.311852,26.37003,-0.101881,-0.727525,-1.490572,-2.903817,-1.726193,-4.463178,-6.923411,-5.375772,-1.231614,4.666446,0.54642,1.517556,-0.002615,0.07577,-0.198278,0.155426,-0.687613,-0.361497,1.100694,1.397314,-0.009109,-1.558684,-0.264252,-0.830819,-0.501404,0.001292,yes
