@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute footstepornot {yes,no}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,-1.590933,1.507704,-0.663815,-0.089716,0.187675,0.127819,-0.216624,-0.213126,0.836843,-1.065271,0.574144,0.419709,0.662837,-2.031776,-0.106282,0.271654,0.439247,0.376861,0.39801,-0.26585,-0.103505,0.553945,0.244237,-0.118145,-0.091727,0.1567,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,-7.231507,1.211381,0.461479,1.608954,2.31326,1.635901,-1.070273,-1.128363,2.638901,-0.299445,1.134856,0.799572,1.091637,-1.739624,-0.013989,0.264433,0.163759,-0.140227,-0.047685,-0.424503,-0.070925,-0.261309,-0.026809,-0.292908,-0.254838,0.185042,yes
-7.954665,7.53852,-3.319074,-0.448581,0.938373,0.639095,-1.083119,-1.065631,4.184216,-5.326354,2.87072,2.098543,3.314186,-8.929527,1.124454,0.131809,1.257184,1.009188,1.363828,-1.119047,-0.273034,2.705537,-0.227,-0.296937,-0.228859,1.23194,0.066379,-0.228845,0.20667,-0.158712,-0.68874,-0.181979,0.024668,0.521728,-1.171158,0.099605,-0.433392,-0.354326,0.068712,yes
-32.1802,2.287644,3.966933,8.269062,11.09711,7.859959,-4.809806,-5.109,11.1024,1.165952,4.238918,2.948591,3.801091,-6.619756,1.629384,0.260537,0.055626,-0.924217,-0.728611,-1.887927,-0.537797,-1.404047,-1.618451,-0.454857,-0.530197,1.303498,2.996589,-0.672122,-0.832122,-0.634785,-0.546899,-0.186896,1.047136,1.330788,-1.994211,0.202578,-0.26745,0.063404,-0.033105,yes
-28.55753,4.478447,-1.324423,2.151391,-0.502615,2.889161,-3.190331,1.189331,7.976484,-1.717974,-3.604143,-2.618588,4.259152,-1.564916,0.154478,0.470007,-0.106612,-1.637285,0.400182,0.315544,2.100229,-2.997473,0.092258,-0.797959,-0.687038,0.900467,3.398129,-1.29222,-1.111286,-0.056923,1.07061,0.805693,1.665953,1.131924,-0.75282,0.934653,0.447696,0.730762,-0.054188,yes
-22.79735,9.676957,0.305359,-1.021856,-3.900591,-4.768085,-8.386029,-3.816466,-8.916368,-9.896447,0.963145,-0.292419,6.045005,4.069134,-1.664243,-3.868231,-0.883072,0.902003,1.183244,3.448112,4.338948,-4.480649,0.553817,0.048118,1.34568,1.091846,1.966367,-1.410591,-0.89214,0.630739,1.838449,1.889183,1.739024,0.350814,1.055036,1.41168,0.353424,0.229513,-0.083795,yes
-20.47067,4.616253,0.861745,3.66382,0.250802,8.954026,2.282712,8.789247,-0.793767,0.666134,0.518811,0.283857,6.694562,2.71667,-3.689831,-3.360236,1.441917,5.449129,4.436366,4.542699,2.948213,0.47974,3.360129,1.690056,2.487011,1.066827,0.097918,-0.235247,-0.024517,0.673138,0.892031,0.726969,0.347266,-1.182367,1.373129,0.221465,-0.260927,-0.832411,-0.083428,yes
-15.87796,-6.102472,-16.4673,3.097487,15.23042,10.74374,9.694235,12.78578,-6.915719,2.742984,2.418034,8.225769,8.042619,1.071285,-3.501418,-2.285043,2.435058,4.724823,6.699212,4.693614,0.792279,2.132526,3.806013,0.068254,-0.969659,0.801341,-1.088059,1.245687,1.528876,0.083697,-1.050671,-0.565496,-1.140625,-1.692689,0.903269,-0.809974,-1.18758,-1.665365,-0.183068,yes
-18.43388,-6.080992,-9.739272,7.301305,17.17753,17.31507,10.48303,7.62927,9.374859,8.762957,4.118694,5.557374,8.594479,0.4236,-0.103172,-0.444171,1.600014,0.911459,1.277045,1.429125,-2.038269,0.561586,-0.426516,-2.112661,-3.691426,0.628581,-0.694564,1.907816,1.448113,-0.742253,-2.199502,-2.394598,-1.913453,-0.513576,-0.23088,-1.481594,-0.921973,-0.511372,-0.188213,yes
-18.45932,-2.481513,-5.819345,9.33469,11.26016,24.54745,10.98188,0.724917,-3.338051,5.085208,-0.495526,-7.77747,9.101752,-0.224628,2.770861,2.318117,-0.543638,-2.082517,-0.064577,-0.698224,-1.631255,-0.00523,-1.602728,-3.988425,-3.891923,0.395629,-0.350613,1.162169,0.674315,-1.071551,-1.342763,-2.915369,-1.944475,0.523476,0.3649,-1.012109,-0.145603,1.283797,-0.136132,yes
