@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute laughornot {yes,no}

@data
-35.75552,-5.590164,-7.50014,2.44213,21.4838,7.584318,-12.84246,24.97577,9.615395,10.48199,-7.111735,-5.111325,19.78167,0.794404,1.409552,-0.697595,-2.08389,-2.044078,-4.69641,0.337621,0.585838,0.986341,1.973735,1.110739,-0.48918,-0.04908,-0.174015,-0.328961,-0.418439,0.410174,0.144253,0.991718,0.050554,0.14174,-0.626059,0.09717,0.418775,0.537264,0.009061,yes
-32.27064,-1.548973,-8.80781,-1.372602,14.11039,-6.45277,-11.31731,18.70801,9.338549,17.30952,-3.189008,-7.856416,19.69256,0.210651,0.699695,-1.772409,-2.000457,-2.279597,-3.27501,0.267688,0.433312,-0.068042,3.19393,3.939704,1.812799,-0.03929,-0.33951,-0.724031,-0.376473,1.264456,0.729391,1.663025,-0.175974,0.417482,-0.925437,-0.745714,-0.400173,0.729381,0.023846,yes
-33.52594,-0.563001,-10.33428,-6.069955,14.95012,-8.879188,-11.91693,31.03885,14.68552,16.93691,-3.519404,-6.18468,19.58083,0.216207,0.119677,-2.252383,-0.074738,-1.205053,-0.448522,0.62536,1.370799,-1.616763,1.849491,1.790129,1.04615,-0.008669,-0.381352,-0.807193,0.112525,1.851765,1.230336,1.581803,-0.222938,0.50059,-0.868562,-1.517282,-1.450049,0.575605,0.033424,yes
-35.81705,-4.605272,-14.94512,-3.304111,13.35266,-0.558978,-11.96678,24.11079,6.740119,23.22419,10.79062,4.489346,19.68565,-0.614046,-1.565663,-1.802563,3.233814,1.183363,1.494771,-0.686117,2.280766,-2.33929,-1.692713,-1.229819,2.390057,0.049944,-0.304392,-0.508184,0.978153,1.47692,1.326903,0.690771,0.02384,0.162556,-0.120028,-1.784595,-2.267789,-0.120185,0.027245,yes
-32.90128,-3.463629,-15.6934,3.034193,15.8374,2.394813,-9.390924,29.12838,2.830796,16.77211,-5.150901,-6.053458,19.74179,-0.700005,-1.493732,-0.119894,4.557801,2.376124,0.827713,-0.300168,2.165062,-2.220846,-3.169351,-3.554745,2.100214,0.073422,-0.366958,-0.124867,1.387347,-0.03575,0.243287,-0.298725,0.017928,-0.577141,0.607962,-0.736936,-0.78498,0.015122,0.008317,yes
-35.6532,-7.926974,-15.14106,10.24439,19.58356,-4.615914,-16.0109,31.06707,3.569459,8.92835,-8.522352,4.02826,19.8618,-0.853203,-1.034522,2.05211,3.067873,2.564329,-0.459272,0.849652,0.84896,-0.366141,-3.219626,-4.726801,0.684844,0.05589,-0.060025,0.474087,1.139024,-1.552579,-1.090041,-0.098418,0.541147,-0.794975,0.635022,0.979568,0.938532,-0.839506,-0.014893,yes
-37.10789,-6.370811,-10.83577,9.944796,23.71529,-2.712154,-11.39571,38.38602,5.166622,8.238071,-11.63664,4.546933,19.85986,-1.499005,-0.770229,2.757015,-0.170518,-0.679099,-0.965126,-0.052883,-0.799,0.436473,-1.071733,-0.386277,1.974368,0.029942,0.186012,0.621759,0.108605,-1.925487,-1.935314,0.54677,0.543997,-0.594739,0.654077,1.711942,1.722913,-0.936191,-0.024071,yes
-37.97976,-8.324293,-7.113379,8.579951,22.23536,-0.301856,-6.716132,23.72677,3.741503,11.39308,-9.600515,2.613372,19.90606,-0.514671,0.443019,2.454101,-2.164923,-2.739229,1.8991,1.895973,-0.212079,-0.492838,2.156316,1.878606,-1.744547,-0.002782,0.396016,0.527836,-0.766148,-1.048825,-1.545617,0.89827,0.143371,0.018152,0.825008,1.396305,0.9941,-0.81137,-0.022873,yes
-39.23302,-7.116115,-5.922171,3.013822,11.11601,-4.587847,-14.30272,28.80352,4.927141,10.18108,-6.543204,4.525827,19.86937,0.060788,0.87629,0.222138,-2.453236,-4.648665,2.382376,1.896656,-0.278116,1.11289,2.702388,1.757117,-1.366046,-0.017598,0.441935,0.197754,-0.847623,0.142116,-0.109282,0.665118,0.140801,-0.043005,0.72068,0.03063,-0.808692,-0.724573,-0.014491,yes
-37.16399,-5.339229,-5.327356,2.885263,12.18706,5.817432,-5.077525,34.79792,1.225008,18.73843,-1.676041,-4.683925,19.84314,0.346979,0.781397,-0.51119,-1.034894,-3.178975,2.358328,0.591738,0.679281,3.420692,1.874838,-0.827998,-1.701797,-0.034706,0.169499,-0.390905,-0.730748,0.810997,0.930393,-0.322825,-0.61806,-0.283005,0.640249,-1.795894,-1.545235,0.35756,-0.009349,yes
-37.21184,-3.481894,-10.61809,0.52596,5.496121,6.140079,-2.731731,31.45986,11.98932,18.07734,-6.813294,1.365351,19.80333,0.279847,0.049352,0.001544,-0.024952,-1.005636,2.130851,1.30324,-1.459705,2.083108,-0.777844,-3.076432,-1.669872,-0.026552,0.106438,-0.563263,-0.38962,0.844972,1.575054,-0.586052,-0.829167,0.343119,-0.023462,-1.929879,-0.846594,0.4633,-0.0026,yes
-37.25546,-6.234418,-7.321369,4.649412,9.15043,6.125822,-9.542934,25.79501,17.31388,16.81914,-13.60546,-4.315376,19.76555,0.223297,-1.098035,-1.089344,0.675919,0.091222,0.410736,-0.897618,-1.036307,2.2233,-5.083039,-3.430793,0.195167,-0.04505,0.778782,-0.364156,-1.2935,-0.763881,0.089814,-1.092167,-1.000004,0.400781,-0.629334,-0.091357,1.410439,1.09097,0.162959,yes
-37.78806,-6.421758,-4.917447,2.00699,7.606139,5.912213,-5.553815,26.00645,7.298248,7.251502,-15.96066,-4.007809,19.7754,0.654819,-1.000306,-1.436884,0.916216,1.591505,0.425913,-1.504502,2.295271,1.594275,-3.468067,-1.174454,0.00197,-0.025424,1.767011,-0.799204,-1.774835,-1.948508,-1.326234,-1.803714,-1.211774,0.113332,-0.996621,2.109116,2.553697,1.21968,0.378584,yes
-35.7594,-9.359473,-13.6244,5.524341,11.58816,7.985044,-8.154572,32.34309,14.68704,-1.26385,-14.25632,-1.02151,19.63185,4.053401,-0.514554,-6.259477,-5.324884,-4.028474,-2.250036,-3.004409,0.805697,0.518438,2.763166,5.27321,2.917131,0.779525,1.898848,-1.914722,-0.718515,-1.818447,-1.882355,-2.347474,-0.14743,-1.130183,-1.135465,3.429787,2.810878,1.241521,0.500644,yes
-34.68578,-6.920899,-14.651,4.669577,12.23478,7.340035,-10.94842,39.66218,21.27411,9.778497,-12.36014,-0.271733,19.74306,7.199848,-4.238408,-6.287564,-6.767091,-5.576957,-5.557332,-3.702235,-1.814047,-2.047564,5.844631,5.340052,3.067548,1.454081,1.039635,-2.901675,0.931081,-0.291598,-1.419934,-2.506313,1.005821,-2.458014,-0.327825,1.586441,1.355219,1.131426,0.370773,yes
-18.53959,-8.557617,-33.75198,-23.3063,-13.30626,-5.838267,-21.86768,22.99563,12.91814,29.37148,10.96033,8.402241,23.67935,6.445023,-9.052593,-2.256578,-4.574662,-5.736321,-8.335011,-0.535899,-4.632564,-1.633106,7.40955,7.366345,4.869984,1.718416,-0.924678,-2.465244,2.231094,2.101615,0.786831,-0.668497,1.364042,-2.042288,1.071841,-0.950249,-0.622858,0.702299,-0.095268,yes
-10.39872,-28.01473,-26.29148,-17.41314,-7.831432,-14.96279,-17.20844,21.60995,-2.055117,21.15699,-1.868723,6.618055,25.02206,4.657184,-11.23966,1.217072,-0.916887,-4.65424,-9.063162,2.290345,-7.27567,1.030921,2.140946,4.555074,4.682673,1.358994,-2.062926,0.728383,0.866333,1.466914,1.676884,2.068983,0.257816,-0.936105,1.467869,-2.059996,-0.990133,0.417515,-0.466141,yes
-15.67782,-44.07553,-19.08705,-6.307611,-7.060339,-22.5386,-7.704058,18.20638,18.18612,30.09465,17.3297,19.88351,25.58443,0.701342,-9.340147,1.143676,2.258091,-0.555677,-3.839607,0.819511,-6.674929,4.3384,-0.136234,2.551408,5.621066,0.350728,-1.794916,3.992815,-0.992618,0.240241,2.307197,4.397482,-1.552327,1.426844,0.162971,-2.735387,-1.751711,-0.915594,-0.652793,yes
-12.83074,-45.36026,-15.8981,-8.414201,-14.15938,-29.62561,-6.578507,5.678453,23.79472,20.12164,7.230551,17.401,25.58548,-0.242941,-0.452716,-3.656026,-2.848899,0.217142,2.53988,-3.09086,-5.47339,2.306028,-0.682457,2.796858,4.779582,-0.192781,-1.345152,5.107595,-1.608992,-0.411467,2.4281,5.362646,-1.805778,3.575401,-0.501898,-1.428599,-1.061836,-1.423714,-0.599163,yes
-13.81686,-46.58558,-33.23028,-16.51532,-12.92067,-17.70489,-23.08509,-2.413267,21.68522,29.20798,19.16773,31.1161,25.15127,-0.079495,5.518007,-4.78312,-2.40745,3.363975,7.85088,-5.606934,1.600517,-1.455804,-4.855685,-0.513102,0.243558,-0.769661,-0.767352,3.897907,-0.057934,-0.378114,1.123813,2.971916,-0.335044,3.815028,-0.056508,-0.301507,-0.6225,-1.620504,-0.36518,yes
-12.5439,-29.02328,-37.49999,-26.55378,-3.815557,-4.680248,-24.97222,4.552827,7.725475,18.18804,11.19655,24.89967,24.27473,-1.678158,6.869234,-3.864489,-0.64145,5.526435,11.90482,-3.52532,6.463611,1.418533,-2.642325,0.778147,0.252857,-1.076627,-0.732305,1.021477,1.841184,0.637876,-0.49172,-0.688277,0.896037,2.143359,1.260188,1.400991,-0.295003,-0.441924,-0.137248,yes
-16.21871,-24.65398,-32.2017,-9.275073,4.587626,4.243118,-26.54187,26.77178,18.94172,6.783023,12.78119,17.35196,22.3915,-2.417809,6.488413,0.958239,-0.736203,2.408741,6.337501,-0.638478,6.431711,4.49961,-0.663835,0.448266,-0.218091,-1.033249,-0.694646,-0.832026,1.998512,0.431471,-1.363968,-3.522823,1.126755,-1.117604,0.87695,2.2647,-0.027841,1.257458,0.116643,yes
-20.02061,-21.97989,-35.73484,-15.24157,4.718649,18.9245,-22.47672,23.40398,32.25913,18.12249,14.31456,25.54735,21.58223,-2.735308,4.169465,2.679212,-0.495142,-1.763842,-0.144818,-1.094904,2.827807,5.629261,4.226573,0.841162,2.800789,-0.747227,-0.260134,-1.569621,1.131985,0.614678,-0.802072,-4.686746,0.699988,-2.131445,-1.067739,0.465232,-0.153692,1.318243,0.249693,yes
