@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute laughornot {yes,no}

@data
-27.31766,-15.11545,-11.36049,-2.798327,7.116273,-2.363366,-15.96769,-6.766392,0.431854,-3.689928,-5.543902,4.907845,26.35468,0.183142,-2.391542,-2.723765,-1.324668,-0.544725,1.628857,-0.245103,-0.226815,-3.383905,1.842944,2.043173,-3.175836,-0.001027,-0.240732,0.115174,0.190686,0.350909,0.563935,0.295404,0.325777,0.506876,1.547466,-0.04069,-0.65132,-0.05969,-0.001614,yes
-26.46871,-20.01021,-15.11049,-2.246979,9.15391,6.260849,-13.94533,-18.61733,-13.747,9.654689,5.662655,-6.92649,26.35138,-0.016315,-1.992739,-1.144726,0.249866,-0.061401,1.574517,0.635051,1.848596,0.96351,1.540358,-0.475866,-3.194259,-0.003424,-0.343391,0.456352,-0.038521,-0.043863,0.92621,0.260952,0.491865,0.322035,1.977553,-0.498147,-0.994315,0.785389,-0.003476,yes
-26.82642,-24.62577,-23.10432,-9.697343,3.373831,1.468813,-18.20438,-1.974996,-9.398242,-1.147519,-0.931315,-5.054166,26.35119,-0.920791,-2.015075,-2.559855,-0.35739,2.03329,3.133049,0.943704,1.269858,2.179719,1.790785,0.046092,-3.465076,-0.007899,-0.265227,0.77076,-0.007143,-0.145452,0.904118,0.353324,0.312006,-0.625236,1.129843,-0.803904,-0.645235,1.290971,-0.004482,yes
-27.64485,-20.32398,-11.21221,1.90051,8.680491,3.593129,-11.67409,0.080888,10.16445,2.740657,-10.22952,-6.082443,26.3393,-0.981848,-0.298015,-2.998326,-2.027625,2.797319,2.181519,1.619821,0.635022,3.722048,-0.621714,-1.929862,0.895731,-0.014971,-0.18938,0.546512,-0.121138,-0.662854,0.026127,0.208679,-0.118394,-0.915292,-0.754825,-0.847327,0.522077,1.674301,-0.002557,yes
-31.33354,-25.03394,-26.10891,-6.659023,17.51943,14.63574,-12.38479,-9.76621,-0.625279,8.721015,2.632647,-12.83956,26.32122,-0.660227,0.614896,-1.832678,-0.913183,2.546504,3.091974,0.82254,-2.746209,0.886039,-1.095542,-0.456005,1.234024,-0.017664,-0.026388,0.271092,0.849354,0.231503,-1.227975,-1.271957,-0.566415,-0.658425,-1.494413,0.370802,1.721094,1.964459,0.000521,yes
-29.12439,-21.2962,-28.59982,-13.90426,16.0677,10.58498,-8.756022,-11.54661,0.476756,1.611854,-5.768636,1.444861,26.29151,-1.093496,-0.575167,-2.114007,-2.786506,-0.18737,2.638451,0.103662,-0.719829,-2.163774,-1.253112,2.385567,2.827697,-0.011324,0.04392,-0.17987,1.615108,1.286335,-1.665061,-1.603737,-0.826594,-0.524528,-1.490808,1.370259,2.084355,0.693095,0.00298,yes
-29.38779,-21.06518,-23.5739,-6.360869,12.41274,13.43275,-15.55072,-9.892289,-0.124196,-6.060829,-5.441781,-2.647696,26.28677,-0.996906,-0.521038,1.244756,1.179566,-2.614239,-3.455203,-1.130293,-1.344839,-2.349435,3.960496,6.493848,5.391234,-0.007116,0.157567,-0.274342,1.448356,1.072045,-1.173356,-1.314742,-0.146799,0.209036,-0.561689,0.53796,0.569136,-0.328194,0.003169,yes
-34.08521,-25.18419,-23.04975,-12.1811,10.29699,17.38688,-9.572817,-3.455217,-0.904961,3.866021,5.735524,2.960112,26.2999,-0.593908,-0.629398,3.538499,3.357675,-2.947616,-2.563576,-1.536734,-2.688304,-2.114257,3.701564,5.016987,2.282602,-0.005343,0.497514,0.064366,1.112361,0.922591,-0.679628,-0.261134,0.539264,0.876125,0.257848,-1.715654,-1.882914,-1.68546,0.001231,yes
-33.83766,-25.69514,-22.66017,-1.622779,7.333595,-6.041224,-17.62786,-20.5361,-11.68159,27.39641,29.34981,13.35899,26.28144,-0.122186,-0.729697,2.58285,1.374953,-1.940154,-0.880723,0.908745,-0.716792,-1.947163,-0.88308,1.073965,-0.134399,-0.004811,0.361783,0.098574,-0.152538,-0.368813,0.167306,1.055771,0.866996,2.027028,0.631608,-3.758407,-3.706287,-2.003999,0.001513,yes
-29.86899,-22.12822,-11.3642,0.515064,3.869199,7.504091,-15.40112,-19.66622,-4.315829,3.391052,1.920504,4.854528,26.26746,0.956713,-0.149005,2.778753,1.728755,-3.922553,0.045542,1.780462,3.346771,-1.075668,-7.409595,-4.319064,-2.836788,-0.00632,-0.039467,0.110155,-1.377554,-0.822821,0.672854,-0.143547,0.140608,1.552871,0.770548,-1.717057,-1.857363,-0.117644,0.000881,yes
