@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute laughornot {yes,no}

@data
-18.94299,-11.39591,-12.87829,-13.43086,-16.79691,-24.36711,-24.82597,-7.624583,1.740993,10.35441,8.859071,10.23428,26.98468,-1.074112,-2.143832,-1.253435,-0.144346,-1.05877,-1.400116,-1.269006,1.815572,5.060331,6.027656,6.311434,-0.705401,-0.030714,-0.10632,0.300096,0.294838,0.624266,0.169243,1.575304,0.153649,-0.40498,-2.460893,-2.51774,-1.584085,-1.075308,-0.000625,yes
-19.78982,-11.92653,-9.681886,-8.239167,-16.11119,-22.43576,-20.29952,-3.421407,2.919541,1.068488,9.041082,7.336514,26.96382,-2.076796,-1.275061,-1.142986,-0.556639,-2.679529,-0.039707,-0.881137,2.779214,1.435964,2.09977,1.982156,0.543685,-0.024156,0.292093,0.835249,0.61829,0.559189,0.962161,1.683427,0.052435,-0.844227,-2.77023,-2.386771,-2.792192,-0.884234,0.004241,yes
-23.34665,-11.90812,-15.03874,-15.59649,-16.01311,-20.76917,-17.23835,-1.786485,2.142004,6.158431,16.2648,6.728399,26.94162,-0.596251,-0.111976,0.656258,0.915359,-0.237864,2.818105,-0.123467,2.055859,-3.759633,-3.743642,-2.959647,-2.251226,-0.016632,0.77039,0.773498,0.727096,0.870906,1.354253,1.040388,0.083972,-1.514247,-2.06877,-1.635065,-3.144145,-0.54512,0.006196,yes
-23.51784,-10.29934,-12.30379,-18.09931,-26.90262,-18.66215,-20.53581,0.515368,-5.887259,-0.486829,-2.291198,5.785234,26.93608,0.585029,0.689484,1.079725,1.727864,2.975166,2.712791,-1.813496,-1.433038,-3.257489,-0.602901,-4.572163,-1.514381,-0.011188,0.930259,0.423597,0.378107,0.676046,1.415625,-0.07954,0.544717,-1.967727,-0.716009,-0.005408,-1.133765,-0.667935,0.003731,yes
-20.06023,-12.76939,-8.286043,-3.923998,-12.59051,-12.16339,-25.32516,0.686325,-12.65377,-7.586142,-0.273023,-0.246207,26.91539,1.446927,0.741385,1.270689,3.06793,2.885147,2.425572,-0.382964,-3.649536,-2.936793,-0.796333,-6.132133,-2.401968,-0.006217,0.237411,0.060466,-0.287569,0.014931,-0.315072,-1.330622,0.84557,-1.753349,0.586002,1.024122,1.145602,0.342435,-0.001799,yes
-18.50789,-8.04847,-7.659609,-5.436092,-2.946665,-13.17469,-25.3236,-11.823,-5.970015,4.92627,-5.550822,3.251913,26.921,1.552909,0.416244,0.440332,1.747305,2.837089,-0.24114,1.972196,-4.206722,-2.555498,0.599077,-2.100423,-2.720617,-0.010708,-0.300268,-0.375549,-0.514362,-0.317484,-1.563607,-1.065997,0.907646,-0.394338,0.573246,-0.437995,2.210865,0.547636,-0.006725,yes
-18.617,-9.326626,-11.00738,-6.588444,-13.56536,-11.38503,-16.75928,-13.86498,-12.50058,-0.529782,-12.76606,-4.014783,26.91807,0.106862,0.326975,-0.461891,0.980295,-1.744183,-2.358039,2.211535,-5.324043,-1.180621,0.77598,1.532495,0.064067,-0.025869,-0.637146,-0.335642,-0.275944,-0.448345,-1.241784,-0.482541,-0.350797,0.039994,0.515362,-1.155482,2.148526,0.987735,-0.00789,yes
-16.47491,-9.939498,-8.741459,-8.03056,-12.22975,-20.25702,-14.95777,-13.24259,-18.74134,-1.019624,-6.546797,-5.933562,26.8812,-0.246277,-0.981055,-0.625797,1.184263,-2.528203,-0.225389,1.427482,-2.567473,-1.269348,-3.579034,2.649852,-0.009216,-0.034986,-0.469678,0.041088,0.091392,-0.329782,-0.531808,0.782366,-1.049058,0.514463,0.657886,-1.270053,0.322715,0.376128,-0.002581,yes
-20.54241,-10.189,-10.05457,2.274711,-16.66988,-20.41242,-19.4504,-25.22409,-12.17121,-0.733294,7.88744,4.666863,26.80595,-0.839211,-0.238178,0.424032,1.107725,-0.641127,0.004991,-1.864592,-4.269191,-1.003058,-4.484687,2.23536,1.181008,-0.033528,0.156541,0.270671,0.13813,-0.846343,0.952006,1.5376,-0.61361,1.320269,0.301134,-0.549232,-1.488824,-1.169188,0.005174,yes
-18.77657,-12.52256,-11.265,-3.946353,-14.03542,-9.787944,-16.84063,-18.98081,-12.48144,-12.86714,-2.628311,-1.134992,26.80213,-0.322444,0.904262,0.454333,0.034682,-0.373478,2.489176,-1.235031,-2.16183,0.645149,-3.120853,-0.838282,-1.398446,-0.019784,0.327047,0.372789,0.013805,-0.992153,1.05895,0.600171,0.127777,1.930449,0.742481,1.197894,-1.902967,-1.434844,0.011074,yes
-21.66222,-9.225986,-7.625453,-3.091924,-15.86816,-16.59462,-25.14082,-32.34183,-20.64582,-17.02946,-3.548497,-0.509029,26.78997,0.92765,0.737671,-0.311305,-2.676628,1.938484,3.972677,0.474744,1.074479,-0.632198,-2.199272,-4.167556,-5.08726,-0.0076,0.075284,-0.427277,-0.382751,-0.602436,0.884462,0.28173,1.715449,3.34824,1.320732,1.724545,-0.713673,-0.704739,0.012423,yes
-17.52722,-5.899697,-7.684355,-5.173833,-14.498,-9.720039,-18.28772,-20.49288,-11.27829,-8.475807,-5.02024,-10.33785,26.79027,0.505525,0.394968,-0.189102,-1.884324,1.476741,0.791625,0.896699,4.412937,2.257628,1.26773,-3.663525,-4.049304,0.007422,-0.625966,-0.984022,-0.279874,0.165427,0.578524,-0.804623,1.751426,2.62513,0.651774,0.365267,0.236294,1.253846,0.006707,yes
-16.52883,-9.812078,-13.40142,-10.49469,-6.746174,-0.582986,-16.35313,-19.09567,-15.93377,-13.92532,-11.75437,-16.16801,26.77388,-0.876774,-2.119914,-1.168003,-0.944955,2.856075,2.262418,5.646787,9.184626,4.794364,1.943748,0.079619,-1.01726,0.014982,-1.118278,-0.999716,-0.162293,1.075697,0.128176,-0.758939,1.188008,0.894996,0.102206,-0.348116,0.887751,2.086267,-0.002483,yes
-18.81564,-10.25467,-9.322523,-9.66659,-11.21271,-13.83563,-16.75097,-3.539202,-3.549325,-8.080556,-16.843,-13.55202,26.84728,-2.550064,-2.587055,-0.516687,-0.00402,2.060348,-0.678808,4.936076,6.908747,1.19074,-3.366029,-1.780402,2.835786,0.002457,-0.668411,-0.539833,-0.465456,0.52928,0.023037,0.662827,0.47395,-1.169373,-1.165991,-0.623051,0.767978,1.517698,-0.012411,yes
-25.40188,-17.64807,-12.64639,-5.570319,-3.230436,-3.224727,2.324742,5.104467,-0.538484,-7.508343,2.760978,-3.988244,26.83637,-3.135943,-2.769899,-0.958978,1.761707,2.287558,0.913198,4.395096,4.301555,0.412278,-1.622972,-0.670364,1.901528,-0.017533,0.327427,0.551342,-0.264728,-0.367165,-0.528048,0.642676,-1.465278,-2.987289,-1.407308,0.131531,-0.168061,0.788942,-0.01666,yes
