@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute bellornot {yes,no}

@data
-36.84143,-0.806067,-5.575625,-2.859123,-8.169141,-10.52708,2.94425,-6.807055,-7.603938,13.36606,-18.94596,12.94959,26.73816,-1.266516,-0.535328,0.13494,-0.769207,-1.566509,-2.2705,0.978651,-3.494887,-0.245735,1.77627,2.958526,0.061472,-0.051397,0.280049,0.383467,0.091822,0.373497,0.562594,0.056979,0.059282,0.430725,0.315024,0.063542,-0.718167,-0.152395,0.013586,yes
-39.94547,-6.08986,-9.161784,-3.948466,-10.37806,-13.45216,13.50998,-8.58522,-8.743923,11.98777,-12.32942,21.11888,26.55962,-0.832135,0.640871,0.40072,-0.376857,-0.597408,-3.238745,0.926992,-2.845753,0.376295,2.50273,2.587315,-0.072562,-0.034577,0.517589,0.437139,0.233174,0.53325,0.524145,0.411619,-0.240205,1.075504,0.502888,-0.522777,-1.72303,-0.189332,0.029777,yes
-41.62199,-0.840812,-3.107847,-6.160485,-14.89723,-20.41704,2.554639,-23.3924,-8.26262,22.93656,-7.461601,9.172299,26.57045,-0.083461,0.793905,0.461161,0.902105,0.76191,-1.501485,1.300892,-1.665827,1.018371,1.730749,-0.446702,-0.633487,0.008125,0.582701,-0.100796,-0.027119,0.416919,0.276581,1.254537,-0.021491,1.553402,0.579032,-1.23747,-2.234915,0.027434,0.036148,yes
-38.61182,2.41566,-4.805914,-3.092725,-7.792137,-21.77582,7.774014,-12.74314,-5.393121,21.09446,-11.75157,14.47542,26.64913,0.729904,0.985748,1.137699,1.061387,-0.109993,-0.596915,-0.383493,0.968102,1.636649,-0.814853,-3.954013,-0.537707,0.067725,0.324849,-0.746475,-0.483068,-0.12093,-0.516105,1.947918,-0.254657,0.664288,0.135523,-1.497678,-1.509091,0.371028,0.027708,yes
-37.92556,-1.089303,-5.447755,1.223533,-5.652553,-13.87267,12.31669,-13.05723,-4.187482,17.46646,-21.4684,13.10388,26.73403,0.865972,-1.211748,-0.369143,0.596265,-0.427313,2.681271,1.526439,2.365194,2.019245,-2.752288,-4.945388,0.431214,0.07819,0.189257,-0.504469,-0.552658,-0.634192,-1.063531,1.329671,-0.781921,-0.418884,-0.212627,-0.88158,-0.058406,0.664335,0.009286,yes
-38.14416,-1.036876,-2.303335,-2.333541,-15.55036,-19.70892,6.711489,-8.912298,-2.598247,10.64855,-25.09609,16.46456,26.81645,0.317392,-2.088678,-1.599468,-0.828587,-2.583323,4.409467,-0.459067,-1.539823,0.553473,-2.744142,-2.7088,1.250226,0.06893,0.134504,0.004321,-0.436252,-0.377566,-0.244072,0.249948,-1.169208,-1.279058,-0.666352,-0.061626,1.183964,0.60659,-0.008797,yes
-37.52596,-5.173284,-6.204853,-3.558753,-13.15468,-8.044135,10.7181,-13.48186,0.43617,14.39807,-25.51628,10.3338,26.87774,1.069078,-0.191228,-0.933544,-1.323868,-3.319078,2.64368,-2.570928,-2.506285,0.496825,-1.712507,-1.361337,1.79422,0.053952,0.141191,0.735077,0.219337,-0.074785,0.702737,-1.52591,-1.492471,-1.09131,-1.216093,0.038097,1.310704,0.217903,-0.015888,yes
-37.22466,-5.98574,-12.4247,-4.844515,-16.95769,-2.642751,6.277979,-20.22995,-4.937581,8.907949,-23.27162,22.11159,26.92193,1.300868,0.497095,-0.761363,0.133622,0.115532,0.671618,-4.180851,-2.991449,-0.933898,-1.642873,0.173783,1.81374,0.035858,0.024287,0.938693,0.73383,0.183255,1.796387,-1.960123,-0.085213,0.154728,-1.066008,0.248472,0.724103,-0.934376,-0.022765,yes
-33.03992,0.428986,-5.05479,-4.14032,-21.54428,-9.187355,-0.321194,-19.92983,-0.533692,9.774227,-29.18731,19.25146,26.95105,1.08019,1.170749,0.308489,-0.258766,1.736946,-3.079352,-4.075022,-2.365545,-3.317533,-3.112439,0.166839,1.238971,0.015286,-0.62138,0.085022,0.335501,0.03934,1.60958,-0.545276,1.837573,0.978611,-0.894754,0.594229,0.845246,-1.321025,-0.03184,yes
-33.88284,-1.352534,-6.685179,-1.374649,-10.7779,-15.77922,-8.673123,-20.64556,-6.782807,4.746109,-22.39166,21.07443,26.95909,0.433271,1.923796,1.448666,-0.444863,3.870599,-2.529634,-0.133083,-0.836553,-2.869387,-0.801818,0.147629,-3.144029,-0.025562,-0.973094,-0.484208,0.069314,-0.206674,0.184618,0.962574,3.232402,1.811902,0.465089,1.436946,0.917171,-0.984771,-0.035295,yes
-33.79591,-1.636143,-7.532172,-6.587514,-7.559844,-16.87266,-2.181464,-25.10178,-15.22888,0.916795,-25.12207,17.04724,26.93559,-1.604023,-0.47947,-0.361051,-0.837927,2.851287,1.517926,4.593052,1.309323,-3.009202,0.838112,2.877971,-2.332021,-0.07454,-0.930209,-0.762843,-0.358565,0.164145,-0.623462,1.916424,2.720656,1.790681,1.536871,1.731347,0.774049,-0.307402,-0.024557,yes
-34.68031,4.665805,-3.942681,-5.845232,-4.596917,-11.44827,6.542701,-21.82674,-11.93692,9.327577,-24.5661,7.493558,26.80185,-2.222496,-1.098837,-0.080025,-0.610169,0.481453,3.18585,7.647124,4.230626,1.237381,3.566582,3.404072,-1.324619,-0.095702,-0.370084,-0.751009,-0.478875,0.480004,-0.98343,0.804612,0.662732,0.791733,1.312661,0.490908,-0.348034,0.676736,0.002474,yes
-40.6613,-4.97753,-8.231296,-6.094662,-10.37834,-3.7632,15.03616,-12.79262,-13.00264,11.67405,-13.71024,14.38179,26.65697,-2.24297,-1.13215,-0.71999,0.644614,0.314208,3.645024,5.638153,4.054271,2.313436,3.360096,2.40886,-1.207743,-0.072429,0.471884,0.204966,0.184612,0.726453,-0.4654,-1.232081,-1.381406,-0.414096,0.84143,-0.758132,-2.195367,0.307259,0.031003,yes
-41.56263,-5.176027,-6.735741,-4.671922,-6.961391,-6.404699,20.95369,-5.647007,-1.709019,17.20039,-11.07722,15.78405,26.61989,-1.097675,-1.50491,-0.76624,1.213888,0.221986,0.429878,2.658028,1.749636,1.032597,0.391731,-1.357988,-0.322491,-0.014245,0.85949,0.615632,0.431601,0.581723,-0.502722,-2.061422,-2.284136,-1.533287,-0.547644,-1.46316,-2.257584,0.502613,0.042681,yes
-41.5696,-2.375978,-9.735594,-3.951097,-4.806566,-1.169327,18.80381,-12.92029,-8.775652,13.78087,-19.82221,6.863275,26.66442,0.192986,0.748397,0.905116,1.88231,0.65402,-3.264496,0.180572,0.479341,1.300339,-1.365123,-5.717835,-1.296792,0.039748,0.964269,0.510853,0.40822,0.000267,-0.756973,-1.209344,-2.286941,-1.494316,-0.39539,-1.324509,-1.342193,0.833373,0.034116,yes
-39.71453,-4.159522,-7.021731,-0.847575,-6.272873,-10.59582,17.94901,-13.01473,-8.887428,10.23283,-28.30005,9.640363,26.7269,0.856974,1.039051,1.265425,1.679596,-2.202062,-3.6665,-1.044765,-1.648343,-0.99429,-1.38661,-3.820502,1.232968,0.061614,0.7278,0.288692,0.179315,-0.661076,-0.945327,0.810357,-1.731097,-0.838306,-0.39642,-0.696547,0.465401,0.462057,0.014811,yes
-40.62042,-1.743796,-3.562718,1.404715,-7.452497,-17.99012,17.44135,-6.71206,-2.911742,8.332221,-33.688,10.96968,26.8022,1.601052,0.150133,0.305278,0.413097,-2.258633,-0.353507,-3.945155,-1.718318,1.34993,-2.373278,-3.070847,2.181393,0.06022,0.405719,-0.396687,-0.163758,-1.175311,-0.820848,2.149412,-1.00521,-0.486428,-0.200633,-0.164805,1.817387,-0.085008,-0.001291,yes
-37.75235,-0.296865,-3.495053,1.048154,-16.64874,-16.3268,16.41109,-16.99283,-9.612424,12.99166,-23.24683,19.89569,26.85907,1.837294,0.237684,0.430254,-1.356886,-3.048321,3.026169,-3.934592,-1.343063,-0.974298,-2.586926,-0.354477,0.248704,0.049574,0.026048,-0.523455,0.061542,-0.878204,0.168125,1.737022,-0.264135,0.212638,0.78606,0.18238,1.67673,-0.853309,-0.007799,yes
