@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute bellornot {yes,no}

@data
-39.29121,-13.47885,-3.874329,-0.907276,-11.96445,10.31095,-8.758024,-16.34799,-5.592939,-8.605735,-8.073488,2.30971,26.19123,-0.113603,-0.021298,0.626294,0.499428,-0.466209,-1.800818,1.456693,3.237872,0.032707,-2.298747,-0.554501,2.003138,0.008764,0.288789,0.328513,0.414808,-0.667822,-0.299531,-1.682416,0.348984,1.568955,1.122973,-0.651178,-0.731071,-0.288416,0.003743,yes
-39.8988,-15.49935,-5.164201,-7.678195,-14.65273,7.985473,-1.866514,-5.390331,-1.264885,-2.067063,8.157168,8.63731,26.21248,0.158946,0.722908,1.345811,-0.564956,-0.924943,-3.759343,0.882233,2.933528,-1.151802,-4.862775,-3.90135,0.940165,0.01206,0.424115,0.362306,0.211217,-0.096861,-0.070663,-0.220894,-0.87682,0.026353,1.119467,0.328659,-0.978753,-0.74178,0.003126,yes
-39.1998,-13.81973,-2.999311,-3.347962,-12.82155,4.645302,1.725705,3.006722,4.110057,-8.861192,-8.872167,7.593827,26.2202,0.770379,0.730215,0.585526,-0.77055,-0.500598,-0.67504,-1.155917,1.971524,1.175507,-1.023585,-1.175373,0.812024,0.016724,0.229842,-0.100397,-0.438103,-0.298405,0.121098,0.686466,-1.256565,-0.974837,0.784305,1.432889,-0.235001,-0.877366,0.002657,yes
-40.05405,-12.06206,-0.766175,-4.554108,-12.22144,3.995362,-7.195666,-7.901095,-9.722678,-18.99528,-14.38101,5.548347,26.23557,1.030378,0.550334,0.244968,0.214332,0.020015,0.803224,-2.82979,0.360271,2.132458,0.401442,-2.921301,-1.054942,0.017486,0.03958,-0.437186,-0.796871,-0.167166,0.334464,0.753639,-0.041375,-0.576275,1.090346,2.012417,0.147144,-0.369604,0.001123,yes
-35.36169,-11.54643,-3.145714,-6.322068,-15.68308,8.930805,-11.87304,-5.234983,4.513495,-5.259552,-2.681266,7.914311,26.2633,0.599892,-0.436997,-1.013799,-1.382239,-0.333197,-0.64977,-2.970118,-0.349684,2.312104,2.233588,-2.219528,-1.386139,0.019337,-0.311232,-0.499408,-0.599732,-0.171416,0.571059,0.171772,1.516542,0.288537,0.396759,0.862409,-0.306888,0.029595,-0.000695,yes
-36.66597,-13.88433,-3.866159,-5.119483,-13.12189,9.85884,-9.216094,0.531874,9.195685,-1.86067,-9.544786,3.202357,26.27835,0.442092,-0.879415,-1.838883,-1.094941,0.663675,-0.003784,1.582456,1.212757,3.731632,3.570721,-2.643553,0.191226,0.016365,-0.299019,-0.298748,-0.302564,-0.020023,0.625032,0.092044,1.794411,0.795794,-0.101417,0.270758,0.925459,0.677965,-0.001561,yes
-37.89438,-15.09357,-6.518314,-9.976471,-14.03731,-1.535285,-12.11467,-2.958183,6.211396,-6.260555,-22.38792,1.836125,26.29549,-0.491639,-1.051948,-1.371207,-0.972992,2.032868,0.587321,4.220672,2.987963,2.359713,1.703821,-2.848684,0.336915,0.013807,-0.240182,-0.070055,0.168701,0.781371,0.710333,0.451764,1.092085,0.482199,-0.526024,-0.162193,1.807418,0.685908,-0.002383,yes
-36.57724,-14.68556,-8.274288,-8.201612,-9.725951,9.209486,0.837434,-2.975713,8.086531,-0.641169,-17.74545,9.543572,26.3013,0.081048,-0.635928,-1.089146,-0.090405,1.962141,0.644901,2.546871,2.670416,1.601568,2.020116,2.02057,1.473355,0.012445,-0.106559,0.031306,0.237399,0.91918,0.138817,-0.518128,-0.935959,-0.386529,-0.897076,-0.853665,1.575663,-0.101504,-0.002212,yes
-37.86425,-16.40555,-7.797686,-9.645962,-7.216711,12.19209,4.203558,11.45863,16.86664,2.649803,-12.82436,6.428277,26.32087,-0.420498,-0.909014,-0.545162,2.022346,2.569234,1.28471,2.008098,1.332479,0.747018,2.197927,4.485502,1.402334,0.009382,0.188484,0.146604,-0.030877,0.913453,-0.345064,-1.281888,-1.807157,-1.194203,-0.885592,-1.185764,0.404644,-0.634807,-0.00311,yes
-36.27579,-16.40798,-8.672203,-5.73676,-6.721486,6.219656,-4.640853,6.675549,11.8759,3.784732,-4.223719,8.273056,26.32789,-0.126275,-0.794355,-1.06491,2.003292,1.089576,-2.943118,-1.991053,0.107856,0.052597,-0.944659,1.567669,-0.849003,0.007516,0.127778,0.207895,-0.103939,0.427813,-0.066681,-0.808165,-0.659738,0.198045,-0.084611,-1.190139,-1.572625,-1.200172,-0.004414,yes
-40.14759,-18.77743,-9.045165,-1.097167,-2.693377,6.38318,0.664964,-1.121417,8.0518,2.516128,-6.721273,9.483055,26.32911,0.554441,-0.239715,-1.537711,2.547424,0.743832,-4.028108,-2.54615,-1.701772,-1.29376,-2.742613,-0.599016,-1.675942,0.000724,0.297961,0.314585,-0.136624,-0.385412,-0.301779,-0.439017,0.173905,1.439392,0.676036,-0.807594,-1.640318,-0.93514,-0.005337,yes
-36.06695,-17.47139,-12.9751,-2.45955,-6.539736,-2.601647,-7.348534,3.853588,12.75694,-5.297625,-12.95865,3.771167,26.33476,0.232467,0.068897,-1.112564,1.786119,2.541435,-0.739516,1.525308,5.177766,2.1989,-1.46031,-3.300295,-2.988368,-0.005297,0.141284,0.302764,0.143917,-0.3475,0.057464,0.601972,1.477992,1.405473,0.892256,0.142794,-0.71828,-0.026906,-0.005569,yes
-35.19647,-17.07242,-13.33479,1.452552,-3.588428,-3.537802,-7.173351,4.360747,9.957324,-6.522081,-11.45197,0.299511,26.32105,0.889933,0.232285,-1.204456,0.203872,0.334407,-2.012175,1.11944,5.994483,3.054044,-1.582216,-1.282107,-2.203684,-0.010897,-0.010499,0.145382,0.267067,-0.369419,0.007181,0.465783,1.21792,0.258233,0.842898,0.433235,-0.157953,0.464025,-0.003982,yes
-37.58902,-16.916,-12.09021,1.918977,6.433215,7.482566,6.904843,29.8233,21.91764,1.002285,-18.35985,-2.077012,26.30544,0.412396,0.483467,-0.511951,1.437569,1.581608,-0.941224,3.566113,3.287095,2.339975,-0.810889,-1.682186,-0.719665,-0.01452,-0.016276,0.052785,0.279372,-0.010287,-0.282516,-0.462553,-0.154443,-2.073564,-0.379816,0.341421,0.135474,0.633418,-0.001834,yes
