@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute bellornot {yes,no}

@data
-62.66971,-6.034048,15.21755,11.387,-29.32473,26.99353,-6.48043,-16.43723,22.18438,-2.686649,-9.734485,-16.00495,22.44694,1.915004,3.479439,1.271032,-1.842107,-1.376343,-1.253121,2.880302,-0.252123,-3.610341,0.829319,3.428094,0.134002,0.416044,0.220496,-0.306095,-0.753665,0.484977,-0.636519,0.726224,0.338201,-0.942084,0.541979,0.164778,-0.345175,-0.427477,0.05013,yes
-52.65022,5.488053,17.07133,4.541815,-32.63245,27.48863,-5.009987,-13.59505,12.87493,-0.796887,-0.609539,-13.46063,23.31315,2.455277,3.55066,0.309083,-1.237955,-3.059009,0.325514,4.547854,-2.231439,-3.474317,1.992817,3.1172,-1.816631,0.579191,-0.272445,-1.276139,-1.698896,0.998394,-0.391298,0.791634,-0.233736,-1.513036,1.546225,-0.138274,-1.201026,-0.294546,0.000888,yes
-58.10444,5.602101,20.64581,5.599057,-34.55258,20.48037,7.185859,-19.11893,8.787395,0.515066,2.843516,-16.6071,24.09406,2.747348,1.913355,-2.016319,0.280704,-3.717603,1.588679,3.737532,-3.972886,-0.968459,1.071459,1.857665,-1.028068,0.58512,-0.818152,-1.413766,-1.760906,1.591779,-0.157682,0.733405,-1.072313,-1.487959,2.664463,-0.322505,-1.664991,-0.499758,-0.098185,yes
-52.67596,5.901178,14.04883,8.091197,-42.00585,31.87768,9.425694,-26.25357,11.51128,5.676576,-0.437482,-24.78703,24.51934,0.136606,-2.118211,-5.579774,2.088456,-2.162199,1.284151,1.283009,-5.956921,2.799842,0.01688,-1.791821,-0.757692,0.335945,-0.977436,-0.94897,-0.707714,1.83893,0.270823,-0.357457,-1.251895,-0.418337,2.54723,-0.590511,-1.285767,-0.484522,-0.201942,yes
-48.9201,3.326163,6.647201,11.01583,-43.22604,32.7424,4.989391,-29.9724,18.0239,-0.566087,-0.532188,-15.48209,24.76945,-1.01642,-0.754956,-4.58907,4.453582,-2.613159,1.934586,-0.848838,-5.829176,6.574893,0.204762,-2.442348,-2.894258,0.046743,-0.750001,-0.000754,1.00467,1.364015,0.421317,-1.126022,-0.626979,0.875657,1.463614,-0.391882,-0.57628,-0.882266,-0.210245,yes
-56.55936,-3.965032,-3.828234,12.27571,-39.10671,27.77837,2.503293,-37.95292,22.25588,-0.171911,-7.880794,-17.8116,24.65518,-0.550016,0.139967,-1.94311,5.870254,-2.257118,-1.634724,0.581562,-3.39498,5.490159,-0.526392,-1.16163,-3.306144,-0.161332,-0.035104,0.687945,2.180652,0.426517,0.429807,-0.879439,-0.580136,2.320014,0.075372,-0.609961,0.433746,-0.219591,-0.126112,yes
-61.24485,6.760427,6.638993,25.77471,-49.06794,32.20296,6.402868,-42.41514,36.28955,4.463119,-5.646569,-34.5661,24.25985,-0.659346,0.780493,1.188697,5.20988,-1.563559,-2.581992,0.953359,-0.875573,5.004455,-0.616315,-1.338832,-4.16517,-0.217466,0.241791,-0.105338,1.148954,-0.478944,0.848233,-0.473314,-1.006547,2.426364,-0.877546,-0.850357,0.381569,1.01375,-0.031013,yes
-49.26367,4.883881,4.337388,30.06302,-50.37049,23.97378,11.62677,-37.0071,29.82925,0.530015,-3.68844,-31.77574,23.96748,-0.217453,0.553791,2.434602,3.842892,-0.537965,-0.854753,-2.518768,3.16635,3.961923,-2.622387,-0.174847,-1.220191,-0.162512,-0.330427,-0.434786,0.179106,-0.93473,0.603057,0.58749,-1.260709,1.344281,-1.048273,0.009663,-0.19493,1.172217,0.019516,yes
-55.86467,2.804173,8.507874,28.17157,-45.41195,21.73474,5.194451,-34.82317,39.25949,-3.998627,-9.322522,-29.32587,24.02597,0.026255,-1.488557,-1.033154,3.072545,0.76843,-0.821968,-4.331409,3.02198,2.951282,-2.999027,-1.027896,1.131516,-0.107731,-0.059346,-0.321385,-0.444542,-1.134177,0.088932,0.919974,-0.38509,0.112928,-1.556566,0.752215,0.014225,0.792794,0.010669,yes
-60.33671,0.78205,7.410333,30.29174,-43.62453,28.73872,-9.486338,-25.91716,40.58053,-9.052976,-6.917053,-26.53267,23.95956,-2.544953,-0.899437,0.063344,2.265272,-0.407827,0.422714,-3.0796,1.377651,1.275379,0.71328,-2.291748,-0.093402,-0.118619,0.532154,0.225543,0.067201,-2.040311,-0.093855,0.685366,1.293296,-0.859889,-2.18719,1.388717,0.378768,0.23919,-0.016613,yes
-55.57705,1.368556,-0.063252,41.02308,-48.59877,25.71065,-4.697624,-32.85021,45.67032,-5.740521,-9.171743,-31.53006,23.72515,0.207672,-0.09982,0.151618,0.327805,-1.183971,1.379143,-0.691672,0.583415,-1.435102,1.476926,-0.209256,-0.764597,-0.186069,0.946288,0.660907,0.88854,-2.568038,0.174707,0.713852,1.322021,-0.290098,-2.175276,1.041525,0.746672,0.279241,-0.025962,yes
-62.13224,1.104504,8.939672,34.96363,-50.81621,24.09939,1.174803,-31.10533,33.00073,4.967362,-15.22257,-31.14066,23.52479,2.352608,0.987136,2.178221,-4.986291,-0.031039,1.471521,2.127841,0.086188,-4.780834,2.083222,1.309672,0.923815,-0.206408,1.151003,0.294548,0.187126,-1.47101,0.55807,0.065611,0.827799,-0.247231,-0.633448,-0.084962,0.479883,0.569981,-0.013065,yes
-53.92854,2.143847,8.501296,27.47465,-47.73597,30.95012,-3.594481,-29.31201,35.87388,-3.624166,-6.216045,-30.84486,23.31301,2.308912,0.872692,2.352108,-6.141867,1.453574,2.222887,-0.325026,2.217223,-4.896993,1.523627,0.904754,2.01911,-0.193648,-0.116164,-0.047864,-0.248094,0.267271,0.260566,-0.510661,0.408474,-0.633898,1.002533,-0.448643,-0.559198,0.5302,0.015724,yes
-49.39793,5.330087,14.01917,12.1345,-44.21113,33.47659,0.601299,-27.25531,21.57458,0.304957,-1.846543,-22.2562,23.1336,2.159441,0.087048,-0.101269,-1.85494,1.063749,0.328897,0.87607,-0.675406,-0.160914,0.265121,-0.44934,1.364648,-0.180154,-1.239533,-0.341598,-0.777432,2.341649,-0.473486,-0.984906,0.26536,-1.205674,2.679116,-0.867791,-1.020818,-0.342943,0.031875,yes
-50.39965,3.619224,9.157541,21.72831,-44.63344,32.13649,-6.036002,-23.6891,26.89844,4.208818,-11.33599,-25.87674,22.95251,-0.276566,0.110906,0.050892,0.098483,-0.428533,-0.602848,1.976585,-2.20528,1.2676,0.142764,-2.125738,1.665985,-0.120574,-1.125321,-0.149669,-0.733124,2.321205,-0.758837,-1.033676,0.637556,-1.408666,2.375973,-0.737216,-0.602916,-0.708788,0.024536,yes
-53.09949,0.802056,8.105205,28.5621,-47.04873,25.15069,6.775913,-37.29381,36.68388,2.376472,-14.9093,-26.80148,22.80427,-2.552316,-0.339959,-0.558331,3.601776,-1.457416,-2.040141,2.303838,-3.73093,5.532453,-1.565301,-2.279172,-0.614337,-0.083569,-0.895223,-0.190236,-0.484698,1.366063,-0.148415,-0.493511,-0.516824,0.085221,0.909602,-0.120085,-0.31875,-0.745952,0.00101,yes
-53.46059,4.962395,11.71274,19.75326,-48.45984,32.09882,3.201138,-35.31916,34.65723,-3.946103,-10.31336,-20.2423,22.8748,-0.961814,0.33785,-1.084981,2.735801,-1.080027,-1.760976,2.148872,-3.298347,4.136188,-1.247242,-1.194912,-0.535339,-0.119258,0.230526,-0.268097,-0.787657,0.688383,0.717745,-0.361457,-1.212101,1.41536,-0.437817,0.071812,0.253883,-0.322626,-0.03203,yes
-60.62904,2.958705,9.949912,31.1309,-49.58501,23.29472,7.501916,-40.09493,45.35744,-3.444086,-13.75372,-28.1451,22.75461,-1.97405,-0.977605,-1.956821,3.656715,0.64742,-1.559594,-1.794194,0.297234,2.952803,0.359699,-2.508502,-1.26445,-0.17576,0.662488,-0.296334,-0.327647,-0.336561,0.847512,-0.106693,-1.140922,2.119701,-1.737314,-0.187046,0.762678,0.496219,-0.032911,yes
-51.44394,4.230149,2.810281,34.12291,-48.76543,24.25959,4.345354,-38.78028,43.24259,0.882886,-17.88834,-27.88162,22.38106,0.586932,-0.910756,-3.188145,3.512928,2.107776,-2.650405,-2.034907,2.857438,0.368342,-0.460676,-0.741656,0.377912,-0.234628,0.372854,-0.229043,0.316465,-0.635785,0.292515,-0.053842,-0.176601,1.236704,-1.264573,-0.78271,1.201571,0.455604,0.004695,yes
-63.97806,-3.719845,2.772327,39.66085,-43.65883,21.27234,-2.767163,-34.07708,47.15522,1.760471,-23.66432,-29.30407,22.17234,-0.01425,-1.197328,-1.144983,1.530407,1.186245,-2.128892,-1.308883,3.789684,-1.270192,-2.893815,1.307588,1.41013,-0.190439,0.539276,0.336065,0.650574,-0.733767,-0.824482,0.202538,1.446481,-0.757558,-0.490394,-0.666032,1.176739,0.081956,0.040349,yes
-48.85142,3.747889,-0.639195,33.05293,-40.88404,19.85799,-1.838856,-24.0409,35.60006,-8.851759,-9.066335,-17.77325,21.99279,-0.077442,-0.697501,0.091425,0.620032,0.113136,-1.745537,1.023211,1.13895,-0.075179,-3.534035,2.904895,0.405389,-0.088441,-0.008998,0.395268,0.640046,-0.268942,-1.420694,0.720069,1.633684,-2.122937,0.304498,1.093694,-0.526433,-0.789529,0.054999,yes
-61.99655,-2.786806,5.949737,39.31793,-47.59448,14.85106,4.049606,-28.5162,42.82775,-13.04584,-11.62678,-26.14864,21.99654,1.054517,0.596094,-0.343737,1.434327,-2.477667,-0.99934,3.909152,-2.631311,0.722594,-1.43378,1.551915,-0.868407,-0.04711,0.471949,0.598435,0.08806,-0.36998,-0.755309,1.089079,0.772429,-1.947363,0.2104,2.380073,-1.73214,-0.430994,0.027066,yes
-52.82191,0.276124,1.6787,37.39454,-46.23193,18.74255,6.053023,-35.86597,45.03043,-9.384138,-9.382635,-27.4324,22.02675,0.007561,0.168872,-0.388536,2.216257,-3.163739,0.385163,3.524495,-4.546751,0.89444,4.277778,-3.495986,-2.430461,-0.031296,0.166129,0.338939,0.213667,-0.931304,0.232066,1.144859,-0.583057,-0.599632,-0.287638,2.106582,-1.788718,0.206616,-0.018064,yes
-56.72023,0.996506,-0.105307,44.66169,-53.37323,16.83336,12.83266,-41.3211,46.053,-5.142241,-15.74659,-28.81653,21.91982,2.302994,1.361661,-0.464704,-1.117607,-0.951864,2.251151,1.302622,-3.104278,-0.703005,5.100643,-4.152672,0.673088,-0.083681,-0.726981,-0.055378,0.319144,-1.380141,1.205047,1.057355,-1.73128,0.580643,-0.138732,0.321025,-0.188072,0.5616,-0.0458,yes
-51.45177,2.700594,0.445645,41.46233,-53.81337,20.79265,11.39209,-40.3722,38.45963,8.585334,-24.48635,-28.59161,21.87467,0.128965,0.614408,1.220244,-2.76052,0.510563,2.35351,-0.58881,-1.622726,-0.80057,3.731664,-3.186402,0.66772,-0.160477,-0.980708,-0.115997,0.004943,-0.875122,1.349641,0.207671,-1.466667,1.073242,0.340471,-2.264248,2.17086,0.493554,-0.042573,yes
-51.16665,2.809265,4.242746,31.696,-48.56308,25.08176,7.893181,-41.78447,42.59813,3.472644,-24.83828,-22.20359,21.65417,-2.641089,0.096434,0.447594,-2.977989,1.710415,3.303262,-2.690593,-1.190107,0.87644,0.444404,0.456762,0.390503,-0.21152,-1.298098,-0.495334,-0.644738,0.299844,0.772198,-0.805474,-0.426896,1.271135,0.056339,-2.507985,2.868207,-0.129657,0.018022,yes
-54.95388,2.441785,5.605893,30.07478,-46.08419,26.38589,5.578713,-43.74791,42.75502,4.966739,-20.7688,-27.40027,21.35719,-2.423937,0.221501,-0.81997,-1.229163,2.253326,0.897464,-1.812235,-0.137627,1.807073,-4.715343,5.053596,0.178603,-0.18024,-0.608872,-0.822733,-0.950825,0.256313,0.291851,-0.998711,0.434961,1.515042,-1.199128,-1.017744,2.187274,0.153919,0.106391,yes
-68.17462,1.60808,-0.44746,35.46552,-48.68574,30.55305,2.286381,-45.58378,48.28751,-1.110925,-15.32156,-27.45969,21.12096,-2.911042,-0.918556,-2.668287,-0.384067,2.037743,-1.048197,-0.220148,2.508849,-1.72513,-3.215779,6.068363,0.269363,0.016309,0.369095,-0.799109,0.028095,-0.016116,-0.281759,-0.553949,0.621759,1.403952,-2.320757,1.233615,0.450314,0.165825,0.161509,yes
-55.06747,4.40869,-1.309099,33.43176,-42.4854,22.54433,5.134317,-39.16068,44.6503,-12.69959,-3.97673,-25.07055,21.24008,-2.780417,-2.991761,-1.975943,-2.775915,1.806156,-0.464313,0.350774,4.103007,-5.495423,0.473038,4.944165,1.497886,0.257562,0.601626,-0.304435,1.199752,-0.24017,-0.736124,0.262753,0.096145,0.810101,-2.02855,2.335358,-1.119251,0.00477,0.134709,yes
-65.66506,-2.76697,-5.641192,28.09717,-40.17376,21.76156,7.014641,-31.53385,33.02483,-3.773085,-2.892497,-22.02164,21.79428,-0.617372,-2.292482,1.166056,-2.285192,0.525207,1.214408,-0.663304,3.709335,-7.076096,4.018289,2.763047,0.559987,0.377122,0.974028,0.679335,1.548735,0.289069,-0.474629,0.350491,-0.342824,-0.490434,-0.06531,1.2185,-1.439877,-0.429002,0.039143,yes
-70.11074,-10.3295,-1.676956,19.87938,-41.3094,28.46008,4.968453,-30.25784,22.90924,8.663007,-2.262511,-22.62986,22.30834,-0.562643,-0.613709,3.26162,-1.479449,-0.671028,1.079925,-1.109932,3.312634,-5.660194,3.344413,1.109998,0.057143,0.312897,0.611015,1.221127,0.480003,1.168813,0.134391,-0.489408,-0.327419,-1.236333,2.006751,-0.357373,-1.486109,-0.978056,-0.051348,yes
-63.73985,-2.485236,5.566748,30.81574,-46.64771,33.66721,-0.947206,-31.48853,23.77756,8.299218,-2.363432,-25.8801,22.47244,0.850208,1.289092,2.456608,0.413046,0.90319,-0.067859,-1.203917,0.451866,-1.969292,1.441035,0.786062,-1.155274,0.184355,-0.53121,0.157805,-1.31671,1.177963,0.54935,-1.490638,0.533053,-1.558422,2.605678,-1.015492,-1.110121,-0.613908,-0.088866,yes
