@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute bellornot {yes,no}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,-2.292592,-8.244252,-4.440361,0.669743,-0.187211,2.027213,3.700181,-1.317578,-0.048854,0.714882,-2.094491,1.730392,4.945743,-0.275506,-0.726163,-0.280323,-1.318625,-0.647484,-1.106762,-0.88424,0.61345,-0.720837,0.180757,-0.295732,0.382037,0.405351,yes
-8.164735,-15.4383,-5.784821,11.80068,-8.711101,2.332346,17.00413,-9.403224,8.859687,-7.549662,-8.240716,4.989203,7.985484,-3.358885,-11.04839,-6.105345,-2.601993,-0.99849,0.264234,1.529602,-0.010759,-2.627604,1.094111,-3.242878,3.256917,6.619275,-0.043274,0.388841,0.49381,-1.789344,-1.195649,-1.355378,-1.605453,0.989232,-0.74595,0.126274,0.364653,-0.09902,-0.190607,yes
-7.380594,-33.50211,-19.30939,-2.551627,3.419497,8.969892,9.998836,-1.886277,-4.674112,7.349243,-6.3521,6.157359,20.73597,-3.136975,-10.473,-5.009483,-4.287513,-3.01899,-2.625107,0.364269,1.096263,-2.363661,1.429051,-2.998956,2.877313,6.135734,0.260598,2.136288,1.545625,-0.898803,-1.831691,-1.68058,-1.513974,0.900308,0.246432,-0.263384,0.431113,-0.793599,-1.167329,yes
-13.10413,-38.49091,-20.87203,-11.73415,-6.7022,-3.163778,2.648593,0.889345,-10.80097,1.795933,-13.03834,13.20591,22.72839,-2.086773,-5.185675,-1.686749,-5.798348,-4.749566,-2.423519,-2.659126,2.421663,-2.6212,0.989166,0.181007,0.661834,3.397712,0.742352,3.103422,2.067062,0.460023,-0.977632,-0.861094,-0.816402,0.262074,1.371929,-0.491424,0.74612,-1.423439,-1.799368,yes
-13.21518,-40.83869,-17.50381,-9.670148,-16.0994,-10.37747,8.999112,0.335032,-1.98798,2.472459,-12.59597,10.27821,23.30722,-1.625657,-0.494173,1.078467,-2.226093,-7.470129,-5.031809,-1.775325,1.967753,1.180104,-0.549565,-1.650871,-0.940062,0.719879,0.73851,2.352387,1.190978,0.831512,0.810509,0.274721,-0.563672,-0.706901,1.162928,-0.566449,0.521419,-1.159055,-1.486542,yes
-15.68131,-37.69839,-15.12136,-13.6318,-22.69948,-0.111566,4.208364,1.594435,-5.589382,-0.16544,-4.213747,6.237944,23.68842,-0.402785,-0.520695,1.185987,-1.332589,-3.661082,-2.837888,-1.48261,0.863866,2.46016,-0.373702,-0.18632,-1.95159,0.330365,0.614877,0.684732,-0.253606,0.918582,2.384531,0.848223,-0.056582,-1.660403,0.499508,-0.748826,-0.057898,-0.295283,-0.700868,yes
-14.22029,-36.36923,-16.79239,-12.73327,-25.93251,-17.71526,0.342327,7.599943,-1.379387,5.582106,-19.01875,4.941031,23.85535,-0.286417,-1.043554,-0.490961,-2.362831,0.489313,-1.044316,-3.042349,-1.659342,0.910298,-0.721758,-0.208196,-1.61125,0.236697,0.460805,0.012136,-0.83783,0.48671,2.675354,1.829365,-0.262621,-1.527609,-0.887622,-0.828307,0.426097,0.32171,-0.153972,yes
-14.6155,-43.32911,-15.2978,-16.86554,-20.09105,-13.68432,-0.436064,1.576217,1.195535,-1.6274,-10.75855,6.116551,24.10614,0.317994,-1.487326,-2.170065,-1.137071,3.193371,-0.176151,-2.308524,-4.066802,0.011241,-2.668865,-0.829823,-0.47899,0.134962,0.241604,0.459249,-0.422837,0.759866,1.121931,1.153591,-0.03159,-0.58,-1.520847,-0.971308,0.093208,0.484812,-0.093265,yes
-15.18017,-43.24109,-19.8704,-19.86744,-14.95705,-8.812672,-3.890419,-7.952569,-0.828948,-0.405352,-10.36454,2.282659,24.28184,0.317977,0.049823,-1.432658,0.109697,2.479413,2.784148,-2.675473,-3.204955,-2.033548,-3.543519,0.801366,-0.067811,0.047722,0.235152,0.61072,0.41297,0.834356,-0.045758,0.16167,0.922304,0.779176,-1.09373,-0.301715,0.421409,0.451384,-0.075243,yes
-13.6114,-41.69909,-24.43268,-15.75007,-12.22036,-5.443616,-5.217884,-10.96332,-5.808398,-10.51604,-12.68996,5.172182,24.14999,0.503035,1.228863,-0.45735,1.230477,0.953526,1.015837,-1.824,-1.26333,-3.672153,-3.819361,-0.225063,-0.299252,-0.041471,0.026411,0.238283,0.724109,0.33133,-0.530351,-0.641782,1.074433,1.060374,-0.24937,0.772762,0.451374,0.496081,-0.035532,yes
