@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute bellornot {yes,no}

@data
-21.66013,4.31778,-3.442932,-0.270757,-3.486402,5.7021,2.891471,18.20371,9.845313,19.28006,12.264,3.306761,11.14675,-3.085088,7.008195,-9.188661,6.961165,-5.764889,-1.887885,-0.292733,-7.359239,2.885841,-4.876632,-2.08575,-1.971896,1.653488,0.223133,-1.07833,0.629684,0.087386,-0.414601,1.301551,-0.221849,0.357202,-1.817889,-0.499034,-0.527952,0.061506,-0.066959,yes
-28.69283,20.77918,-25.92089,18.65286,-17.45909,2.478445,-2.821796,2.016106,14.01408,1.650549,4.586996,0.336093,16.03293,-3.682934,5.994439,-10.07439,8.99822,-8.215776,1.583903,1.678461,-7.964662,1.021906,-8.020205,-2.838571,-1.897092,1.809116,0.496405,-1.876651,2.233928,-1.777269,1.564916,0.905679,-0.210601,1.507434,-2.339522,-0.06045,0.151786,0.421468,-0.229217,yes
-33.56923,31.12806,-38.14725,25.07326,-25.3245,-2.125498,4.28444,-10.49869,22.19013,3.71165,5.673758,-5.067385,16.9711,-1.6705,2.123424,-5.597377,6.379569,-6.612451,2.883974,-2.387576,-5.270519,-5.271636,-5.800015,-4.349099,-1.701769,1.24088,0.568899,-1.639701,2.851675,-2.818114,2.95317,0.340554,-0.30991,2.599472,-1.722373,0.589644,0.683328,0.79872,-0.209518,yes
-34.12026,20.88484,-36.46273,32.04834,-33.64624,17.53541,10.58729,-7.26841,8.782431,-13.03676,1.36627,-1.991629,17.28015,-1.310357,0.067326,0.185339,-1.634382,2.483475,0.25458,-0.298315,-0.86643,-4.73303,-4.717191,-0.195145,0.000379,0.713705,0.24195,-0.072165,1.738535,-2.626657,2.919399,-0.617334,-0.089013,2.466694,0.535953,1.377291,1.122707,0.447923,-0.090881,yes
-27.29892,14.88207,-26.1589,24.92935,-28.45508,12.59349,-15.75095,-3.506632,-13.89704,-2.376365,-7.871126,-4.038221,16.72754,-1.426884,1.773246,-0.060154,-1.813105,3.651337,0.479545,-0.853896,2.089003,-2.848556,-3.579917,0.009174,1.072966,1.153604,-0.569669,1.231283,-0.370797,-0.664488,0.489917,-0.534024,1.956252,0.768996,2.968143,0.52131,1.281807,-0.226075,0.066969,yes
-38.37977,29.2388,-30.98838,10.55291,-3.476425,-3.60815,5.704329,-5.812072,8.392513,-18.8914,10.38371,-0.176596,19.72323,-2.594991,5.808705,-4.150329,-0.038727,1.249326,-0.300554,0.466554,0.689049,2.49013,-2.243796,0.595825,-1.044846,1.398351,-0.772154,0.08713,-0.518082,1.006218,-3.232902,-0.6459,2.025059,-0.085536,1.982953,0.723639,-0.442113,-0.580863,-0.081068,yes
-38.57389,35.81731,-41.1852,26.75545,-22.15273,10.84401,2.456443,-0.781838,8.142311,-11.26062,1.210908,-0.610071,21.51758,-3.876526,5.40915,-5.283529,2.259301,-3.545793,0.491419,7.011247,-2.203278,5.9575,-4.430164,1.66445,-2.309529,1.233405,0.218886,-2.398279,1.53195,0.40713,-2.120486,-1.736949,1.269771,0.111121,-0.392618,0.915341,-0.388081,0.264899,-0.433371,yes
-41.45773,39.46075,-49.70123,30.94165,-30.55079,16.90738,3.816367,-5.185565,10.21341,-19.81362,-0.195621,-8.929935,21.87689,-3.946307,-1.314976,0.206615,1.360505,-10.08247,-2.980859,5.894412,0.85203,0.778707,-0.673871,-3.233348,-1.212689,0.268466,1.650846,-4.793997,3.254999,0.409663,0.056912,-2.499762,-0.847462,2.146907,-3.995615,0.837513,0.936659,1.824581,-0.609755,yes
-45.14257,36.81685,-43.22012,26.03148,-32.64687,4.792814,20.24926,-14.83627,14.98001,-24.06608,5.740793,-11.2092,21.81773,0.343202,-6.656308,5.421123,-0.47707,-1.285194,-6.865048,2.781028,2.563117,-3.955936,0.211824,-0.016646,2.481381,-0.448306,2.544122,-4.455541,2.596292,1.097067,2.263366,-2.196445,-2.587718,4.115134,-6.590353,0.896652,3.131117,2.381182,-0.479692,yes
-54.82697,22.16415,-28.93785,17.71742,-48.6417,-15.48685,26.27998,5.475294,8.867197,-15.85802,-8.047969,-0.940479,20.91549,3.549376,-12.12855,6.77234,3.377771,0.403588,-9.121132,-1.655648,9.040388,-12.53123,-0.377224,6.119668,5.682603,-0.809569,2.141122,-2.02723,0.40622,1.864635,3.371915,-0.015429,-1.579605,3.294004,-6.309412,-0.28917,5.005229,1.579635,-0.091821,yes
