@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute catordog {cat,dog}

@data
-48.27007,-21.22235,-18.52669,-2.885619,-5.224124,11.89345,0.324888,22.47479,-0.585023,3.21762,-9.361969,-36.0029,20.07001,-0.124102,-3.219375,1.089909,-3.474352,0.872155,0.458067,-1.419737,9.538145,9.215509,6.907593,-11.31878,-12.64658,-0.096451,-0.077577,0.317108,-0.141367,0.215288,0.940901,-3.106853,1.585528,-2.168734,2.339032,-1.324085,-1.419382,-0.244,0.033451,cat
-55.63741,-30.62887,-24.23416,-10.18162,3.453694,16.83438,13.65688,36.53449,21.5369,17.45118,-28.49373,-50.69991,19.92591,0.317239,-1.273632,1.599873,-2.033253,1.643879,-3.375174,-0.082713,5.954129,9.897017,4.040122,-11.70222,-11.11641,-0.020861,0.043227,1.076087,-0.13118,0.838394,0.289256,-2.946669,1.080863,-3.479135,-0.185382,-3.188943,1.713548,1.873776,0.066642,cat
-48.13172,-22.87871,-13.23881,-4.717525,0.445458,-0.709056,7.195986,30.30467,24.07258,9.289574,-36.90002,-59.64132,20.04725,0.535976,0.922272,2.16895,-1.292076,2.705894,-6.598723,2.141685,0.482047,8.161975,-1.353505,-7.422592,-8.010717,0.079173,-0.4706,0.622373,-0.913295,0.823024,-0.035236,-0.658512,1.034153,-2.436576,-1.578735,-2.771281,3.417823,3.245149,0.05994,cat
-46.8266,-18.54133,-12.05105,-5.27896,1.885227,-4.563883,6.323077,32.62198,27.68413,9.488313,-41.44342,-62.56862,20.19154,-0.227238,0.704436,0.106796,-0.290697,1.222267,-5.776518,1.479528,-1.032758,4.924216,-4.03592,-1.163906,-3.912737,0.133526,-0.546273,0.081279,-1.082295,0.764769,-0.579598,0.977607,0.332898,-0.986744,-2.129621,-1.475091,3.185379,3.60102,0.027215,cat
-49.9956,-22.65475,-13.7735,-11.79733,9.089579,-10.40103,14.70022,26.84128,37.15124,0.431526,-40.00009,-70.12213,20.33306,-2.204861,-1.096545,-2.730029,-0.23051,0.906782,-1.633822,2.969908,0.848706,3.808235,-2.910791,0.501174,-0.022673,0.126054,-0.150344,0.122882,-0.367793,0.852931,-0.938652,1.731943,-0.600174,0.249466,-2.139732,0.218785,1.194026,3.03203,-0.013034,cat
-55.84166,-27.21867,-23.43284,-8.095206,5.242967,-7.20223,17.30241,33.1024,39.61865,1.700601,-32.76323,-65.02319,20.45064,-1.043705,0.142173,-1.362111,1.259811,-0.354552,-0.969587,1.167663,0.837077,1.425784,-2.556693,0.262785,2.894665,0.091773,0.765302,0.696581,1.281637,0.490972,-0.609707,1.101266,-0.9161,-0.415351,-1.64875,0.730039,-0.615502,1.742465,-0.038426,cat
-54.6485,-24.02277,-21.19806,-4.461954,3.300495,-7.558995,16.55586,34.30799,37.14649,-1.370527,-38.73425,-58.5274,20.54797,0.192491,1.817813,1.064437,2.197325,-1.198955,-0.342471,-0.70325,0.794459,-0.787468,-0.999192,-2.16581,3.74573,0.034879,1.080428,0.593326,1.913305,-0.191032,-0.397729,0.396052,-0.998463,-1.195499,-0.904712,0.680325,-0.916638,0.171485,-0.042219,cat
-49.71867,-17.14646,-15.14932,-2.647596,3.007008,-10.83284,11.23357,33.07401,34.81542,-2.394125,-40.76241,-53.89267,20.54295,2.400597,2.730163,4.617747,0.950247,-0.773399,-0.915862,-1.264394,-3.08239,-1.021684,-1.341523,-2.907922,2.915386,-0.013017,0.283129,-0.451829,0.844386,-0.923502,-0.201142,0.691752,-0.342863,-0.629046,0.119362,0.626241,-0.488323,-0.894845,-0.026524,cat
-52.09464,-18.6018,-12.59307,-3.534513,4.212783,-10.29808,14.21838,30.82776,35.61551,-2.517071,-46.82955,-56.95874,20.4613,1.475126,0.57609,3.846566,-1.03089,-0.872441,0.319575,-0.806375,-3.169056,0.508411,-0.116752,-2.496663,0.824394,-0.032648,-0.334998,-0.977642,-0.612104,-0.891222,-0.044576,0.867269,-0.066147,0.663986,0.244848,0.157437,0.556445,-0.858051,0.00134,cat
-45.1156,-16.27834,-4.646595,-3.807691,0.91983,-10.412,12.14918,19.43056,35.27572,-4.433743,-43.25519,-51.23059,20.42889,-0.269377,-1.496112,1.468751,-1.743594,-1.52352,2.15815,-0.495089,-0.326393,1.374655,0.13329,-2.013402,-0.118891,-0.007083,-0.984324,-1.18603,-1.89554,-0.383026,-0.13941,1.076453,-0.053252,2.562947,-0.142689,0.009885,1.086885,-0.336593,0.024506,cat
-49.5744,-21.57638,-7.216589,-9.036355,-0.018122,-6.171536,12.06618,25.28444,39.4584,-0.93448,-49.97117,-55.73647,20.44176,-0.147512,-0.95726,-0.421584,-0.911864,-1.046775,2.456866,-1.41864,2.736391,-0.761396,-0.949414,0.169156,0.972616,0.038614,-0.625521,-0.781456,-1.30368,-0.046276,-0.210232,0.527318,-0.177105,2.287669,-0.996506,-0.900746,1.211211,0.873169,0.039893,cat
-52.32568,-23.13973,-10.49381,-8.614643,-2.495141,-2.105357,9.834225,34.21371,39.76726,-2.51897,-49.25861,-55.09826,20.5173,-1.709703,-2.433313,-2.725878,-1.024394,-1.383283,3.397759,-1.224522,6.779618,-1.100225,-0.875766,1.193593,1.158312,0.073884,0.02192,-0.278838,0.231319,-0.039578,0.07598,-0.221248,0.030821,0.368754,-1.013194,-1.473849,0.724899,1.606656,0.048014,cat
-49.22716,-19.9574,-11.77738,-5.690356,0.686396,-2.16707,8.282661,37.11814,29.56276,-8.221526,-42.98206,-50.16183,20.61016,-0.932313,-2.862588,-0.574522,-1.621871,-1.99372,2.33636,-1.327183,4.716285,-3.236678,-4.115956,1.955895,4.551637,0.126335,0.39349,0.143887,1.529091,-0.164903,0.350387,-0.591465,0.24575,-1.747219,0.147246,-1.351924,-0.260919,1.255969,0.05379,cat
-53.83774,-29.25439,-15.99559,-10.60266,-6.348843,4.574564,7.918328,47.4118,34.72242,-5.16905,-40.78178,-48.22635,20.71411,0.232622,-1.937638,2.701816,-1.586482,-0.67015,1.112163,-0.386711,0.527428,-2.453674,-5.652685,0.717726,6.124878,0.189126,0.900578,1.02193,1.997698,0.213851,0.768611,-0.792226,0.23673,-3.205756,1.039455,-0.872361,-0.618997,0.619802,0.053283,cat
-53.47993,-32.83199,-7.338307,-16.1517,-8.059873,2.170302,6.388217,42.26682,25.79743,-20.18922,-44.43011,-36.41423,20.97503,0.848776,-0.485662,4.510022,-1.455334,0.348594,0.642342,-0.608798,-2.87361,0.651559,-5.320572,-0.897504,4.769179,0.249941,0.747533,1.170464,0.825382,0.712104,0.671833,-0.470461,0.113103,-2.517829,2.044223,0.666031,-0.30611,-0.885908,0.030775,cat
-49.03618,-26.39063,0.795733,-11.31638,-1.472755,1.28677,8.847894,34.27652,29.38156,-24.79855,-44.94595,-31.34767,21.2805,1.90264,1.487876,4.72034,-0.038408,1.288616,0.283637,-0.400065,-5.454213,2.152931,-4.635264,-0.474693,4.148552,0.278497,0.350349,0.49568,-0.559315,0.960035,-0.245598,-0.17756,-0.13502,-0.87582,1.788844,1.536256,0.388458,-1.869001,-0.006201,cat
-47.38406,-23.8176,2.377063,-12.61017,-0.008679,2.688535,4.77389,29.31773,35.49099,-25.00964,-45.38749,-34.75528,21.57668,1.970345,1.276976,2.543127,1.164612,0.386061,0.398319,-0.754989,-4.882041,4.681132,-1.29451,1.021555,1.110261,0.235527,-0.248237,-0.607766,-1.481265,0.781576,-1.26145,0.033766,-0.006822,0.416181,1.194144,1.791358,0.397267,-2.162432,-0.04247,cat
-47.37248,-26.32221,2.748426,-12.56547,-3.931361,5.733634,6.725169,26.61528,40.64029,-25.93516,-42.67656,-28.31307,21.80578,1.423582,-0.340558,0.888688,1.903718,-1.916875,0.346374,-0.988714,-2.847455,4.47576,0.015562,1.700488,-1.390669,0.165331,-0.719622,-1.241933,-1.646193,0.47582,-1.654842,0.391792,0.271184,0.694599,0.975133,1.519783,-0.573395,-2.158967,-0.059242,cat
