@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute catordog {cat,dog}

@data

-55.63741,-30.62887,-24.23416,-10.18162,3.453694,16.83438,13.65688,36.53449,21.5369,17.45118,-28.49373,-50.69991,19.92591,0.317239,-1.273632,1.599873,-2.033253,1.643879,-3.375174,-0.082713,5.954129,9.897017,4.040122,-11.70222,-11.11641,-0.020861,0.043227,1.076087,-0.13118,0.838394,0.289256,-2.946669,1.080863,-3.479135,-0.185382,-3.188943,1.713548,1.873776,0.066642,cat
-48.13172,-22.87871,-13.23881,-4.717525,0.445458,-0.709056,7.195986,30.30467,24.07258,9.289574,-36.90002,-59.64132,20.04725,0.535976,0.922272,2.16895,-1.292076,2.705894,-6.598723,2.141685,0.482047,8.161975,-1.353505,-7.422592,-8.010717,0.079173,-0.4706,0.622373,-0.913295,0.823024,-0.035236,-0.658512,1.034153,-2.436576,-1.578735,-2.771281,3.417823,3.245149,0.05994,cat
-46.8266,-18.54133,-12.05105,-5.27896,1.885227,-4.563883,6.323077,32.62198,27.68413,9.488313,-41.44342,-62.56862,20.19154,-0.227238,0.704436,0.106796,-0.290697,1.222267,-5.776518,1.479528,-1.032758,4.924216,-4.03592,-1.163906,-3.912737,0.133526,-0.546273,0.081279,-1.082295,0.764769,-0.579598,0.977607,0.332898,-0.986744,-2.129621,-1.475091,3.185379,3.60102,0.027215,cat
-49.9956,-22.65475,-13.7735,-11.79733,9.089579,-10.40103,14.70022,26.84128,37.15124,0.431526,-40.00009,-70.12213,20.33306,-2.204861,-1.096545,-2.730029,-0.23051,0.906782,-1.633822,2.969908,0.848706,3.808235,-2.910791,0.501174,-0.022673,0.126054,-0.150344,0.122882,-0.367793,0.852931,-0.938652,1.731943,-0.600174,0.249466,-2.139732,0.218785,1.194026,3.03203,-0.013034,cat
-55.84166,-27.21867,-23.43284,-8.095206,5.242967,-7.20223,17.30241,33.1024,39.61865,1.700601,-32.76323,-65.02319,20.45064,-1.043705,0.142173,-1.362111,1.259811,-0.354552,-0.969587,1.167663,0.837077,1.425784,-2.556693,0.262785,2.894665,0.091773,0.765302,0.696581,1.281637,0.490972,-0.609707,1.101266,-0.9161,-0.415351,-1.64875,0.730039,-0.615502,1.742465,-0.038426,cat
-54.6485,-24.02277,-21.19806,-4.461954,3.300495,-7.558995,16.55586,34.30799,37.14649,-1.370527,-38.73425,-58.5274,20.54797,0.192491,1.817813,1.064437,2.197325,-1.198955,-0.342471,-0.70325,0.794459,-0.787468,-0.999192,-2.16581,3.74573,0.034879,1.080428,0.593326,1.913305,-0.191032,-0.397729,0.396052,-0.998463,-1.195499,-0.904712,0.680325,-0.916638,0.171485,-0.042219,cat
-49.71867,-17.14646,-15.14932,-2.647596,3.007008,-10.83284,11.23357,33.07401,34.81542,-2.394125,-40.76241,-53.89267,20.54295,2.400597,2.730163,4.617747,0.950247,-0.773399,-0.915862,-1.264394,-3.08239,-1.021684,-1.341523,-2.907922,2.915386,-0.013017,0.283129,-0.451829,0.844386,-0.923502,-0.201142,0.691752,-0.342863,-0.629046,0.119362,0.626241,-0.488323,-0.894845,-0.026524,cat
-52.09464,-18.6018,-12.59307,-3.534513,4.212783,-10.29808,14.21838,30.82776,35.61551,-2.517071,-46.82955,-56.95874,20.4613,1.475126,0.57609,3.846566,-1.03089,-0.872441,0.319575,-0.806375,-3.169056,0.508411,-0.116752,-2.496663,0.824394,-0.032648,-0.334998,-0.977642,-0.612104,-0.891222,-0.044576,0.867269,-0.066147,0.663986,0.244848,0.157437,0.556445,-0.858051,0.00134,cat
-45.1156,-16.27834,-4.646595,-3.807691,0.91983,-10.412,12.14918,19.43056,35.27572,-4.433743,-43.25519,-51.23059,20.42889,-0.269377,-1.496112,1.468751,-1.743594,-1.52352,2.15815,-0.495089,-0.326393,1.374655,0.13329,-2.013402,-0.118891,-0.007083,-0.984324,-1.18603,-1.89554,-0.383026,-0.13941,1.076453,-0.053252,2.562947,-0.142689,0.009885,1.086885,-0.336593,0.024506,cat
-49.5744,-21.57638,-7.216589,-9.036355,-0.018122,-6.171536,12.06618,25.28444,39.4584,-0.93448,-49.97117,-55.73647,20.44176,-0.147512,-0.95726,-0.421584,-0.911864,-1.046775,2.456866,-1.41864,2.736391,-0.761396,-0.949414,0.169156,0.972616,0.038614,-0.625521,-0.781456,-1.30368,-0.046276,-0.210232,0.527318,-0.177105,2.287669,-0.996506,-0.900746,1.211211,0.873169,0.039893,cat
