@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute airplaneornot {yes,no}

@data
13.94367,3.670778,-20.86931,-22.9498,-24.16655,-1.918038,-3.002005,-17.21696,-8.373849,-1.443663,-15.54193,-2.031195,22.23687,-0.531297,-0.855343,-0.52187,3.297366,3.48252,-0.216267,-2.39559,-1.890959,-0.497228,-2.318856,1.208926,-0.502412,-0.023106,0.047767,0.266317,0.562103,0.103696,0.420036,0.366963,0.150043,1.048416,0.802315,0.469579,-0.349629,0.255625,-0.006721,yes
12.28043,-1.53879,-25.75517,-23.14315,-24.23172,-2.120286,-12.71346,-21.6325,-3.946464,-2.420126,-7.804363,-2.89606,22.18839,-0.339974,-0.096712,1.337541,4.484034,4.709315,0.435927,-2.410643,1.162583,2.133106,-0.720443,1.103546,0.02893,-0.007311,0.083735,0.391093,0.655317,-0.313234,0.02337,0.438175,0.800291,1.332808,0.710383,0.459418,-0.728856,0.458085,-0.011159,yes
12.11881,1.99885,-21.03573,-6.366301,-6.721369,-2.898247,-10.12422,-24.46399,-13.07368,-12.54971,-13.36609,-4.110819,22.14558,-0.388125,0.096927,1.358939,3.222511,4.969299,1.292453,-1.637847,1.824348,2.199179,-0.770165,-0.486531,0.510042,-0.064609,0.078359,0.304614,0.123341,-0.959001,-1.104528,0.007079,1.242818,0.821657,0.859348,0.469722,-0.609106,0.675405,-0.020214,yes
13.15623,4.02318,-14.0984,-8.821385,-9.342562,0.751702,-11.49411,-7.780536,4.641598,0.507145,-11.11212,-0.846735,22.24596,-0.184207,0.623988,1.814308,1.768625,2.855981,1.220246,1.226994,2.915427,1.706485,-0.796112,-1.587625,1.281784,-0.058152,-0.095963,-0.093284,-0.541837,-1.089015,-1.82021,-0.771203,1.397459,-0.5434,0.107218,-0.199642,-0.518209,0.732006,-0.029772,yes
11.56515,1.374426,-19.903,-13.99813,-6.764628,3.108234,-11.80091,-15.02121,-1.671984,-6.758126,-16.32071,-0.505649,21.88504,-0.217384,0.307375,-0.143551,-0.139933,-1.113452,-0.573029,1.99968,1.340905,4.012824,0.06759,-0.491019,2.248184,-0.098755,-0.104896,-0.309549,-0.59384,-0.653759,-1.790554,-1.112038,0.981328,-0.673064,0.155972,0.197333,-0.162129,0.594348,-0.012548,yes
11.63623,1.893363,-17.24999,-10.48411,-9.93018,0.977706,-5.74015,-11.77676,-1.114889,-9.296475,-14.26518,1.710277,22.0279,-0.905157,-0.668356,-0.620398,0.720182,-1.35036,-2.487345,2.75789,-1.312697,1.762372,-2.137528,-1.485255,2.819888,-0.1391,0.005059,-0.40494,-0.63089,-0.689503,-0.91803,-0.59434,-0.169821,-0.019991,0.157506,0.619777,0.269756,0.063874,0.00661,yes
11.79189,4.600634,-20.17768,-6.234603,-11.99482,-5.876396,-3.002805,-15.76135,9.86868,-7.30995,-14.24466,5.851597,21.76084,-0.552127,-0.804646,-0.392907,0.47794,-1.880301,-2.413941,2.503345,0.573089,2.951093,0.887205,-1.348361,2.71273,-0.086875,0.220304,-0.320224,-0.36176,-0.836114,0.215496,0.293265,-1.223972,0.483537,-0.669876,0.785361,0.710197,-0.678628,0.048666,yes
8.517078,-0.931705,-17.06305,-9.102241,-13.47926,-7.192707,-2.103718,-13.97395,7.683126,-9.904585,-19.57642,10.07408,21.61256,0.008462,-0.844703,-1.215464,-1.987825,-1.350747,-0.830996,0.126054,3.199377,3.024883,1.892965,0.189826,1.36888,-0.031039,0.562947,0.22246,-0.098739,-0.749418,1.007214,1.462937,-1.538654,0.297991,-0.889954,0.65852,0.941759,-1.351922,0.079539,yes
10.36409,-1.23627,-21.96101,-12.29936,-14.39159,-4.876263,-1.102405,-11.05717,8.684472,-2.018045,-20.40689,8.8761,21.65833,0.427325,-1.20557,-1.65482,-2.966497,-0.035781,0.065124,-2.804261,1.502554,0.032188,1.979148,2.222424,-0.419452,0.090547,0.391181,0.305738,0.372916,0.216442,1.422275,1.489399,-0.832809,-0.865441,-1.401091,-0.732975,0.059725,-1.702942,0.074684,yes
12.39244,0.588298,-22.43565,-17.39085,-15.48553,-3.677341,-6.060081,1.868031,14.60163,-2.477603,-10.23493,7.042424,21.92396,1.419853,0.644404,-0.483139,-1.304692,2.76345,3.587809,-2.281577,-0.287473,-1.227947,0.6091,1.438149,-2.373628,0.169882,0.052792,0.175389,0.502083,0.986495,1.079391,1.044636,0.895481,-1.379889,-0.935639,-0.883786,-1.206181,-1.21391,0.032753,yes
