@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute airplaneornot {yes,no}

@data
-2.198193,-10.79867,11.64032,1.788272,5.511063,-2.253421,14.09154,18.06255,9.541818,7.2218,7.808607,-0.121035,21.61348,-0.364762,0.623534,1.389839,-2.310668,-2.895052,-0.007347,-1.028265,-3.983516,-0.41888,-0.965292,-0.043966,0.292415,-0.054044,0.031394,-0.105922,0.085701,0.73334,0.358387,-0.71297,0.071424,-0.137278,-0.691965,-0.585185,-0.534961,-0.373929,0.032239,yes
-4.135849,-9.591446,15.16886,-4.453979,1.123612,3.080479,9.127052,12.39804,18.9494,8.924501,7.693275,3.063588,21.7471,-0.795454,0.340621,1.75252,-0.327755,-3.185622,-3.173547,-1.378309,-5.147274,-1.271083,-2.272084,-1.166954,-0.533872,-0.034497,0.169026,-0.198091,-0.004438,1.052985,1.113228,-0.650747,0.224131,0.547007,-1.17315,-0.594711,-0.388848,-0.51851,0.057043,yes
-3.053177,-8.284607,16.82525,-6.64394,-6.770474,-4.957106,11.43246,0.977228,2.743625,1.543991,7.646443,-0.251269,21.27645,0.007556,0.235383,1.637003,0.364575,-0.957833,-1.989099,-0.496123,-4.088027,-3.452602,-3.23782,-2.157275,-1.164087,0.097376,0.035078,-0.306498,-0.266189,0.807333,1.632513,0.001955,0.255473,1.629003,-0.812403,0.35712,0.070448,-0.222769,0.031051,yes
-5.747972,-10.35259,17.81046,4.365606,-4.276281,-16.76931,8.529534,0.868839,6.585498,-1.299715,2.054918,-2.725275,21.60951,0.294206,-0.172845,1.244066,1.616638,1.702476,-2.270203,-0.17368,-1.196222,-4.767769,-2.802582,-0.93155,-1.571884,0.155459,-0.082352,-0.116838,-0.497914,-0.124463,1.423002,1.166232,0.095227,1.894832,-0.043673,1.139042,0.324092,0.304761,-0.059984,yes
-1.354351,-9.241181,18.50454,-0.798646,3.421845,-2.274019,11.90968,3.387016,-1.539243,-3.855192,-0.15859,-3.047039,22.16915,-0.734202,-0.652222,0.313122,0.753802,2.823464,-0.449242,-0.353214,2.185975,-2.732553,1.085556,0.190572,-0.302424,0.006231,-0.268452,0.066351,-0.543712,-0.370278,0.169955,0.701144,-0.228545,0.937306,1.222469,1.432688,0.32972,0.862125,-0.13521,yes
-3.514232,-9.977383,20.54955,0.706565,4.539834,-9.61208,8.020041,5.212032,-2.748011,-2.388817,6.938043,-3.397945,22.07805,-0.836336,0.200232,-0.075107,-1.144682,2.038737,1.887685,-0.973631,1.189883,-1.849473,1.261438,-0.72042,0.559101,-0.288844,-0.067384,0.365924,-0.483456,-0.393772,-0.99853,0.3129,-0.002572,-0.864852,1.375401,0.312196,-0.442385,1.147682,-0.106398,yes
-7.841057,-11.73332,17.02132,-1.045409,2.938789,-10.78193,9.921138,9.735503,-6.252386,7.516324,6.157739,-1.427054,21.07334,-0.769431,0.380597,-0.421968,-0.106154,-0.276187,-0.562323,-1.238872,-0.594549,1.200595,1.893611,-0.614239,2.081047,-0.356522,0.348174,0.308105,-0.474611,-0.198252,-1.322892,-0.75046,0.391328,-1.627335,0.539741,-0.576142,-0.290688,0.711538,0.015986,yes
-6.686299,-8.105364,18.17654,-1.234422,6.158931,-3.07693,4.655651,3.644013,-0.305296,-0.678283,-4.705345,-0.739762,20.7132,-0.025099,1.140365,-0.80567,0.077754,-1.74035,-0.649165,0.256287,-4.130222,0.142665,-1.645631,-2.741067,2.974794,-0.195155,0.343505,-0.106564,-0.574636,-0.451352,-1.075577,-1.365762,0.842572,-0.753762,-0.100482,0.142624,0.252017,-0.022262,0.110038,yes
-3.615472,-8.274207,17.5812,-0.35892,1.231362,-8.353209,7.39752,1.198281,3.242373,4.757596,2.591911,6.029105,21.06897,0.601048,0.418236,-1.694652,-0.848675,-1.901451,-2.933119,0.988465,-3.290648,-1.029916,-0.341619,-0.252547,2.04742,0.039318,0.094619,-0.24914,-0.169611,-0.929722,0.0201,-0.352736,0.708282,0.514957,0.129155,0.443865,0.024865,-0.927398,0.094151,yes
-5.75252,-6.005116,16.24126,0.752091,-3.308205,-14.07226,10.56329,-11.17047,-6.782068,-9.237609,-4.98438,7.747944,21.10446,0.195951,-0.35141,-2.311945,-3.030179,-2.526515,-3.755725,2.12556,-1.230875,-1.236627,3.092173,0.35882,0.464605,0.063426,-0.136793,-0.476716,0.372432,-0.674217,0.951386,0.389243,-0.226551,1.091184,1.247195,0.728675,0.145431,-1.320418,0.027549,yes
