@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute airplaneornot {yes,no}

@data
-7.345827,-32.88801,-28.10816,-32.42482,-21.43515,-16.7195,-19.12634,-9.566881,12.16743,4.465162,-2.08224,0.568634,24.63389,1.146201,0.060853,0.978346,0.637169,1.626248,1.768515,3.43057,-3.821714,-5.303336,-4.778062,-0.371051,0.436047,-0.050866,-0.197053,-0.079695,0.295051,0.13874,-0.34388,-0.456093,-0.46881,0.980758,1.437124,0.744419,-0.085832,-1.135562,-0.006139,yes
-2.646465,-31.22717,-26.78311,-36.02497,-12.29601,-12.23207,-10.34267,-16.38892,5.364479,-3.150135,-1.926262,2.960458,24.61382,0.498561,-0.241048,2.5673,1.994777,1.540126,2.180216,3.639131,-2.69919,-3.049026,-3.540639,-1.921481,-1.966697,-0.119111,-0.278494,-0.262421,0.113789,-0.34386,-0.956058,-0.340488,-1.024561,2.015002,2.059136,1.088951,0.276689,-1.009138,0.016886,yes
-3.964503,-33.41416,-23.87895,-27.43891,-17.87347,-10.12064,-6.365327,-25.26443,-10.94778,-15.6175,-4.015481,1.552959,24.3896,0.484755,-0.186674,1.659126,0.652063,-0.05009,-0.717801,0.982242,0.520816,0.755131,-1.674679,-0.024994,-4.040389,-0.047439,-0.213483,-0.121824,-0.038941,-0.812012,-0.806098,-0.185574,-1.309985,2.404285,1.919712,1.420414,0.400174,-0.486019,0.044917,yes
-6.543686,-33.83017,-17.38626,-24.9439,-15.51535,-9.117854,-7.311193,-15.21406,8.479901,-3.196703,-10.72302,-9.757011,24.16048,0.084453,-1.127489,1.206903,-1.089579,-2.315874,1.309234,-0.468073,4.082032,1.963109,-0.884996,0.839364,-2.371423,0.031852,0.111009,0.116383,-0.41566,-0.44629,-0.090151,0.063078,-1.116508,0.914279,-0.31783,0.674552,0.680389,0.659235,0.053704,yes
-2.973442,-32.51988,-24.51095,-34.70505,-20.07593,-21.86562,-15.73087,-7.550233,14.38537,-3.884951,2.191172,-13.27458,24.62336,0.285838,-0.105047,1.463841,-1.880714,-0.476241,1.276138,-1.065753,4.809101,1.789159,0.996185,0.249399,-1.791685,0.098238,0.098171,0.252103,-0.077427,0.705698,0.934825,0.756305,-0.253739,-0.867702,-1.482223,0.369809,0.023957,1.068917,0.008076,yes
-2.719733,-37.31176,-20.4326,-37.8398,-22.77415,0.186585,-8.000261,-4.835861,2.51345,-13.44139,-0.832771,-1.482889,24.65619,1.153061,0.300053,0.586643,1.029717,1.302445,1.498634,-0.919414,-0.271939,-5.15519,-1.503312,1.34327,0.205129,0.076569,-0.008987,0.467971,-0.098701,0.780733,1.144933,-0.587606,-0.15574,-1.801845,-0.985488,0.484615,-0.003691,0.651836,-0.032173,yes
-4.447288,-32.1986,-15.03658,-30.39453,-16.62528,-8.39217,-11.34956,-6.408025,0.981237,-5.51423,-7.713615,-11.54252,24.63293,0.441303,0.360069,1.582122,3.120903,2.814873,2.969024,-0.060781,-1.640708,-3.096835,0.483522,-0.157164,0.015919,-0.029417,-0.186498,0.117765,-0.31083,-0.286717,0.259884,-0.356459,0.287274,-1.39539,-0.113031,0.193078,0.331153,0.720211,-0.039344,yes
-0.041458,-32.49054,-19.19023,-21.95057,-10.72845,-8.361407,-14.09892,-17.14486,-10.59398,-9.898625,0.945718,-9.597395,24.53854,-0.038216,0.979807,0.654255,0.313277,1.763236,-2.475238,-1.749259,-1.702289,-0.521331,1.794413,1.024188,-0.016043,-0.065186,-0.436472,-0.109418,-0.168023,-1.451737,-0.57653,-0.02942,0.624211,-0.046104,1.267643,0.00317,0.275417,0.916366,-0.019772,yes
-2.106063,-33.13015,-17.22153,-27.04515,-12.02441,-2.746503,-12.98544,-9.599276,5.45491,-3.238725,0.516108,-9.137727,24.5351,-0.051012,0.1439,-0.124115,-2.956076,0.592783,1.480778,0.785538,-1.452674,-1.092926,0.312715,2.064706,1.919957,-0.027604,-0.262199,-0.207612,-0.207258,-0.957184,-0.80451,-0.068702,0.782449,0.379902,0.340222,-0.738954,0.393526,1.461962,0.003079,yes
-4.081428,-31.94695,-16.06885,-37.9481,-16.25841,-15.01244,-15.92861,-11.75168,-2.330044,-5.607079,0.173308,-2.765505,24.37918,-0.78314,-0.138952,0.599648,-3.19048,-0.469158,2.095658,1.778484,-0.596478,0.181072,-1.402057,1.609419,3.834941,-0.0232,-0.059104,-0.294974,0.029773,0.694305,-0.58762,0.654615,0.727256,0.651013,-0.148787,-1.056049,-0.595168,1.015914,0.004209,yes
