@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute airplaneornot {yes,no}

@data
-23.92133,-10.5266,-20.13674,-30.60064,-35.55677,3.322912,29.17772,7.645414,-17.56105,9.963137,-33.49586,-15.32903,25.97962,-0.642132,-0.814466,-1.017411,0.742343,5.063733,1.826332,-4.024805,-3.059629,0.798928,-5.829267,2.633296,2.523031,-0.046908,-0.050207,-0.051562,-0.044088,0.471567,0.090674,-0.01545,0.028216,1.033338,-0.006967,0.359825,0.668721,0.682359,-0.008228,yes
-27.50866,-14.8963,-22.18722,-28.91479,-25.28401,13.13434,33.73463,-1.104626,-6.551333,7.744507,-32.57665,-10.27482,25.88798,-0.90404,-1.066184,-0.703375,1.293672,5.786124,3.176416,-3.035143,-1.885625,0.748437,-6.491416,3.659809,6.407238,-0.063882,0.0705,0.268563,0.180018,0.607376,-0.558252,-0.875903,-0.006983,1.673572,0.097918,0.786338,0.255264,-0.12879,-0.007643,yes
-25.33832,-12.41408,-24.19856,-27.73184,-15.37449,7.54886,6.775229,-3.27771,-19.07126,-18.07388,-20.78899,-5.240988,25.7909,-0.762215,-0.946419,-1.394869,2.824514,5.155906,1.074042,-4.378558,1.520057,0.789337,-3.699069,5.463645,3.992721,-0.07956,0.209189,0.484609,0.454205,0.448366,-1.379125,-1.874228,0.441303,1.33968,0.301315,1.49843,-0.482394,-1.231949,-0.002918,yes
-27.73303,-14.91378,-21.62271,-25.56667,-16.7173,17.09202,25.20324,3.678853,-13.06376,-8.47543,-21.55025,11.66313,25.75457,-0.229591,0.594326,0.071409,2.738136,2.226388,-2.177036,-3.882844,3.018386,1.293312,-2.962675,2.49444,1.144235,-0.068798,0.369542,0.64692,0.34434,-0.129094,-1.93049,-2.540681,0.004298,-0.164168,-0.039566,1.613871,-0.158231,-1.881864,0.003753,yes
-27.62022,-15.24995,-27.39334,-18.15212,-14.06061,6.714281,11.55062,12.85396,-10.35815,-0.422237,-11.69084,-6.334404,25.64852,0.066585,0.778323,0.866222,2.261939,-0.052025,-4.868082,-1.394442,1.186767,2.033067,-0.10149,0.804012,-1.005213,-0.05904,0.073839,0.269599,0.276277,-0.878413,-1.738171,-1.000984,0.007381,-1.695609,-0.295543,0.7944,0.192388,-0.454731,0.001164,yes
-27.51567,-10.50673,-20.23278,-20.01397,-14.80902,2.666449,11.93272,5.921471,-4.441328,-15.89469,-24.65352,-4.006935,25.61518,0.529267,1.306046,-0.112221,0.929488,-1.262363,-6.55593,-4.505709,-2.539819,-0.071256,-0.220851,5.19847,-0.503116,-0.055378,-0.407261,-0.473464,0.01273,-0.926184,-0.756387,1.454278,0.653301,-1.943694,-0.316703,1.311549,0.369472,0.88498,-0.018016,yes
-25.11408,-10.72599,-20.56241,-19.1985,-16.58875,-9.578765,6.438278,1.534815,-13.21714,-14.8717,-15.21729,-2.432021,25.56539,-0.772447,0.045715,0.078329,-0.663228,-1.790574,-1.741431,-4.030223,-4.178885,-0.006093,-1.097979,5.073571,2.54274,-0.080451,-0.542833,-0.720199,0.046264,-0.861593,-0.464813,2.559027,1.650495,-0.484549,0.323882,1.739869,-0.913218,0.61064,-0.025153,yes
-26.33977,-10.64553,-25.59928,-20.39604,-21.76504,-7.541106,5.230869,-3.36067,-11.99054,-2.354952,6.20533,7.196362,25.51924,-1.846381,-1.406689,0.529007,-0.430201,-0.686274,3.531029,0.701553,-4.017257,0.729377,4.093316,2.207019,3.795159,-0.148173,-0.002468,-0.403726,0.55251,-0.04292,0.12878,1.899505,2.526674,1.348712,0.47527,1.323599,-2.809776,-0.971541,-0.003999,yes
-32.0704,-14.95198,-24.31845,-21.27723,-19.53547,3.110904,-5.249567,-3.399399,-6.614009,-12.682,-1.752408,0.777649,25.29423,-1.459756,-1.466305,0.776931,-1.366184,-2.664135,2.883572,4.254403,-0.49726,3.252162,6.440772,-2.266353,-0.101151,-0.138406,0.862246,0.410247,0.504109,0.593847,0.525583,-0.265141,1.617241,1.989301,-0.650715,-0.110424,-2.265917,-2.592803,0.031576,yes
-33.26941,-15.42718,-15.70973,-21.12561,-16.76703,13.97676,21.2844,-11.69771,-4.096012,3.477039,-20.35087,13.36402,25.00989,0.860581,0.043424,2.301031,1.066367,-0.181681,0.629093,3.985348,2.362928,0.675968,2.62777,-5.180446,-4.038874,-0.046395,0.962946,0.662989,0.209075,0.536793,0.609791,-1.537847,-0.522678,1.52344,-0.989811,-2.123342,-0.515856,-2.851736,0.050218,yes
