@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute airplaneornot {yes,no}

@data
-36.96603,-13.12341,-7.733202,-8.313943,-13.34531,-10.97703,1.213066,-13.42956,10.62377,-3.999432,-8.85165,-2.068377,27.05506,0.276788,-0.712184,-0.92378,0.609293,2.517317,-0.391174,-1.236734,0.092699,-1.944982,-1.471535,0.573245,0.795684,0.00077,0.167524,0.302838,-0.151014,-0.015218,0.089864,0.760223,0.810049,-0.438715,0.399441,0.233794,0.86525,-0.147528,-0.000356,yes
-36.67126,-13.80575,-6.081349,-7.441598,-16.90753,-14.71285,-4.702582,-9.075768,6.629938,-10.36471,-13.2913,-2.198191,27.05526,0.848833,-0.301795,-1.599581,1.502743,3.758873,1.21304,0.915954,-0.114165,-1.130814,-0.607748,2.821384,0.94817,0.000849,-0.062685,0.251651,-0.143867,-0.223829,-0.775529,0.396718,0.515412,-0.754053,0.403052,-0.05494,0.761331,-0.210427,-0.000832,yes
-35.72947,-16.34316,-13.17803,-5.703652,1.02239,-11.06498,-2.01278,-15.14296,2.895777,-8.174466,-3.7656,1.974951,27.05882,0.828384,0.596811,-1.34095,0.08648,2.345859,2.607833,1.737168,-1.997443,-0.354859,-0.734461,3.775428,-0.0182,-0.00105,-0.252079,0.368699,0.184363,-0.424526,-1.928952,-0.746897,-0.503479,-0.691601,0.451102,-0.287699,0.084326,-0.13647,-0.000911,yes
-33.34015,-13.02251,-13.0087,-2.105374,-1.734789,-4.867848,7.40576,-13.14368,8.833695,-4.950653,2.712245,0.65081,27.05743,-0.312436,-0.108425,-1.434531,-0.248445,-1.2746,0.092912,-0.146626,-2.632494,-0.724783,-2.114771,2.778808,0.150493,-0.002482,-0.353917,0.318826,0.606331,-0.337513,-2.05637,-1.855707,-1.617469,-0.354019,-0.082443,-0.081331,-0.679132,-0.090481,-0.000509,yes
-34.48967,-10.53098,-10.97428,-10.54965,-9.202384,-2.86036,3.844736,-21.38281,7.747595,-10.37877,2.023717,-3.58388,27.04873,-0.402975,1.034624,-0.08449,-0.637743,-4.610706,-3.565594,-3.222838,-2.10614,0.107512,-2.15652,1.016161,0.512176,-0.002118,0.050532,0.273255,0.547363,0.500862,-0.559111,-1.885725,-0.75959,0.991817,0.179473,0.396267,-1.116835,-0.006999,0.000405,yes
-38.85334,-17.25397,-14.35588,-6.26082,-18.16814,-18.3506,-8.36447,-19.11831,0.580115,-19.83642,-2.291915,1.333687,27.04789,-0.305074,1.073429,0.803845,0.177288,-3.044696,-4.978783,-4.691388,-1.829912,-1.774213,-0.303373,0.805356,0.230576,-0.001162,0.419087,0.200218,0.442059,0.312692,0.987747,-0.171068,0.934616,2.02028,0.773673,0.987512,-0.349357,-0.384113,0.000445,yes
-34.98775,-9.054317,-12.92688,-6.814645,-13.81446,-22.15158,-10.24185,-22.68634,7.560124,-11.51418,3.817286,4.194391,27.053,1.077361,1.372156,0.276676,2.377924,0.435353,-4.284945,0.211598,2.560349,1.067219,0.341176,-0.82202,-0.093237,0.000316,0.185096,-0.452873,0.005524,-0.017873,1.546515,1.536999,1.985783,2.626647,0.476203,0.325326,0.196278,-0.055642,-0.00016,yes
-34.61647,-8.393698,-8.01317,-3.086441,-14.65223,-20.11615,-9.007883,-21.64148,0.056368,-5.89981,5.842241,-2.085445,27.04949,1.042833,0.723897,0.595179,-0.192819,1.141105,-0.402751,2.809238,5.135663,2.66373,1.573943,1.951114,-1.467368,-0.001476,-0.071772,-0.459445,-0.374681,-0.681447,0.941143,2.444295,1.701786,1.546228,0.032779,-1.085206,-0.11403,0.624038,-0.00058,yes
-31.2213,-8.100333,-12.76225,-0.247225,-8.783576,-23.40231,5.224431,-7.319489,13.34556,-15.6412,-6.15346,-2.3405,27.04951,-0.15145,-1.054972,0.047462,-0.542057,1.02897,1.831382,2.955765,7.544305,0.269556,-1.46855,1.42467,1.082938,-0.00276,-0.209953,-0.14105,-0.165961,-0.747188,0.078077,2.154009,-0.05189,-1.191961,-0.864958,-0.904467,-0.098762,1.128017,-0.00059,yes
-35.5224,-14.11147,-11.4623,-10.50863,-14.97806,-19.73899,-2.051423,-1.123426,11.00605,-9.903197,12.44903,-2.735708,27.04225,-0.049529,-0.010233,-0.954955,-1.769958,1.364213,4.184531,2.445459,3.409251,-1.211487,-4.824542,-0.88814,2.76268,-0.002526,0.088242,0.310803,-0.167215,0.175561,0.133668,1.060912,-0.617505,-2.703074,-0.193011,0.096602,-0.945747,1.030841,0.000181,yes
-35.29203,-11.47029,-10.96501,-5.813836,-8.506697,-13.18325,1.05874,4.77616,3.433062,-16.85524,7.637245,9.934215,27.04282,0.573779,1.033971,0.221939,-0.569445,0.714182,4.191457,0.134039,-2.536251,-1.319964,-0.981918,0.103796,3.431822,-0.002108,0.282746,0.382071,0.147689,0.244121,-0.2173,-0.327515,-1.310399,-2.897636,0.931924,1.987075,-0.314061,-0.695776,0.000559,yes
-32.82875,-6.759883,-13.68657,-9.152923,-7.969603,-4.303027,5.302258,-10.64304,-1.044817,-29.4155,-5.49381,5.590596,27.0402,1.121428,1.233438,-0.328134,0.69868,1.96684,3.721771,1.132574,-3.339427,2.493434,1.813637,-2.117181,2.512394,-0.000899,0.017526,-0.292541,0.297833,0.294299,-0.306887,-1.428634,-1.582481,-1.159617,0.924808,2.879448,0.923679,-1.430948,0.000341,yes
-29.69923,-6.606273,-10.54043,-3.772304,-8.716897,-10.16301,2.217786,-15.24093,12.77118,-10.79464,3.336936,10.65546,27.03999,0.676801,0.233548,0.472498,-0.555771,-0.358843,0.425186,-2.939785,-3.569536,3.076712,5.147733,0.468885,-2.270797,-0.00078,-0.289018,-0.607832,0.241108,-0.060574,-0.350942,-1.332717,-0.930838,0.73413,-0.147092,1.177189,0.904982,-1.618801,-0.000108,yes
