@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute airplaneornot {yes,no}

@data
-26.06405,-16.80284,-13.55553,5.066067,10.90511,9.489773,-3.244809,-4.318094,-4.608958,5.356752,1.610536,-0.639792,27.08973,-1.498507,-0.85873,0.986399,-0.720513,-3.108996,-2.632266,3.123513,1.216507,1.305343,-0.169568,1.317558,2.532185,-0.013062,-0.284753,-0.184615,-0.740578,-1.10733,-0.525904,-0.736503,-1.013186,0.042565,-1.100885,-0.633789,-0.010451,-0.191258,-0.008315,yes
-24.92779,-16.65595,-12.73176,5.815688,5.55774,5.439729,7.299547,-1.241272,-3.760127,-2.966614,0.048251,3.973396,27.07851,-2.233684,-1.307668,-0.534641,-3.817272,-4.661273,-4.614153,0.63496,1.331648,-0.711389,-1.18089,1.414192,2.358557,-0.03367,-0.071308,-0.02095,-0.761933,-1.145091,-0.568297,-0.600646,-2.081262,-0.285546,-1.296861,-0.795575,-0.652459,-0.97154,-0.008226,yes
-34.12472,-21.16993,-9.035428,1.088689,-1.966188,-1.646535,7.100578,0.226029,1.49334,8.670597,8.979468,9.71454,27.03003,-2.554681,-1.557338,-1.955972,-4.708784,-4.962375,-5.323834,-0.698139,1.371759,-3.190714,-2.832852,1.216987,1.662708,-0.044331,0.594802,0.455646,-0.333278,-0.246219,0.223629,0.52113,-1.783998,-0.503691,-0.893491,-0.702195,-0.994623,-1.219639,-0.002451,yes
-33.20214,-21.15763,-18.48879,-12.0316,-5.965612,-8.01284,-5.242705,0.068085,-11.21705,-2.204618,4.997031,5.975829,26.95122,-1.326961,-0.614174,-1.352082,-4.451833,-5.023789,-4.28971,-5.371973,-0.28885,-2.930933,-2.8158,-1.89445,-1.890775,-0.038558,1.062369,0.69244,0.555259,1.234865,1.364748,1.488484,-0.468137,-0.328273,0.83595,0.400105,-0.58318,-0.70073,0.00759,yes
-34.70029,-22.33869,-20.45688,-9.554208,-8.14509,-10.40312,-0.464379,1.886021,-16.83407,-9.188506,5.221079,6.672529,26.93171,1.022142,1.072752,-0.271271,-1.634328,-1.809592,-0.188839,-2.793008,-0.491698,-2.052341,-2.863087,-2.001234,-1.441345,-0.022871,1.076533,0.574974,0.775554,1.601092,2.041298,1.541054,0.21826,-0.166019,1.951607,1.188845,-0.340359,-0.016025,0.012319,yes
-31.27481,-19.14244,-13.78144,-11.12203,-16.47176,-11.63053,-15.77784,-3.515517,-9.251087,-8.116062,-7.544805,-3.959473,26.93488,1.289749,0.839487,1.399301,0.819825,0.586077,0.260771,-0.658292,0.622014,2.899174,0.834751,0.107402,0.406933,-0.00645,0.609065,0.206803,0.007467,1.302748,1.709217,0.56111,1.22594,0.136743,1.299735,0.979075,0.168083,1.017031,0.01147,yes
-29.97767,-16.81376,-12.74546,-7.537736,-5.761075,-0.781883,-1.596894,-0.440658,-9.751345,-2.689114,5.244217,7.475465,26.92384,1.519627,0.590702,0.546104,0.660845,2.439182,0.106192,-1.963682,0.086233,3.652266,1.2861,-1.485732,0.433729,0.00121,-0.048983,-0.160928,-0.347548,0.498772,0.152477,-1.039297,0.106854,0.090084,0.356204,0.152129,-0.105495,1.014375,0.007867,yes
-29.1147,-19.72265,-15.348,-8.940717,-4.227234,-11.5196,-7.967906,4.341493,-0.262543,-1.280559,5.522471,7.609027,26.92291,1.46962,0.660867,-1.723436,0.914319,1.39791,-1.631676,0.343064,0.105898,0.715438,0.004983,-1.311785,2.256845,0.006752,-0.531592,-0.153898,-0.077832,0.487146,-0.60281,-1.214296,0.022409,0.398796,-0.806072,-1.0353,-0.557072,0.655622,0.003826,yes
-28.18221,-19.09507,-16.94308,-7.340638,-2.071442,-9.927617,-14.18775,-1.611319,-3.067007,-6.175757,-8.74122,3.056922,26.94375,0.68729,0.357423,-0.447644,0.812287,-1.453125,-4.439102,-2.759416,0.216779,0.820547,-1.68756,-1.819117,2.705576,0.009861,-0.859724,-0.23568,0.823279,0.78632,-0.76679,-0.664021,0.910708,1.274309,-0.301196,-0.975451,0.303782,-0.266853,0.00088,yes
-24.82444,-14.69745,-20.29981,-6.648986,-11.32702,-15.21604,-7.767088,-2.400697,-9.016068,-6.347825,-7.111011,9.534026,26.95868,-0.952043,0.186635,1.507015,3.179834,-0.481819,-3.538062,-0.148382,2.550722,0.284674,-2.854918,-2.511265,2.54912,0.008357,-0.845825,-0.537619,0.950465,0.484084,0.056011,0.708079,1.208921,0.968328,0.31778,-0.167654,0.842746,-1.555058,-0.001655,yes
