@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute airplaneornot {yes,no}

@data
-14.70447,-12.60594,-11.97202,-2.615333,-6.143378,2.148457,0.194949,18.02854,3.402916,1.911377,3.974432,3.151178,26.07171,-0.956985,-0.302349,-0.981482,0.444019,1.286255,0.790878,0.545496,-1.290726,2.015725,0.866206,-2.221314,-1.26175,0.000185,0.250134,0.316936,0.156334,-0.532408,-0.577918,0.033886,-0.084716,-0.749242,0.08301,0.183831,0.816439,0.19547,-0.000195,yes
-18.53392,-10.3906,-12.96353,4.313439,-1.718489,0.897514,4.285958,11.25038,9.218631,8.079883,-2.10322,-8.578321,26.07206,-0.624192,0.749398,-0.62005,-0.82245,-0.131795,0.445792,0.321388,-3.200158,1.421916,1.178448,-1.191824,-0.653979,-0.000756,0.390756,0.342837,0.223037,-0.8815,-0.51087,-0.04082,0.353659,-0.724762,-0.703854,0.01859,0.996267,0.299432,-0.000065,yes
-17.57467,-15.22535,-16.38368,-3.859623,-1.924545,6.728317,0.876923,14.96399,10.57369,3.158153,-4.093311,2.707176,26.07246,0.127287,0.756459,-0.380527,-1.584788,-0.894307,1.132851,0.23397,-4.082221,2.727681,1.62924,1.346135,-0.588286,-0.00032,0.384389,0.296737,0.166707,-0.870853,-0.304865,-0.328595,0.530008,-0.715366,-1.165315,-0.50669,0.463016,0.30051,-0.000169,yes
-16.39033,-7.549245,-12.86644,-6.105437,-8.91177,2.087488,1.460902,3.560028,6.927114,7.180231,2.049186,0.103287,26.06756,0.454658,0.882434,-0.166777,-2.949078,-0.177816,0.415792,2.469556,-3.51879,-1.859524,0.577641,0.976299,-0.101321,0.000112,0.200918,-0.157923,0.171386,-0.385677,0.142014,-0.686846,0.610601,0.569659,-0.840319,-1.483024,-0.619061,0.674587,-0.000979,yes
-15.13983,-10.24432,-13.9232,-5.329833,-7.018271,7.217724,2.777328,1.462614,18.18708,10.5074,8.628903,-4.131057,26.07236,0.425533,1.114817,-0.374584,-2.846931,-0.21506,-0.837096,2.121453,-4.708241,-2.170128,-1.366842,-0.990297,-0.035527,-0.001096,-0.186002,-0.347874,0.370869,0.335511,0.437674,-0.766396,0.32783,1.020227,-0.649087,-1.37429,-0.685935,0.869331,-0.001703,yes
-17.47805,-8.468948,-15.02766,-9.696843,-0.060703,2.731767,15.68353,0.407122,-3.885686,7.293461,-3.582834,-5.66581,26.07267,0.231273,-0.219398,0.233908,-2.119762,0.238653,-2.003465,2.430653,-0.038853,-0.330772,-4.738631,-3.118911,2.442575,-0.005264,-0.330546,-0.42675,0.435738,1.162416,0.264937,-0.360857,-1.118302,1.334134,0.948372,0.215711,1.045169,0.659514,-0.001024,yes
-14.90315,-9.191417,-17.17599,-16.29858,-7.425379,2.220697,4.372872,-7.000764,5.129447,-3.732673,-6.228786,5.414087,26.06443,-0.691031,-0.431993,1.273474,-0.321891,1.08583,-1.489501,1.89257,-0.721053,-1.282129,-2.584077,-0.035936,2.486422,-0.006148,-0.299457,-0.191987,0.258546,1.379313,0.47019,0.125065,-1.518983,1.640703,0.7789,1.609206,1.588732,-0.826115,0.000939,yes
-15.35231,-9.172688,-10.07051,-11.21988,-7.514949,-5.431324,12.8164,7.597451,11.80207,-9.392886,-6.116527,7.543592,26.04521,-0.63979,-0.47791,1.187882,1.600481,0.496424,-1.06229,-3.007514,1.158289,2.438335,2.264814,5.724965,1.935273,-0.002482,-0.038076,0.191765,-0.4217,0.820611,0.147492,0.123013,-1.77219,0.902613,-0.077545,1.809674,1.412558,-1.294831,0.002723,yes
-19.65786,-12.05242,-10.0344,-6.177773,2.138004,3.851763,13.67375,-5.737816,3.932556,5.930192,9.716069,1.69635,26.05536,-0.636223,0.28414,0.441158,2.189515,2.007005,-0.682359,-2.75438,2.896705,0.339821,3.177464,2.531426,-3.91245,0.002206,0.434254,0.373378,-0.537647,-0.224203,-0.767899,-0.330165,-0.70921,1.270694,-0.237152,-0.167696,-0.812936,-0.412223,0.001677,yes
-18.29964,-9.427998,-12.65904,-6.754838,-2.360277,-3.395217,-4.004476,5.567092,8.904433,13.7861,17.06956,5.869422,26.0648,0.013487,0.38136,-1.458435,0.727589,0.515525,-1.791972,-4.106822,2.665334,-1.529472,1.428969,2.660196,-0.832143,0.004171,0.224541,0.317702,-0.060859,-0.621615,-0.414051,-0.011121,1.584459,0.716708,-0.840372,-1.708822,-2.345785,0.43917,-0.000552,yes
-16.61059,-7.643062,-13.67594,-7.583523,0.032309,-2.209149,-0.988593,8.497939,8.277369,0.565157,-5.164702,-13.31108,26.06566,1.153602,1.00526,-0.091601,-1.006461,-2.763213,-2.775486,-1.103827,4.878895,-0.483986,-3.004635,-2.568233,1.809015,-0.00109,-0.052749,0.085504,0.731357,-0.281403,-0.490821,0.60636,1.925157,-0.227628,-0.201413,-0.808649,-0.635581,1.417731,-0.001979,yes
-16.8085,-9.470565,-15.54191,-6.87906,-3.884479,-11.36073,-0.386546,13.80624,1.982301,0.434475,14.62484,10.88659,26.06091,-0.411998,0.750038,1.149966,0.090393,0.811279,-0.071331,4.089503,3.750731,-1.351623,-3.188245,-3.454131,1.270389,-0.003592,-0.26993,-0.229078,0.841499,0.232017,0.318394,1.440391,1.21485,-1.21359,0.261592,0.645069,0.307744,-0.597734,-0.001166,yes
-14.63542,-7.004832,-9.05097,-11.14797,-10.91596,-6.04291,6.345647,14.53708,4.973693,-2.417174,-1.902736,8.23284,26.05185,-0.687225,0.527323,2.793743,1.101098,-0.594979,1.48912,2.773242,1.215868,-0.756169,1.442826,2.410685,2.124937,-0.003806,-0.232165,-0.520337,-0.187704,0.074906,0.600229,1.075607,-0.722888,-1.928765,0.645712,1.293723,1.725266,-1.782961,0.001036,yes
-21.34722,-5.996924,-9.221691,-4.520651,7.17025,-1.834993,12.77592,21.30118,3.798158,-0.66396,-1.832076,1.449407,26.05374,-0.41575,-0.525061,1.306388,0.833895,1.023376,3.27768,0.028891,-1.571104,-0.085422,2.430583,1.709458,-3.978772,-0.000303,0.220658,-0.43576,-1.021465,-0.547993,-0.834821,-0.094685,-1.872481,-1.255206,1.322515,0.610694,1.349497,-1.164148,0.001543,yes
-17.77736,-6.743265,-2.867331,-3.257237,-8.469949,0.473583,6.296384,10.82981,3.588597,8.328505,15.11718,2.032198,26.05022,-0.005346,-0.958873,-1.108332,-1.003683,0.131884,0.928042,-2.687959,-2.104014,2.111472,0.654565,3.476303,-4.481208,0.002444,0.21095,-0.333063,-1.286799,-0.476736,-0.309639,-0.14675,-0.693713,0.029936,0.581541,-0.86885,-0.419004,0.08627,0.000207,yes
-17.31628,-12.22665,-12.10179,-6.654951,0.009395,1.769428,-0.21746,7.804354,2.247741,7.214549,14.66217,-5.906948,26.06021,0.350351,-0.685665,-2.006322,-1.59718,-3.726255,-0.26422,-2.542302,-0.865358,3.827133,0.259356,2.760545,-1.247277,0.000998,-0.089209,0.037011,-0.053133,0.272373,0.034973,0.075212,0.672409,0.60488,-0.594782,-0.559503,-0.753099,2.090013,-0.001653,yes
-16.67762,-8.684333,-13.15258,-15.09923,-6.676115,-3.204912,-0.597458,10.76542,16.30626,-3.083605,7.231656,-10.49502,26.06083,-0.015527,-1.057689,-1.983896,-0.067044,0.231641,2.526319,0.590275,1.012673,0.19526,-1.815808,-0.209876,1.190539,-0.003422,-0.231537,0.020671,0.999343,0.993156,0.949235,-0.088047,0.626565,0.032358,-1.609387,0.48895,-0.811537,2.076661,-0.001511,yes
-20.14534,-8.454713,-14.11068,-6.585556,-12.35794,-1.316843,3.511332,17.00658,16.57499,6.338876,15.91341,1.476632,26.05342,-0.856704,-0.290598,1.478506,1.727441,1.148364,2.854602,1.751818,-0.105047,-2.101226,0.868255,-0.212948,3.635421,-0.005637,-0.151729,-0.167309,1.109539,0.686874,1.325603,-0.841258,0.363518,-0.340809,-1.685424,0.078965,-1.296289,0.607392,0.000527,yes
