@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute catornot {yes,no}

@data
-13.47175,-4.14712,-12.3741,-6.867965,-0.189101,2.533309,-2.255256,5.430876,2.867171,-1.965096,9.852324,-0.221303,27.07716,-0.479095,-0.797122,0.553799,-0.137499,-4.586524,-5.289996,-3.736849,-6.989217,-3.789324,-0.277788,-3.042627,1.068379,-0.006833,0.141113,0.15984,0.14963,0.11463,0.662419,0.53658,-0.116417,-0.047365,-0.260026,-0.190119,-0.120624,-0.831626,-0.000444,yes
-14.35424,-8.598759,-12.39155,-6.109722,-13.58542,-4.57957,-7.186998,-8.247603,-1.85088,-1.888266,4.884087,13.94309,27.0614,-0.258915,-0.715781,0.91123,0.409005,-3.851828,-3.930956,-4.219687,-8.320263,-5.011442,-1.275424,-3.968286,-0.541806,-0.007826,0.036183,0.100988,-0.030535,-0.13372,1.676706,1.094932,0.169169,0.782024,-0.013186,-0.091686,0.722413,-1.106565,-0.001398,yes
-15.42598,-5.906909,-9.596372,-7.934583,-16.42356,-20.36024,-18.47363,-22.67597,-13.72042,-3.392449,-2.876691,-1.961606,27.05087,0.116379,-0.038591,1.123235,0.162401,-1.641777,-3.286614,-4.077517,-6.560516,-4.478392,-0.729565,-3.182915,-2.284658,-0.008555,-0.066766,0.007484,-0.33862,-0.501905,1.610008,1.284105,0.634919,2.060263,1.167612,0.557155,1.37331,-0.687795,-0.002421,yes
-13.78921,-6.84613,-9.206806,-4.289632,-11.33101,-5.6747,-15.24451,-22.11702,-13.89624,-7.628541,-3.624598,-2.060183,27.05117,-0.595915,-0.671449,0.116405,-0.95605,2.324631,-0.817028,-2.720672,-3.293447,-3.510717,-0.510329,0.639583,-2.787925,-0.012963,-0.133371,-0.036653,-0.447112,-0.626482,0.786926,0.755082,1.031474,2.877584,1.937107,0.647736,1.163126,-0.101498,-0.00221,yes
-13.17237,-5.216392,-8.350294,-6.966007,-9.525189,-13.3522,-18.61409,-20.437,-13.50211,-2.742783,-1.807909,-3.642957,27.0395,-0.644427,-0.781865,-0.74189,-1.964498,0.375288,-0.426435,-1.311763,0.798693,1.298373,2.125439,1.519989,-1.247534,-0.016368,-0.176973,-0.213203,-0.456496,-0.315387,-0.464379,0.407577,0.946864,2.286745,1.799452,0.00262,0.183019,0.821026,-0.002876,yes
-18.46062,-12.30126,-12.43257,-11.37426,-5.41145,-12.16873,-20.72013,-25.83432,-19.51362,-4.764742,7.54761,0.844141,27.00227,-0.545365,-0.527407,-0.391766,-1.659955,-0.92573,-1.585638,-0.445195,2.388052,1.785711,0.535755,-0.504107,-1.567858,-0.01497,-0.168391,-0.121735,-0.221323,0.185173,-1.362753,-0.282584,0.765103,1.743829,1.682837,-0.184623,-0.5009,2.465232,-0.004508,yes
-16.31241,-7.088669,-11.69294,-14.21476,-17.5069,-19.24539,-22.29463,-16.82385,-4.419867,5.802849,-0.862851,-9.651438,26.99347,-0.793763,-1.176627,-0.905159,-1.062584,-2.338491,-0.864426,-0.480935,2.032457,1.870652,-1.239509,-1.695974,1.210439,-0.02193,-0.399711,-0.256122,-0.093507,0.423586,-0.641403,-0.337206,0.746133,1.141575,0.78078,-0.585801,0.054909,3.640787,-0.006659,yes
-14.94602,-8.547024,-9.494311,-8.965031,-11.96881,-10.65629,-15.63021,-11.98333,-9.508808,-9.222585,-6.617661,-6.895235,26.99933,-1.363201,-1.082742,-0.908577,-0.481141,-3.132246,-2.010953,0.689431,4.808816,4.617326,0.249031,-0.256935,8.309248,-0.03272,-0.484889,-0.130049,-0.033872,0.06711,-0.402982,-0.303672,1.039002,1.218704,0.646687,0.30866,1.615406,3.849926,-0.007125,yes
-18.89849,-12.97665,-14.34522,-13.48354,-17.93896,-18.43055,-23.56372,-17.20021,-9.151255,-6.711406,-3.205145,6.278924,26.93131,-2.234064,-1.784807,-0.95102,-0.435974,-1.728468,-1.899807,1.851587,5.296187,3.786467,-0.660201,1.670948,12.01785,-0.040788,-0.214107,0.219653,0.237337,-0.16417,0.019821,0.189768,1.689492,0.929545,-0.370116,1.024775,3.108487,1.796115,-0.002103,yes
-23.98358,-14.77098,-15.64931,-14.14557,-20.85665,-22.63092,-16.63844,-1.602062,5.938701,2.737538,7.434082,34.4252,26.86975,-2.249659,-0.873563,-0.538196,-1.637708,-3.245654,-2.586308,3.583553,6.849706,4.061239,1.789399,5.889461,12.27807,-0.041165,0.199239,0.367317,0.276055,-0.218555,0.384899,1.095373,1.397339,-0.646022,-1.655654,1.459856,2.987756,-1.703836,0.005144,yes
