@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute catornot {yes,no}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,-6.517941,-7.908762,5.278079,2.143235,-2.020841,-2.67893,3.638341,-3.573414,0.768252,-1.086939,-0.084194,2.146738,4.973668,-0.301039,-0.621284,-0.324059,-0.738414,0.813505,0.327242,-2.272341,0.436383,0.583345,-0.230537,1.911677,-0.075183,-0.2084,yes
-17.58005,-17.98396,21.79414,10.29001,-11.17387,-6.145639,23.00906,-16.35239,-0.428425,-4.819094,-3.384626,5.306382,15.96779,-8.170515,-10.54543,4.254602,1.819173,-0.529404,-2.627403,0.167892,-3.274233,2.529513,-1.881298,3.891834,2.381299,5.243785,0.763173,0.391328,-1.269819,-1.539334,1.639379,0.885007,-3.451656,1.229089,0.60327,0.246861,1.718696,-0.341389,-0.999571,yes
-23.79968,-30.55183,15.49332,5.571173,-4.517269,-10.32183,6.687174,-9.690876,4.055471,-3.025147,1.271344,8.080499,16.88444,-7.196847,-9.696847,4.16952,-1.386804,1.300968,-1.06848,-5.98814,-1.54109,2.804347,-1.842446,7.486177,1.653541,3.796611,1.712661,1.960157,-1.591728,-1.983378,1.663198,1.059855,-2.623679,0.947508,-0.412336,0.582064,0.440379,-0.009165,-1.398906,yes
-28.95274,-37.45125,13.52635,6.31028,-0.388385,-7.976102,-2.504128,-11.52573,10.61983,-7.893917,18.8235,7.866242,17.77671,-2.362623,-5.05808,-0.516736,-3.788417,4.51515,0.940881,-8.806696,1.555871,2.766552,0.525121,4.7241,0.686394,0.564339,2.156196,3.2048,-1.25411,-1.699612,1.097627,1.035272,-0.310037,0.242649,-1.544254,1.156141,-1.960455,0.181488,-1.361223,yes
-30.29789,-38.75059,24.9815,-4.944157,1.112095,-4.427171,-17.18411,-10.11878,8.497609,-7.67482,26.32682,6.987774,18.0786,-0.85858,-0.851653,-0.294893,-4.969859,3.772871,0.836201,-4.992761,-1.250925,-1.411947,0.620171,1.701568,2.948365,0.318859,1.461444,2.853022,-0.864354,-0.085361,0.080158,0.526804,2.287948,-1.142347,-1.298338,1.492729,-3.585879,-0.089367,-0.752517,yes
-26.14406,-39.17498,14.46637,-3.39441,8.587195,-4.388565,-9.088776,-8.35908,11.18327,0.131348,7.708133,9.284716,18.19241,-0.558668,1.05597,0.216258,-4.887358,3.722778,1.596618,-1.879981,-2.206073,-3.083612,2.668098,-3.018137,2.641328,0.176546,0.072789,1.203511,0.193219,0.90514,-1.157821,-0.400056,2.86832,-1.802104,-0.554302,0.678912,-2.512404,-0.448405,-0.050111,yes
-29.49692,-33.94823,13.54885,-14.42577,9.859294,-7.934589,-14.9843,-17.52882,-3.285981,-3.936928,15.33687,22.11308,18.27088,-0.791605,1.511237,-0.518747,-1.264138,2.097941,1.237671,1.988243,-5.371852,-0.762261,4.54971,-6.572099,0.229239,0.227925,-0.279406,-0.449373,0.101452,1.243291,-1.465689,-0.916529,1.813143,-0.275352,1.129625,-0.170976,-0.964976,-0.957014,0.055836,yes
-32.14656,-34.57258,20.32397,-13.3857,13.85191,1.760695,-13.00393,-18.85107,1.093566,3.577629,9.227794,13.51023,18.56329,-2.032165,-0.221973,0.561285,-1.115577,-0.436492,-1.260135,2.044403,-5.394183,-0.329802,1.954911,-3.701086,-0.196068,0.359252,-0.313827,-1.360138,-0.365478,0.643106,-1.717551,-1.457171,0.523296,1.149336,1.201498,-1.472519,1.130934,-0.179933,0.102837,yes
-31.25467,-33.49561,19.45897,-6.269199,8.969443,-1.313446,-5.285313,-31.73205,9.731156,13.35059,-7.293501,6.021213,19.03278,-1.518862,-2.459546,0.039853,-0.639292,-1.475938,-2.318067,2.110764,-1.033631,2.859275,0.121885,-2.781838,-0.418005,0.506685,-0.114419,-1.363533,-0.494151,0.255092,-1.184382,-1.485595,-0.632069,2.651134,-0.041472,-1.852297,2.453731,1.182173,0.068109,yes
-35.42601,-40.51115,14.31773,-13.05058,6.849662,-13.99981,-3.716256,-28.22838,3.025688,1.262145,0.517889,16.35031,19.60772,-1.764176,-3.75933,-1.890434,-1.984251,-3.078039,-3.911368,0.675239,1.371498,1.11311,-2.480587,0.741403,2.065285,0.55135,0.261737,-0.380381,-0.735794,0.793117,-0.120769,-0.885777,-0.847332,2.338012,-0.829244,-0.679558,1.82781,1.407312,-0.002161,yes
