@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute catornot {yes,no}

@data
-19.15956,-12.3123,1.975191,6.697614,-0.185987,-3.6083,2.747692,12.16953,-7.434284,7.698359,5.090592,-9.872052,15.27943,1.352251,1.908925,0.055447,-2.1686,0.086361,-1.259458,-4.197045,-7.459944,-2.580348,-3.959103,-1.051432,2.252464,-0.007516,0.117107,0.725234,0.145608,0.247815,-1.376951,0.169433,1.038214,0.010945,0.696793,1.133276,0.063485,-0.322727,0.006839,yes
-17.34989,-11.54205,-4.416938,-3.188709,-7.648266,-11.98322,-5.547629,-6.391927,-19.36049,-6.689003,-4.954595,-5.344282,15.33908,2.051671,3.498249,-0.449468,-2.190319,-2.867985,-0.982145,-0.928542,-7.742401,-1.971481,-0.986262,-1.278191,-0.546772,0.001966,0.033555,0.692548,0.495086,0.838284,-1.004554,1.059708,1.549564,1.418867,1.952636,1.475834,0.447248,-0.221289,0.021162,yes
-13.30313,-3.152801,5.448492,0.797775,3.976955,-5.718129,-14.08987,-15.84946,-14.37292,-4.903477,4.856025,-0.87362,15.21203,1.588076,4.740436,1.035946,-0.918667,-5.321223,-0.550949,-0.640227,-7.263991,0.599181,0.220858,-0.620628,2.038444,0.02194,0.01486,0.013165,0.484953,0.884272,-0.769379,0.514278,1.990991,2.466791,2.102853,1.089413,-0.650356,-0.133124,0.104007,yes
-11.82941,0.599193,-2.008797,-1.304063,-16.60739,-7.464113,6.523765,-12.53298,-13.82237,9.067968,-1.183078,-17.10513,15.32297,1.402114,3.955911,2.040628,1.397853,-2.232617,3.684828,1.772368,-0.463587,5.593066,1.330086,0.969406,1.253029,0.083569,-0.010446,-0.996635,0.448775,0.501085,0.487398,-0.238824,1.488761,1.836393,0.912728,-0.282708,-1.726265,0.0322,0.176496,yes
-13.97942,5.319258,5.95085,1.161956,-22.31255,-8.622599,-6.489139,-21.0799,-7.207437,0.924163,0.101696,6.200591,15.39719,1.751332,1.745921,1.235162,0.458675,-4.07822,-1.021557,4.407454,1.234601,4.151643,0.329787,-5.427012,0.686942,0.47172,0.178385,-1.460414,0.124373,0.106808,1.215389,-0.382495,1.080081,1.23705,-1.17752,-0.954833,-2.070539,-1.785959,0.220691,yes
-10.00118,4.001479,5.53502,3.618465,-5.666601,7.89315,-0.486157,-6.094643,5.022099,-2.952392,2.269599,-2.61624,15.66434,1.917814,0.012329,1.694799,-0.373566,-1.052496,-1.940963,3.991422,-2.809735,0.815928,-2.454266,-7.506322,0.289982,0.659553,0.152291,-0.880872,0.215978,0.079969,0.608741,-1.103234,-0.672371,0.325024,-2.889344,-1.613676,-1.024695,-2.052223,0.181318,yes
-5.460596,3.875663,7.852393,0.629884,-21.88454,-18.50455,11.45236,-12.89562,-3.036944,2.755637,-24.00537,-4.683353,17.39994,2.222151,-0.589845,1.830724,0.501084,0.165661,0.349471,3.650651,0.094335,-2.89985,-2.661132,-6.735459,-6.409825,0.837402,0.014603,0.027272,0.227905,0.709993,1.480548,0.410842,-2.508796,0.852725,-2.409507,-1.641962,1.748061,-1.850481,0.007818,yes
-6.49975,1.382636,5.514426,-2.90586,-22.08387,-12.22795,17.51013,-30.67379,-11.82797,-4.119099,-26.66115,-10.21325,17.61936,1.928159,0.719436,2.822737,1.776492,-1.310851,-2.516854,-1.211083,1.731664,-5.327909,-5.242834,-3.499844,-5.459702,0.807318,-0.100166,0.315562,-0.568374,0.493909,1.03362,0.15283,-2.758335,1.621514,-0.777924,-0.381032,2.642107,0.159182,-0.141373,yes
-4.619374,3.679453,15.11477,6.92954,-13.27561,3.185308,2.765975,-8.318654,-13.28165,-11.79814,-19.11022,-22.05003,18.60669,1.819174,1.528727,1.81072,2.933608,3.453699,1.3206,-5.535272,3.227528,-4.823975,-6.485741,1.310055,-5.690623,0.436928,-0.631648,0.016581,-1.61174,-0.814228,0.218031,-0.181967,-1.979575,0.013761,0.478254,0.51281,1.733652,2.986373,-0.293149,yes
-0.780993,7.696764,16.01752,9.351096,-16.52532,-15.53605,-2.19838,0.275194,-16.49509,-21.88967,-17.67719,-21.23141,19.09756,1.618474,0.530854,-1.137069,0.879719,2.471586,-1.662379,-5.207294,3.731237,-2.111631,-2.447119,1.681453,0.726289,0.152926,-0.900513,-0.659306,-1.683784,-1.906514,-0.187166,1.095792,-0.242398,-0.63621,1.554507,1.499152,-0.048859,2.682667,-0.305148,yes
