@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute catornot {yes,no}

@data
-28.70937,-2.976805,-0.593692,7.402577,-5.966962,-2.449761,3.213262,7.734523,5.690394,8.470135,10.82599,7.857196,26.3613,-0.402393,-0.294555,-1.839644,-0.763207,5.310155,2.90604,-1.523113,6.051094,0.329531,3.119606,5.433185,-0.178261,0.000363,-0.296161,-0.424259,0.24033,-0.646362,0.185643,-0.11912,1.049491,0.329493,1.37094,0.696714,-0.767517,-0.208251,-0.000442,yes
-31.31221,-4.209458,-2.275085,6.528038,-0.013852,-6.031721,2.348278,13.4125,-2.797527,12.80457,5.494191,5.323591,26.35668,-0.571717,-1.511096,-1.677748,-2.485652,2.963649,1.591567,1.445183,3.798146,2.73403,3.202301,1.836684,0.131834,-0.000381,0.030121,-0.36663,0.365441,-0.449459,-0.961348,-0.156655,1.186249,-1.482032,1.723482,-0.126626,-1.055626,0.737905,-0.000472,yes
-33.0745,-9.219726,-7.898011,-2.69034,-0.376813,8.13931,15.17067,10.66659,2.622818,1.366791,5.496578,14.25089,26.36035,-0.735967,-1.809298,-0.500141,-1.844724,0.420123,1.30269,2.866943,0.952263,6.403044,0.29423,-1.748952,0.278598,-0.000965,0.376285,0.138028,0.844746,0.496717,-1.643206,-1.540778,-0.012685,-1.936881,0.32133,-0.264056,-0.887712,0.466639,-0.000248,yes
-31.10221,-10.99966,-6.784314,-4.542462,-5.236032,2.394794,11.15355,12.32259,17.41658,11.48373,8.841366,11.1464,26.35855,0.447946,-0.660632,0.935011,-0.636831,-0.975509,-0.434607,1.629861,-1.814743,5.368796,2.536494,1.127822,2.619262,-0.001164,0.297037,0.575006,0.453524,0.938228,-0.323849,-0.727636,-1.165493,-1.411926,-2.08637,-0.783688,0.042331,0.2304,0.000472,yes
-32.49421,-8.628192,-0.839783,3.714206,-1.255256,-0.149566,13.14534,13.04079,27.59856,10.6017,0.407646,6.338782,26.35554,0.969201,-0.029646,1.077708,0.795966,-0.936299,-3.784764,-1.678879,-0.826866,0.618796,2.132227,1.349056,0.91122,-0.000487,0.096896,0.556359,-0.321164,0.376106,0.585502,0.390184,-1.283342,-0.276909,-3.062922,-0.726585,0.587699,-0.126396,0.001103,yes
-29.36262,-7.808386,-1.129144,0.141609,-4.452177,-4.060317,11.51025,3.151683,11.55858,20.86958,13.67777,22.37596,26.35327,0.060884,0.47411,-0.199054,0.88514,2.022614,0.497115,-2.10937,-2.37192,-4.805697,-1.635135,0.499336,0.967523,0.001738,-0.355306,0.132586,-0.840996,-0.197214,1.005114,1.717489,-0.111589,1.128341,-1.390774,-1.162516,-0.547398,-0.841644,0.00105,yes
-29.09829,-10.9636,-5.337053,-1.052546,-5.450234,-7.556955,6.59792,11.11771,8.645796,7.335005,9.823656,13.19221,26.36056,-0.057955,0.405125,-1.538929,-0.725178,1.848573,2.787751,-1.680152,-0.153695,-3.824317,-1.25288,1.503784,0.472486,0.003098,-0.341604,0.081054,-0.433871,-0.322543,0.610407,2.020925,1.209322,1.515696,1.12714,0.241011,-0.489692,-0.610218,0.000071,yes
-32.49575,-7.461413,-5.530947,2.266615,6.974527,8.584062,3.880406,1.424526,2.864475,4.941408,6.630039,12.5573,26.36473,-0.815008,-0.215089,-1.961651,-0.862331,2.657624,4.866578,1.072555,3.490379,0.636482,-1.583531,-1.686531,-1.369589,0.002296,-0.03719,-0.020262,0.219842,-0.166791,-0.70666,0.036696,1.294631,1.72136,2.532939,1.275533,-0.485933,-1.124355,-0.000957,yes
-31.21742,-6.776051,-6.333527,-0.974187,2.274256,7.467002,8.559501,13.1359,12.82403,12.30139,11.45043,13.61054,26.3653,-0.300874,0.720222,-0.210347,0.056987,1.798229,4.135131,2.77677,3.820462,3.533407,3.311483,-0.00647,-0.971314,-0.000411,-0.004841,0.03955,0.76727,0.289171,-1.356076,-1.249008,0.625083,-0.368119,1.368744,0.496029,-0.970322,-1.283566,-0.001245,yes
-32.3781,-10.9776,-10.43916,-4.209227,4.9737,12.76059,15.89223,19.59448,12.65188,10.46873,4.431726,15.31884,26.36238,-0.003604,0.215251,0.235864,-0.339899,-1.485515,0.006907,2.135324,4.247802,4.180139,2.46035,-1.175201,-3.932353,-0.001293,0.21269,0.081783,0.823596,0.313036,-1.370059,-1.752551,-0.363002,-2.076464,-0.538223,-0.630843,-0.887935,-0.853092,-0.00072,yes
