@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute catornot {yes,no}

@data
-28.19376,-17.86508,-3.925689,-0.828267,-7.524275,2.179027,4.087359,7.212709,17.01172,9.216573,1.077923,-13.79466,27.07642,0.4249,0.449192,-1.178367,0.313252,1.99473,-0.047612,-2.842884,-0.801455,-1.486088,-2.014764,0.920349,5.797436,0.001143,-0.018069,0.001836,0.026749,-0.128302,-0.26148,-0.014337,0.199839,-0.142368,-0.150601,0.785123,0.174379,-0.57358,-0.000249,yes
-28.33373,-15.99742,-6.400856,-0.168338,-4.09951,-3.226949,-1.221024,6.345017,20.36818,12.33896,7.1398,2.491124,27.07863,0.23509,0.424945,-1.212367,0.041414,2.463558,-0.021317,-2.661555,-1.291501,-2.251277,0.244368,2.554391,5.260913,0.000737,-0.170226,-0.101554,0.346274,-0.044707,-0.61322,0.349386,0.617085,0.07632,-0.113384,1.320021,-0.050667,-1.99169,-0.000508,yes
-25.99927,-16.55295,-8.579939,0.408029,0.736992,4.643952,-7.472869,3.639279,7.90305,-2.418444,2.648726,7.049631,27.08103,0.429462,0.470495,-1.02762,-0.192341,0.452918,-0.132444,-1.934354,-1.268271,-1.856497,0.781286,0.975224,3.197798,0.000102,-0.427622,-0.200399,0.547558,-0.112113,-1.248139,0.500603,1.107,0.283679,0.64431,1.93713,-0.197298,-2.615029,-0.000776,yes
-28.11555,-16.39642,-7.660399,-1.239346,0.662883,0.839979,-3.440301,2.541919,10.30967,16.25592,13.06448,2.087766,27.0778,-0.428513,-0.069229,0.477631,0.342513,-0.300464,1.741732,-0.211723,-0.18645,-1.867805,3.187316,0.639573,-2.861194,-0.000877,-0.315401,-0.128968,0.590383,-0.161888,-1.537517,0.638956,0.95737,-0.311827,0.575136,0.88748,-0.708716,-2.274161,-0.000912,yes
-26.15554,-15.3131,-8.434019,-1.254465,-7.640882,-0.516657,-4.474772,2.772903,12.75849,11.16452,2.991704,2.396012,27.07734,-1.381408,-0.305717,0.714424,-0.397861,-2.863955,1.573879,1.4672,0.064411,1.543728,6.199412,0.891269,-3.216658,-0.001932,-0.332485,-0.138149,0.390403,-0.334606,-1.096085,0.218543,0.885619,-0.91532,0.288527,0.38096,-0.01154,-1.172144,-0.001309,yes
-30.39816,-16.96349,-4.085663,2.375476,-1.412894,8.062015,-3.778684,5.845957,8.601439,21.48406,10.16618,-9.488035,27.07609,-0.436479,0.168211,0.868526,-0.665265,-3.565588,2.320299,0.42452,-3.516978,-1.075709,1.972704,-0.947213,-2.902665,-0.002807,0.085035,0.025558,-0.196392,-0.560651,-0.879141,-0.434056,0.658824,-1.268788,0.064589,-0.609477,0.005657,0.139009,-0.001561,yes
-31.76501,-17.798,-6.795186,-3.388685,-12.5449,8.902328,0.032323,2.309317,16.4758,25.96455,8.554219,-3.245756,27.07222,-1.228982,-0.338971,0.728949,-1.361482,-3.394947,0.670985,2.175617,-4.179606,-0.809909,3.29339,1.710919,-2.642187,-0.005481,0.33886,0.123084,-0.37549,-0.348018,0.353588,-0.736194,0.523231,-0.207231,-0.486164,-1.060799,-0.022811,-0.075451,-0.001354,yes
-27.49321,-14.31292,-4.137185,-3.498564,-14.71305,7.731982,-3.571249,-14.81118,3.072472,18.71943,5.547153,-9.604674,27.06633,-0.079552,0.075186,-0.51159,-1.978932,-4.430672,0.0229,2.728189,-4.40838,-0.368043,1.592943,0.258033,-2.453382,-0.006908,0.186367,0.020622,-0.564187,-0.262492,0.870758,-0.909773,0.34126,1.441101,0.324285,-0.334743,0.011612,-0.043761,-0.000424,yes
-33.75292,-18.33324,-4.763514,-5.124856,-17.96554,3.003285,6.299595,-7.796558,11.47343,29.01378,13.85581,-10.7566,27.05482,0.134428,0.356217,-0.472967,-1.481119,-0.663473,-0.95839,2.93152,-0.526043,-1.240925,1.085294,0.174589,-3.818554,-0.006653,0.432201,0.071615,-0.535491,0.211764,1.539603,-0.560862,-0.402988,2.052605,0.184526,-0.98601,-0.585063,0.581636,0.00115,yes
-29.80196,-16.31993,-7.65945,-6.651099,-20.85593,11.12604,6.728624,-11.143,9.262407,27.92416,8.805544,-17.99953,27.05025,-0.186347,-0.076273,-1.351453,-1.917908,-0.577536,-1.41388,1.75287,1.861747,0.761226,1.403036,-0.120991,-2.533286,-0.004341,0.162423,-0.24929,-0.396906,0.662792,1.986979,-0.692346,-0.801827,2.312001,0.479916,-1.191192,0.282251,1.404511,0.002197,yes
