@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute catornot {yes,no}

@data
-14.77066,3.648651,10.46246,8.306376,1.4747,10.91278,1.622128,-0.763271,3.071915,6.479239,11.40476,7.824721,18.69211,0.412194,-0.613268,-0.942587,-0.358315,0.85208,-3.362837,0.123802,0.769619,0.888552,-0.696627,-3.64572,-1.353705,-0.077915,0.234804,0.268729,0.166353,0.720702,0.495115,0.434741,0.186285,-0.708057,-0.852309,0.324388,0.562659,-0.674705,0.022542,yes
-14.35834,5.585077,11.96282,8.028036,3.435852,-0.046742,2.840689,8.430979,16.17005,10.74115,6.842397,4.780747,18.69131,0.930953,-0.636613,-1.386002,0.903435,2.59658,-1.788057,0.507405,-1.242324,-1.732911,-1.373534,-3.714921,-3.040125,-0.074702,0.138522,0.385241,0.384455,0.599024,0.449995,0.865546,0.101353,-0.762716,-1.047107,0.398261,0.787016,0.080616,0.045106,yes
-12.91586,-0.385902,4.99934,6.653971,4.754521,-0.42165,1.631857,-1.512301,0.965607,0.865152,-4.542661,2.578183,18.30294,1.326837,0.742049,0.110886,2.61432,2.455402,-1.976525,0.863423,-1.764695,-2.06226,1.263769,-0.797826,-3.884019,0.03319,-0.26642,0.227135,0.519149,0.185073,0.042082,0.57961,-0.222396,-0.384604,-1.009379,0.241998,1.180564,1.154724,-0.003252,yes
-11.0433,2.482862,6.264006,13.64975,12.81769,7.639707,4.154289,-6.600376,-4.539488,2.418614,0.803862,-4.752634,18.51319,0.647484,0.63528,0.452954,1.150485,2.300391,0.271738,0.260755,-1.776805,-2.871577,0.31448,-1.134585,0.314533,0.092064,-0.810392,-0.223366,0.033912,-0.997179,-0.479458,0.270827,-0.581063,0.706966,0.031735,0.085122,1.304337,2.123676,-0.105707,yes
-9.793995,8.910004,13.86629,18.56712,9.060794,-2.813071,5.282441,-2.071068,3.115383,16.95935,10.4349,-6.828683,18.94713,-0.778172,-0.11354,0.73368,0.443526,1.210583,-1.494686,-0.864855,-0.886162,-3.589012,-0.330644,0.966932,2.742589,-0.17756,-0.848142,-0.498014,-0.530937,-1.501991,-0.414336,0.721688,-0.856506,0.814806,0.676203,-0.504265,0.580857,1.400489,-0.178587,yes
-12.68185,4.113525,9.794117,7.823887,12.78467,2.50766,2.319171,-0.173661,0.737275,4.266448,-6.319306,11.05684,18.82954,-2.068501,-1.325648,-1.527838,-2.997062,0.821697,-0.674839,-1.533773,1.853237,-0.810858,-0.15072,1.924384,4.264951,-0.497864,-0.185203,0.088725,-0.402278,-0.746505,-0.559825,0.540226,-0.181785,0.837684,1.212479,0.012517,0.254131,-1.172682,-0.086251,yes
-15.98744,-1.768933,6.902685,11.78454,10.82395,-5.329055,-1.774857,-9.156466,-19.61784,-1.711984,3.853581,8.38639,17.25696,-1.555881,-0.767555,-1.553401,-2.821859,1.123071,2.105206,-2.521842,0.494315,0.288397,-1.024957,0.576975,1.143217,-0.564783,0.691629,0.658862,0.003767,0.174465,-0.404339,0.718044,0.974213,0.52562,1.514405,0.44196,-0.722247,-2.338229,0.156132,yes
-18.28908,1.194092,2.106618,2.055734,16.0446,5.523503,0.014073,6.208508,2.77283,11.00068,13.71644,8.964586,16.86895,0.110322,1.405915,-0.414894,-0.949346,-0.454979,1.172923,0.180326,1.721379,1.252116,0.724222,0.331047,-4.74919,-0.145578,1.051656,0.709576,0.72312,1.328137,-0.479328,-0.029292,1.492386,-0.211928,0.343581,0.340851,-1.079871,-2.056191,0.305293,yes
-14.76978,6.531944,9.943038,7.341902,13.04619,6.205039,-6.174221,-2.790576,3.539591,8.467446,3.301895,-0.06647,17.10351,1.590563,1.814987,0.196043,0.291994,-0.172774,1.171654,3.149159,1.807866,2.951525,1.441686,-1.847636,-4.441487,0.426956,0.48614,-0.175745,0.229494,0.982525,-0.449753,-0.712287,1.281159,0.017353,0.15815,0.282913,-0.118239,0.34589,0.226145,yes
-12.73907,6.992661,6.199472,5.298474,9.398656,2.605227,5.420481,5.250287,-4.58086,2.797842,-4.388229,-8.462676,18.17838,1.616556,0.930962,1.213042,2.086698,-0.927021,-0.354522,3.092655,0.136823,-0.42452,0.320212,-2.262667,-3.223651,0.53273,-0.37143,-0.777475,-0.028978,0.074699,-0.670313,-0.527624,-0.410535,-0.645195,-0.078083,-0.190158,0.091802,1.623033,-0.052978,yes
-10.80964,4.406716,5.836474,11.62314,13.28305,1.988352,11.26773,0.361977,-1.183365,9.597867,3.667732,-5.107414,18.73703,0.1217,-1.408801,-1.219898,0.572745,-0.889674,-0.692506,2.427788,1.373356,1.917464,0.59161,1.282636,2.109899,0.226789,-0.899336,-0.704934,-0.090299,-0.552718,-0.435737,-0.317682,-1.832279,-0.837319,-0.743506,-0.819299,0.355336,1.423824,-0.264981,yes
-12.18637,6.911514,10.22511,10.34861,11.29106,5.859238,6.756369,5.316348,3.011709,12.03653,2.220186,-4.6332,18.71584,-1.012394,-0.869564,0.148187,-0.716228,-3.448092,-0.533115,-1.511664,-1.287341,1.378731,0.19847,-0.775079,0.090283,-0.310385,-0.77702,-0.180554,0.027189,-0.681174,0.543962,0.065399,-1.784405,-0.579325,-0.323068,-0.708999,0.267204,0.883916,-0.234991,yes
-14.43763,-0.471489,1.83073,7.680562,7.651617,1.115502,5.296774,4.04317,9.330625,6.80615,6.41087,8.568288,17.96872,-1.59164,-0.809418,0.276977,-1.070133,-1.090925,-0.327461,-3.710078,-1.666647,-1.667629,-2.593939,-0.814752,1.020665,-0.476391,-0.167669,0.404192,0.470869,0.065091,1.460378,0.58028,-0.828595,-0.193163,-0.779532,-0.118515,0.296284,0.188273,-0.034216,yes
-15.98704,5.083944,8.943279,3.688621,-5.026086,0.376078,0.84764,-3.027015,-2.944198,5.186049,-9.635195,-14.84911,17.0106,-1.411873,-0.271502,0.600551,-0.497731,1.893416,-0.21005,-2.760436,-1.239799,-0.247312,-1.632009,0.122045,1.740548,-0.290637,0.305384,0.272543,-0.065909,0.565045,1.568484,0.508531,0.506048,0.965362,-0.073937,0.385285,0.983981,1.041057,0.175613,yes
-16.86751,1.27341,7.862275,9.602465,15.987,3.092626,-4.328292,-3.799578,-6.543559,0.053414,5.521665,5.103867,17.20769,-0.516903,0.313127,0.908264,0.788951,3.741465,2.047361,-1.090802,0.38377,-1.167173,0.914273,2.315495,2.226132,0.045835,0.539715,0.318116,-0.13303,0.665025,-0.239535,0.059947,1.208148,0.830073,0.385626,0.707097,0.546805,0.149941,0.195982,yes
-18.0308,4.681555,10.21209,6.899001,16.59045,3.820426,-2.233275,3.038727,9.712241,7.252854,3.275011,5.801749,17.64317,-0.02284,-0.068123,-0.496999,1.179453,1.978135,0.822129,-0.291064,2.514258,0.758819,0.370791,2.5797,4.692833,0.306565,0.529447,0.13098,-0.266778,0.37866,-1.247953,-0.54342,0.999459,0.259234,-0.284881,-0.155859,-0.683085,-0.986275,0.082869,yes
-16.00027,1.295341,5.737646,10.02013,15.55068,9.630131,1.383223,2.92915,-2.833461,10.34412,11.53324,9.37352,17.88161,0.412416,0.679474,0.160601,1.416402,-2.33096,-0.543818,1.095976,0.606689,-0.242567,-0.059856,0.690445,0.294226,0.204916,0.314127,0.192899,-0.039844,-0.127519,-1.328038,-1.086082,0.73861,-0.087652,0.033501,-0.74439,-1.102793,-1.820807,-0.02748,yes
-16.53486,4.732362,7.520599,9.377054,5.082747,1.217968,-3.463438,6.179912,-1.005154,1.894652,0.257515,6.480227,18.20647,0.7707,0.200224,-0.359506,1.081843,-1.310139,-1.63156,1.143471,-0.055089,-2.134018,-1.924241,-2.480853,-2.224876,0.044169,0.242132,0.159884,0.076523,-0.549047,-0.599274,-0.303006,0.788078,-0.475398,0.271446,0.077334,-0.318138,-1.542945,-0.068909,yes
-15.55339,4.645376,10.01102,15.44545,10.08605,1.674766,1.766669,-2.336725,-2.397695,2.433235,10.48264,6.235755,17.95062,0.656963,1.143449,0.640296,0.200164,-1.254589,-2.156208,1.884982,1.230182,0.446752,-1.660158,-0.668193,-3.419051,0.039635,0.025346,-0.065822,-0.110727,-1.004067,0.064211,0.500924,0.116812,-0.105961,1.011436,0.606981,0.2573,0.163976,-0.040634,yes
-14.40073,4.007656,6.277871,9.595555,12.77207,-0.359689,3.292356,5.39622,-1.175731,1.587088,-8.603952,-3.753747,17.82951,1.065544,0.499311,-0.354233,-0.957663,-1.556421,0.113296,3.254824,-0.174476,1.771387,1.557613,1.668328,-1.165255,0.044661,-0.111181,-0.096049,-0.0373,-0.875714,-0.049855,0.671871,-0.704423,-0.888185,0.416786,0.75168,0.631455,1.102528,-0.059007,yes
-13.78252,7.374938,9.560489,10.91169,5.43307,-0.362081,7.430234,9.471907,-0.514413,2.197106,12.62301,-2.604747,18.26826,0.391723,0.200823,-0.395669,-2.584182,-1.886765,1.088375,0.624361,0.136578,2.86191,1.23412,-0.097646,0.584296,0.0015,-0.335811,-0.523996,-0.154435,-0.324084,0.608984,0.578352,-1.186358,-0.9815,-0.681168,0.243585,-0.87891,0.787122,-0.11273,yes
-12.09258,5.864137,5.974701,6.855616,-0.372866,2.80287,9.978898,-0.596783,6.91014,9.800781,7.528966,5.074203,18.27095,0.347414,0.19129,-0.028024,-1.904552,-1.243325,0.105502,-1.748332,-3.949212,-1.257665,0.38702,0.391146,1.28609,-0.2318,-0.465176,-0.471029,0.122175,0.496475,0.988922,-0.142458,-1.111744,-0.58524,-1.74291,-0.76003,-1.065266,-0.383717,-0.107131,yes
-14.74886,4.721248,8.184263,3.894508,7.224693,5.535359,1.545204,1.342666,7.868919,4.496987,1.927951,4.74326,17.7374,-0.663026,-1.322519,-0.294983,-0.946811,1.633782,0.739449,-1.545231,-1.789951,-1.444563,0.143063,-4.424151,-0.709115,-0.385785,-0.207642,-0.300662,0.125545,1.125639,0.814616,-0.245333,0.180634,0.010549,-1.351009,-0.179521,0.157294,-0.609184,0.043281,yes
-12.1805,6.290953,6.825866,3.581389,5.659631,-2.780899,-2.506789,-10.28522,-11.65572,2.372246,-1.300691,-0.997302,16.93595,-0.73296,-1.094162,0.206298,0.706026,1.627916,-0.424531,-1.2191,-2.13741,-4.789927,-1.697008,-1.49475,-2.437133,-0.297353,0.021216,0.174161,0.360145,1.115551,0.43699,0.200278,1.506687,1.686666,0.802568,0.818018,1.275554,0.267956,0.290043,yes
-17.05369,0.548934,7.659989,7.814754,10.58573,6.127051,5.946924,5.366366,1.545701,6.626687,-5.082914,-3.114568,17.00684,-0.106302,-0.659761,0.114892,1.738725,0.750693,0.126726,1.262913,-0.71658,-2.127004,1.378531,1.631772,-0.600013,0.250679,0.35612,0.940706,0.479135,1.193197,0.234493,0.250426,1.494714,1.413068,1.940523,1.200125,2.123035,1.35194,0.417533,yes
-14.60497,2.479484,7.268326,8.425623,6.086192,0.384372,1.682536,-13.29568,-13.87789,0.250892,3.560647,-3.182547,17.14946,0.17513,0.730717,1.567765,2.330434,1.383168,1.413253,4.381032,3.947435,3.096396,3.859376,3.740953,2.571321,0.900185,0.202476,0.761954,0.354028,0.709055,0.518795,0.587206,1.257874,1.750004,2.757177,1.023616,0.752418,1.46462,0.323406,yes
-14.06813,3.328176,8.537495,10.16602,10.76488,4.586354,5.765105,-0.735001,-1.655017,12.45032,7.656143,2.835817,18.88404,0.663529,2.468569,1.419958,4.20697,2.92862,1.072687,3.128273,2.232965,4.314888,3.365498,3.573174,3.546359,1.10311,0.13307,0.276836,0.115508,0.100564,0.302704,0.335129,-0.181564,0.673611,1.64706,-0.489509,-0.455288,-0.225748,0.057972,yes
-12.79763,8.554916,14.22594,14.05793,12.4859,5.055715,19.48928,12.50264,5.426616,18.75731,11.03454,8.884111,20.49828,-0.105494,1.151442,1.323905,3.017176,3.132929,2.038517,4.13759,5.137839,5.775013,2.427588,1.296637,2.812784,0.89346,0.286437,-0.320423,-0.174881,-0.455317,-0.163706,0.025964,-1.803173,-0.890102,-0.119519,-1.8361,-1.165112,-1.119969,-0.174112,yes
-14.63972,9.854063,11.28097,26.03345,22.02898,9.154817,12.68491,3.632034,13.46789,14.20097,9.046008,8.583897,20.84798,0.699361,0.514054,0.814364,1.898176,1.389332,1.489737,0.476812,2.056272,4.768989,-0.35312,0.57749,-1.849483,0.5439,0.297445,-0.583425,0.153991,-1.202906,-0.989055,-0.057632,-1.791038,-0.837284,-1.271645,-1.821021,-1.142257,-0.894591,-0.236311,yes
-14.84665,4.973753,12.51611,15.57779,16.11879,8.292728,18.91058,10.21,7.435723,11.51351,9.348899,8.007332,20.63479,1.589399,0.10586,0.996157,1.208249,1.334281,1.334546,-3.309101,-0.414731,2.271752,-3.461816,-0.586764,-0.330604,0.309229,0.272268,0.046589,0.318337,-0.675488,-0.864571,-0.07701,-1.333127,-0.896783,-2.033995,-1.208228,-0.699503,-0.167973,-0.18685,yes
-9.546811,7.689027,13.46423,18.89697,15.8951,10.41653,8.438515,10.69268,21.18538,14.30662,11.38641,-5.97321,21.53528,1.303308,0.074235,2.353784,-0.903098,-1.117332,1.136515,-2.10357,0.82283,-0.291705,-2.794904,-1.196409,0.6451,0.21367,-0.008461,0.322914,0.282551,-0.707526,-0.618399,0.326797,0.893985,0.122868,-2.3724,-0.20355,-0.386161,1.252205,-0.056568,yes
-7.397087,10.16673,18.1151,23.66742,22.22425,11.09759,5.06698,6.898664,12.92663,1.395405,6.930521,14.50964,21.70078,0.953874,1.604295,2.14588,1.040376,0.063407,1.830077,-1.237856,1.270646,-1.864614,-2.392659,-1.313927,0.725628,0.124326,-0.149021,0.479263,-0.123159,-0.733148,0.047905,0.507659,2.132977,0.549125,-0.889779,1.730991,0.672076,0.656544,0.104987,yes
-11.84795,7.628748,20.2504,17.47314,13.38959,13.43496,9.088867,9.401848,9.263911,5.2855,4.273151,8.558238,21.38334,0.974816,1.379408,1.652257,-1.555516,-1.067225,2.875954,3.911115,1.827925,-5.024825,-1.905451,-0.989732,3.883427,0.353513,-0.06258,0.422509,-0.684825,-0.097609,1.44189,0.409741,1.662277,-0.161431,0.82036,2.434256,1.627419,0.385331,0.207965,yes
-8.926705,13.02537,19.85243,21.49158,17.68858,15.9339,12.39613,17.20864,4.073384,4.06077,6.335893,4.369746,21.33239,1.008538,1.849586,0.731126,-2.13128,1.548753,3.003123,4.348441,1.828344,0.189419,4.74841,2.670276,1.33295,0.764241,-0.33944,-0.109864,-0.716313,0.28027,1.047489,-0.775993,0.415892,-0.71112,1.785751,1.998547,1.344105,-0.373147,0.136328,yes
-3.90792,13.15675,20.85685,12.20731,12.82681,22.37814,24.32951,14.67731,0.48788,3.44668,6.735065,18.51388,23.48703,0.963076,2.064132,-0.362964,0.194683,5.349444,2.598697,3.414665,-0.263174,2.783078,5.805841,4.948582,2.268091,0.933536,-0.939622,-0.463635,-0.609637,1.038779,0.586162,-1.886905,-1.38615,-0.906826,1.349797,0.182828,-0.232191,-1.73668,-0.216937,yes
-6.324416,16.65066,21.4675,15.64393,30.24941,21.64161,19.18886,13.40265,18.26174,26.05686,19.05095,16.19657,24.47014,-0.737454,0.712615,-0.428075,1.566628,2.092517,-1.911261,1.089829,-1.239404,3.160191,3.744431,2.43744,-0.332439,0.515957,-0.838031,-0.854192,-0.547331,0.648331,-1.14649,-1.806736,-1.641523,-0.913184,-1.779683,-2.864939,-2.381083,-1.791004,-0.523946,yes
-8.333722,16.13676,17.62804,21.37038,33.8564,23.57459,22.76582,9.988972,16.08512,23.31666,22.65854,13.98528,24.48215,-2.850297,-0.370281,-0.816327,1.789425,1.591702,-4.101378,-1.39033,-1.17233,0.238771,-0.489324,-2.03427,-3.967277,-0.607031,-0.135007,-0.683693,0.096504,-0.197962,-1.740718,-0.652235,-1.562174,-0.896793,-3.430862,-3.451334,-2.719136,-1.606498,-0.531547,yes
-10.40107,15.09844,19.32645,24.74318,17.63637,5.779371,18.62712,13.3558,12.07572,12.84794,10.56136,4.971849,23.41461,-1.274929,-1.204167,-1.778846,0.313006,-2.304824,-2.68052,-1.456677,-2.283,-7.436845,-6.4287,-5.743711,-4.504385,-1.085204,0.625732,-0.268279,0.577358,-0.570346,-0.848629,1.158934,-0.364376,-0.56626,-2.07866,-1.769983,-0.314232,0.493076,-0.20575,yes
-16.12108,12.08146,17.84574,16.60481,27.09184,9.802372,17.65873,8.83909,4.774749,7.604524,0.808509,4.289855,20.97964,0.556778,-0.395944,0.794943,-0.168317,-1.155473,-0.27785,-3.122953,-4.225339,-9.072715,-6.364266,-4.556522,-3.678425,-0.923618,0.953479,0.024393,0.835679,-0.421584,-0.71006,1.608621,0.729466,0.283272,1.081613,0.893549,2.065269,2.07937,0.273099,yes
-8.805383,12.65748,12.46443,19.59175,22.10756,15.12512,14.45902,2.562597,-13.2673,1.769429,1.257404,-1.477644,20.79537,0.687669,-0.615949,1.653079,-0.306229,-0.777042,1.971647,0.13426,-2.544199,-2.577368,-2.168011,2.127409,1.988516,-0.354501,0.197592,0.025014,0.80693,-0.323584,-0.013347,1.286487,1.683731,1.857122,4.294042,2.972246,2.574589,2.055738,0.478673,yes
-6.347677,15.37752,25.03377,23.10451,25.84343,17.51247,9.235106,-5.741126,-16.60695,-2.96542,4.527902,-1.182101,21.17368,0.935801,-0.542423,1.646106,-0.008876,-2.722489,1.615645,1.461532,0.374632,3.217098,1.848076,4.356517,3.183125,0.393114,-0.46772,-0.274457,-0.409672,-0.422913,0.163795,0.745977,1.920622,2.911934,4.189631,2.950609,1.748983,1.240085,0.404226,yes
-11.84943,10.37066,23.99783,19.96218,14.37536,11.78256,23.51023,7.924908,9.879725,7.292854,19.33871,17.65041,21.54509,-0.476481,-1.005857,1.83022,-1.384634,-1.588051,2.805167,4.669734,4.702624,7.88846,4.326358,2.672715,2.34353,0.649793,-0.487343,-0.135227,-0.881589,-0.481868,0.464095,0.368545,0.154753,1.513334,0.896997,1.463208,-0.204133,-0.868417,0.131956,yes
-9.92005,10.51275,20.30957,16.37521,17.3455,19.55188,20.44079,8.031094,9.286722,14.08319,13.55044,10.64145,22.57035,-1.199745,-1.573273,-1.341988,-1.74368,0.069005,3.035277,4.212417,6.710919,6.642528,5.141596,3.915738,2.344495,0.595366,-0.407732,0.040646,-0.775895,-0.215753,0.528337,-0.133092,-1.00522,-0.454393,-1.577163,-0.169136,-0.894932,-1.507309,-0.193231,yes
-9.401603,10.06058,23.97763,16.03323,18.41628,28.13125,32.20485,19.18961,13.22817,14.87691,10.10971,4.32823,23.346,-0.681272,-0.776657,-1.260819,-1.848166,0.147684,3.104555,-0.467419,1.854325,0.194901,3.501268,1.327132,-1.934256,0.204153,0.076071,0.30089,-0.447204,0.353605,0.11131,-1.12785,-1.989093,-2.364494,-2.591768,-1.405434,-1.084627,-1.351479,-0.320419,yes
-13.57032,7.666199,18.33393,16.35059,24.168,24.51451,25.94989,22.18112,14.93147,18.95053,28.72109,17.20146,23.25006,-1.000462,-0.453794,-0.68785,-0.855876,-0.94867,0.80049,-0.99599,-0.473186,-0.821937,1.414944,0.554646,-2.21453,-0.350222,0.406363,0.394935,0.259696,0.480153,0.012618,-1.465701,-1.46716,-2.376686,-1.59233,-1.856062,-2.057644,-0.788583,-0.24008,yes
